SL. No.,State/UT,Murder - Male,Murder - Female,Attempt to Commit Murder - Total,Attempt to Commit Murder - Male,Attempt to Commit Murder - Female,Attempt to Commit Murder - Total,C.H. Not Amounting to Murder - Male,C.H. Not Amounting to Murder - Female,C.H. Not Amounting to Murder - Total,Rape - Male,Rape - Female,Rape - Total,Kidnapping & Abducting - Total - Male,Kidnapping & Abducting - Total - Female,Kidnapping & Abducting - Total - Total,Kidnapping & Abducting - of Women & Girls - Male,Kidnapping & Abducting - of Women & Girls - Female,Kidnapping & Abducting - of Women & Girls - Total,Kidnapping & Abducting - of Others - Male,Kidnapping & Abducting - of Others - Female,Kidnapping & Abducting - of Others - Total,Dacoity - Male,Dacoity - Female,Dacoity - Total,Preparation & Assembly for Dacoity - Male,Preparation & Assembly for Dacoity - Female,Preparation & Assembly for Dacoity - Total,Robbery - Male,Robbery - Female,Robbery - Total,Burglary - Male,Burglary - Female,Burglary - Total,Theft - Male,Theft - Female,Theft - Total,Riots - Male,Riots - Female,Riots - Total,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Criminal Breach of Trust - Total,Cheating - Male,Cheating - Female,Cheating - Total,Counterfeiting - Male,Counterfeiting - Female,Counterfeiting - Total,Other IPC Crimes - Male,Other IPC Crimes - Female,Other IPC Crimes - Total,Total Cognizable Crimes Under IPC - Male,Total Cognizable Crimes Under IPC - Female,Total Cognizable Crimes Under IPC - Total,Percentage of Females to Total
1,Andhra Pradesh,6155,272,6427,3604,80,3684,131,5,136,1111,20,1131,985,84,1069,609,63,672,376,21,397,2477,3,2480,38,0,38,1783,2,1785,5809,27,5836,13499,207,13706,24553,891,25444,415,12,427,1678,31,1709,82,1,83,88561,4819,93380,150881,6454,157335,4.1
2,Arunachal Pradesh,101,6,107,29,1,30,6,0,6,36,0,36,44,0,44,41,0,41,3,0,3,76,0,76,20,0,20,96,2,98,145,1,146,393,2,395,96,0,96,36,0,36,28,0,28,3,0,3,1002,30,1032,2111,42,2153,2
3,Assam,1505,22,1527,418,1,419,41,3,44,586,3,589,1317,27,1344,1155,21,1176,162,6,168,1964,1,1965,106,1,107,1522,0,1522,3714,19,3733,8023,31,8054,17185,219,17404,560,6,566,761,4,765,112,1,113,18667,294,18961,56481,632,57113,1.1
4,Bihar,10125,220,10345,10849,258,11107,1372,14,1386,1760,27,1787,5028,274,5302,3066,221,3287,1962,53,2015,7603,41,7644,1509,0,1509,3796,0,3796,5506,56,5562,22062,342,22404,72542,598,73140,2024,33,2057,2725,16,2741,80,4,84,103815,1437,105252,250796,3320,254116,1.3
5,Goa,106,2,108,48,0,48,9,1,10,24,0,24,46,3,49,29,2,31,17,1,18,63,1,64,0,0,0,43,2,45,400,12,412,566,41,607,1140,156,1296,46,4,50,65,8,73,3,0,3,2200,144,2344,4759,374,5133,7.3
6,Gujarat,3903,271,4174,3315,199,3514,26,0,26,460,21,481,1350,107,1457,1009,89,1098,341,18,359,1065,3,1068,0,0,0,1284,21,1305,4249,111,4360,11619,552,12171,15348,973,16321,2655,105,2760,3046,113,3159,48,3,51,104143,7288,111431,152511,9467,162278,6
7,Haryana,1370,44,1414,926,12,938,225,16,241,360,5,365,463,10,473,281,10,291,182,0,182,348,0,348,111,0,111,368,2,370,2422,7,2429,3934,37,3971,2710,56,2766,273,8,281,845,30,875,5,1,6,34644,596,35240,49004,824,49828,1.7
8,Himachal Pradesh,217,38,255,137,14,151,19,0,19,140,2,142,196,8,204,161,7,168,35,1,36,20,0,20,0,0,0,35,0,35,528,19,547,650,25,675,2690,379,3069,123,2,125,111,6,117,1,0,1,8784,1211,9995,13651,1704,15355,11.1
9,Jammu & Kashmir,296,11,307,844,0,844,3,0,3,133,0,133,280,7,287,272,7,279,8,0,8,56,0,56,0,0,0,50,0,50,537,1,538,1990,12,2002,8438,118,8556,58,0,58,131,0,131,0,0,0,3406,718,4124,16222,867,17089,5.1
10,Karnataka,3004,196,3200,2327,54,2381,62,6,68,330,0,330,536,30,566,254,23,277,282,7,289,784,4,788,7,0,7,706,1,707,3418,43,3461,7391,219,7610,41613,2310,43923,538,10,548,1090,57,1147,80,0,80,80360,4191,84551,142246,7121,149367,4.8
