SL. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1983,160513,11101,171614,6.5
2,1984,149755,12505,162260,7.7
3,1985,157107,11392,168499,6.8
4,1986,159977,10172,170149,6
5,1987,166407,13555,179962,7.5
6,1988,33065,5103,38168,13.4
7,1989,24777,11615,36392,31.9
8,1990,25269,5547,30816,18
9,1991,23201,6390,29591,21.6
10,1992,17474,3884,21358,18.2
11,1993,16391,3676,20067,18.3
