SL. No.,State/UT,Arms Act - Male,Arms Act - Female,Arms Act - Total,Narcotic Drugs & Phy. Substances Act - Male,Narcotic Drugs & Phy. Substances Act - Female,Narcotic Drugs & Phy. Substances Act - Total,Gambling Act - Male,Gambling Act - Female,Gambling Act - Total,Excise Act - Male,Excise Act - Female,Excise Act - Total,Prohibition Act - Male,Prohibition Act - Female,Prohibition Act - Total,Explosives & Explosive Subs. Act - Male,Explosives & Explosive Subs. Act - Female,Explosives & Explosive Subs. Act - Total,Immoral Traffic (Prevention) Act - Male,Immoral Traffic (Prevention) Act - Female,Immoral Traffic (Prevention) Act - Total,Indian Railways Act - Male,Indian Railways Act - Female,Indian Railways Act - Total,Registration of Foreigners Act - Male,Registration of Foreigners Act - Female,Registration of Foreigners Act - Total,Protection Of Civil Rights Act - Male,Protection Of Civil Rights Act - Female,Protection Of Civil Rights Act - Total,Indian Passport Act - Male,Indian Passport Act - Female,Indian Passport Act - Total,Essential Commodities Act - Male,Essential Commodities Act - Female,Essential Commodities Act - Total,Terrorist & Disruptive Actvites Act - Male,Terrorist & Disruptive Actvites Act - Female,Terrorist & Disruptive Actvites Act - Total,Antiquity & Art Treasure Act - Male,Antiquity & Art Treasure Act - Female,Antiquity & Art Treasure Act - Total,Dowry Prohibition Act - Male,Dowry Prohibition Act - Female,Dowry Prohibition Act - Total,Other L & SL Crimes - Male,Other L & SL Crimes - Female,Other L & SL Crimes - Total,Total Cognizable Crimes Under L & SL - Male,Total Cognizable Crimes Under L & SL - Female,Total Cognizable Crimes Under L & SL - Total,Percentage of Females to Total
1,Andhra Pradesh,525,1,526,401,29,430,43248,0,43248,1754,130,1884,0,0,0,588,1,589,193,992,1185,67,0,67,2,0,2,751,14,765,0,0,0,33,0,33,288,0,288,18,0,18,262,84,346,652584,6124,658708,700714,7375,708089,1
2,Arunachal Pradesh,13,0,13,19,2,21,0,0,0,0,0,0,0,0,0,18,0,18,0,0,0,0,0,0,18,1,19,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,20,1,21,108,4,112,3.6
3,Assam,595,0,595,278,16,294,635,7,642,291,12,303,157,4,161,69,1,70,0,0,0,2,0,2,52,0,52,0,0,0,17,3,20,46,1,47,1622,21,1643,0,0,0,98,1,99,898,12,910,4760,78,4838,1.6
4,Bihar,4722,46,4768,387,3,390,1556,22,1578,2303,91,2394,11,0,11,765,14,779,15,6,21,155,25,180,16,0,16,96,0,96,0,0,0,741,4,745,12,6,18,3,0,3,1645,321,1966,3243,208,3451,15670,746,16416,4.5
5,Goa,13,1,14,42,1,43,1952,0,1952,0,0,0,0,0,0,19,0,19,4,94,98,182,0,182,10,0,10,4,0,4,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,477,75,552,2708,171,2879,5.9
6,Gujarat,1110,5,1115,302,7,309,30130,24,30154,0,0,0,102426,45971,148397,146,7,153,18,12,30,876,6,882,98,2,100,289,27,316,1010,4,1014,347,0,347,0,0,0,0,0,0,0,0,0,63335,3690,67025,200087,49755,249842,19.9
7,Haryana,1736,0,1736,1218,33,1251,5527,0,5527,18424,78,18502,0,0,0,14,0,14,4,0,4,2156,2,2158,1,0,1,5,0,5,1,0,1,235,0,235,32,0,32,0,0,0,0,0,0,4062,51,4113,33415,164,33579,0.5
8,Himachal Pradesh,71,3,74,110,1,111,219,0,219,3939,814,4753,0,0,0,2,0,2,0,0,0,1,0,1,14,1,15,26,2,28,0,0,0,11,0,11,2,0,2,0,0,0,7,3,10,822,22,844,5224,846,6070,13.9
9,Jammu & Kashmir,292,0,292,53,0,53,15,0,15,10,0,10,0,0,0,34,0,34,5,1,6,0,0,0,22,0,22,6,0,6,5,0,5,294,0,294,641,0,641,0,0,0,1,0,1,323,31,354,1701,32,1733,1.8
10,Karnataka,104,0,104,289,3,292,19308,15,19323,1706,81,1787,0,0,0,131,1,132,276,2633,2909,10,0,10,29,3,32,2249,90,2339,56,0,56,351,5,356,26,0,26,18,0,18,689,224,913,402615,30223,432838,427857,33278,461135,7.2
