SL. No. (Col. 1),Crime Head (Col. 2),Total no. of cases for trial including pending cases (Col. 3),No. of cases - Compounded or Withdrawn (Col. 4),No. of cases - in which Trials were completed - Convicted (Col. 5),No. of cases - in which Trials were completed - Acquitted or Discharged (Col. 6),No. of cases - in which Trials were completed - Total (Col. 5+6) (Col. 7),No. of cases - Pending Trial (Col. 8)
1,Arms Act,228410,627,30797,17535,48332,179451
2,Narcotic Drugs & Psychotropic Substances Act,71100,134,5365,6587,11952,59014
3,Gambling Act,352583,531,127267,19985,147252,204800
4,Excise Act,269218,733,60536,21941,82477,186008
5,Prohibition Act,1809612,7369,368154,156777,524931,1277312
6,Explosive & Explosive Substances Act,17406,12,1311,1868,3179,14215
7,Immoral Traffic (P) Act,21114,10,11277,1188,12465,8639
8,Indian Railways Act,36410,152,19706,721,20427,15831
9,Registration of Foreigners Act,2548,4,1218,183,1401,1143
10,Protection Of Civil Rights Act,12318,129,715,1451,2166,10023
11,Indian Passport Act,2128,10,1205,66,1271,847
12,Essential Commodities Act,28234,363,1712,2206,3918,23953
13,Terrorist & Disruptive Actvites Act,2032,4,63,77,140,1888
14,Antiquity & Art Treasure Act,34,0,3,5,8,26
15,Dowry Prohibition Act,5713,223,341,647,988,4502
16,Other L & SL Crimes,3258966,95355,2297732,128113,2425845,737766
17,Total Cognizable Crimes Under L & SL,6117826,105656,2927402,359350,3286752,2725418
