SL. No.,State/UT,Area (in Sqr. Kms.),Estimated Mid-Year Population (in 000),Total Cases for Investigation Including Pending Cases,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,No. of Policemen per 100 Sqr Kms. Area,No. of Policemen per 1000 of Population,IPC Cases per Civil Policemen - All Ranks,IPC Cases per Civil Policemen - 10 Only
1,Andhra Pradesh,275045,69338,135805,61158,9647,70805,86.4,25.7,1,2.2,25.6
2,Arunachal Pradesh,83743,915,2336,2686,1436,4122,65.2,4.9,4.5,0.9,6.1
3,Assam,78438,23593,70820,25568,19685,45253,56.5,57.7,1.9,2.8,15.4
4,Bihar,173877,90952,184510,61196,17504,78700,77.8,45.3,0.9,3,15
5,Goa,3702,1224,5225,1988,556,2544,78.1,68.7,2.1,2.6,24.1
6,Gujarat,196024,43093,143092,52798,12379,65177,81,33.2,1.5,2.7,43.4
7,Haryana,44212,17338,36797,24686,3693,28379,87,64.2,1.6,1.5,14.1
8,Himachal Pradesh,55673,5403,15033,8487,3776,12263,69.2,22,2.3,1.8,12.9
9,Jammu & Kashmir,222236,8133,20775,18091,11192,29283,61.8,13.2,3.6,1.1,8.2
10,Karnataka,191791,46667,137548,45264,7066,52330,86.5,27.3,1.1,3,30
11,Kerala,38863,30073,94204,31136,5445,36581,85.1,94.1,1.2,3,45.2
12,Madhya Pradesh,443446,69407,188592,62560,26890,89450,69.9,20.2,1.3,3,23.7
13,Maharashtra,307713,82634,227513,115508,12679,128187,90.1,41.7,1.6,1.96,17
14,Manipur,22327,1939,4531,4711,6865,11576,40.7,51.8,6,1,5.7
15,Meghalaya,22429,1872,3871,5418,1730,7148,75.8,31.9,3.8,0.7,4.1
16,Mizoram,21081,742,2617,2819,2350,5169,54.5,24.5,7,0.9,3.3
17,Nagaland,16579,1302,4020,7644,9395,17039,44.9,102.8,13.1,0.5,5.6
18,Orissa,155707,33057,59427,25873,7170,33043,78.3,21.2,1,2.3,12.3
19,Punjab,50362,21011,19767,49729,8473,58202,85.4,115.6,2.8,0.4,3.7
20,Rajasthan,342239,46281,126053,45718,9066,54784,83.5,16,1.2,2.8,26.7
21,Sikkim,7096,438,780,1940,855,2795,69.4,39.4,6.4,0.4,3
22,Tamil Nadu,130058,57188,170571,57013,8391,65404,87.2,50.3,1.1,3,31.9
23,Tripura,10486,2909,7059,4382,5130,9512,46.1,90.7,3.3,1.6,7.4
24,Uttar Pradesh,294411,145056,227412,120586,34597,155183,77.7,52.7,1.1,1.9,20.6
25,West Bengal,88752,70871,137206,56542,21399,77941,72.5,87.8,1.1,2.4,12.1
Total (States),Total (States),3276290,871436,2025564,893501,247369,1140870,78.3,34.8,1.3,2.3,18.8
26,A & N Islands,8249,305,879,1775,509,2284,77.7,27.7,7.5,0.5,2.8
27,Chandigarh,114,713,3059,2616,1517,4133,63.3,3624.4,5.8,1.2,7.4
28,D & N Haveli,491,148,396,223,0,223,100,45.4,1.5,1.8,30.5
29,Daman & Diu,112,107,274,247,0,247,100,220.5,2.3,1.1,18.3
30,Delhi,1483,10223,56842,37682,10421,48103,78.3,3243.6,4.7,1.5,7.9
31,Lakshadweep,32,55,83,310,0,310,100,968.8,5.6,0.3,1.7
32,Pondicherry,492,847,3411,985,783,1768,55.7,359.3,2.1,3.5,37.5
Total (UTs),Total (UTs),10973,12398,64944,43838,13230,57068,76.8,620.1,1.6,1.6,8
Total (All -India),Total (All -India),3287263,883834,2090508,937339,260599,1197938,78.2,36.4,1.4,2.2,18.1
