SL. No.,State/UT,1992,1993,Percentage Variation in 1993 Over 1992,Percentage Contribution to All- India During 1993
1,Andhra Pradesh,156851,157335,0.3,6.3
2,Arunachal Pradesh,2314,2153,-7,0.1
3,Assam,54252,57113,5.3,2.3
4,Bihar,263993,254116,-3.7,10.1
5,Goa,5452,5133,-5.9,0.2
6,Gujarat,171128,162278,-5.2,6.5
7,Haryana,44647,49828,11.6,2
8,Himachal Pradesh,12312,15355,24.7,0.6
9,Jammu & Kashmir,17403,17089,-1.8,0.7
10,Karnataka,144339,149367,3.5,5.9
11,Kerala,116865,115176,-1.4,4.6
12,Madhya Pradesh,297336,271354,-8.7,10.8
13,Maharashtra,275507,260063,-5.6,10.4
14,Manipur,2366,2875,21.5,0.1
15,Meghalaya,2984,2326,-22.1,0.1
16,Mizoram,1588,1291,-18.7,0.1
17,Nagaland,1287,1272,-1.2,0.1
18,Orissa,94665,96360,1.8,3.8
19,Punjab,12691,12763,0.6,0.5
20,Rajasthan,178430,176403,-1.1,7
21,Sikkim,564,1031,82.8,0
22,Tamil Nadu,207200,229784,10.9,9.1
23,Tripura,7195,6840,-4.9,0.3
24,Uttar Pradesh,326744,317945,-2.7,12.7
25,West Bengal,109751,107933,-1.7,4.3
Total (States),Total (States),2507864,2473183,-1.4,98.4
26,A & N Islands,635,756,19.1,0
27,Chandigarh,1067,2150,101.5,0.1
28,D & N Haveli,592,469,-20.8,0
29,Daman & Diu,320,351,9.7,0
30,Delhi,31191,31230,0.1,1.2
31,Lakshadweep,14,7,-50,0
32,Pondicherry,4361,4007,-8.1,0.2
Total (UTs),Total (UTs),38180,38970,2.1,1.6
Total (All -India),Total (All -India),2546044,2512153,1.3,100
33,Ahmedabad,22162,19870,-10.3,0.8
34,Bangalore,14736,14865,0.9,0.6
35,Bhopal,11678,NA,NA,NA
36,Bombay,33652,31857,-5.3,1.3
37,Calcutta,12047,9616,-20.2,0.4
38,Coimbatore,5213,4068,-20.6,0.2
39,Delhi,29738,28342,-4.7,1.1
40,Hyderabad,4797,5055,5.4,0.2
41,Indore,11496,9176,-20.2,0.4
42,Jaipur,8948,6778,-24.3,0.3
43,Kanpur,11861,8999,-24.1,0.4
44,Kochi,4425,4499,1.7,0.2
45,Lucknow,6646,6140,-7.6,0.2
46,Ludhiana,740,685,-7.4,0
47,Madras,10784,9193,-14.8,0.4
48,Madurai,3803,3731,-1.9,0.1
49,Nagpur,6962,6899,-0.9,0.3
50,Patna,NA,8925,NA,0.4
51,Pune,15828,13323,-15.8,0.5
52,Surat,5504,6872,24.9,0.3
53,Vadodara,7838,5553,-29.2,0.2
54,Varanasi,3760,4012,6.7,0.2
55,Vishakhapatnam,4367,3451,-21,0.1
