SL. No.,Events,No. of Occasions of Police Firing,Civilians - Killed,Civilians - Injured,Policemen - Killed,Policemen - Injured
1,Riot Control,1419,354,1080,4,647
2,Anti-Dacoity Operation,258,179,71,11,48
3,Against Extremists and Terrorists,928,1572,382,175,665
4,Against Others,297,114,70,11,90
Total,Total,2902,2219,1603,201,1450
