SL. No.,State/UT/City,Arrested & Sent to Courts,Sent to Home After Advice or Admonition,Released on Probation and Placed Under Care of - Parents/ Guardians,Released on Probation and Placed Under Care of - Fit Instt.,Sent to Specal Homes,Dealt with Fine,Acquitted or Otherwise Disposed of,Pending Disposal
1,Andhra Pradesh,1244,52,76,126,11,317,79,583
2,Arunachal Pradesh,24,0,24,0,0,0,0,0
3,Assam,268,2,23,5,23,1,91,123
4,Bihar,2907,791,370,335,260,159,435,557
5,Goa,53,10,15,0,0,2,2,24
6,Gujarat,2670,312,250,116,33,329,578,1052
7,Haryana,222,5,13,0,0,56,37,111
8,Himachal Pradesh,67,0,0,0,0,0,0,67
9,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,Karnataka,480,90,71,33,43,22,48,173
11,Kerala,86,1,0,0,0,2,5,78
12,Madhya Pradesh,2767,355,257,80,75,198,358,1444
13,Maharashtra,3178,397,353,65,193,61,232,1877
14,Manipur,18,0,0,13,5,0,0,0
15,Meghalaya,105,3,2,15,0,0,11,74
16,Mizoram,39,0,0,29,4,6,0,0
17,Nagaland,32,0,0,0,22,0,0,10
18,Orissa,139,1,0,22,0,0,32,84
19,Punjab,1,0,0,0,1,0,0,0
20,Rajasthan,726,18,157,55,6,1,0,489
21,Sikkim,14,2,10,0,0,0,2,0
22,Tamil Nadu,4526,2676,170,109,436,269,66,800
23,Tripura,11,0,0,0,0,0,11,0
24,Uttar Pradesh,154,10,16,0,19,0,66,43
25,West Bengal,34,4,1,0,1,0,3,25
Total (States),Total (States),19765,4729,1808,1003,1132,1423,2056,7614
26,A & N Islands,4,0,0,0,0,0,3,1
27,Chandigarh,10,0,0,0,0,1,0,9
28,D & N Haveli,2,0,2,0,0,0,0,0
29,Daman & Diu,6,0,5,0,1,0,0,0
30,Delhi,265,1,5,0,39,1,19,200
31,Lakshadweep,0,0,0,0,0,0,0,0
32,Pondicherry,15,1,12,0,1,0,1,0
Total (UTs),Total (UTs),302,2,24,0,41,2,23,210
Total (All -India),Total (All -India),20067,4731,1832,1003,1173,1425,2079,7824
33,Ahmedabad,311,6,55,18,1,82,41,108
34,Bangalore,165,62,34,27,36,0,0,6
35,Bhopal,NA,NA,NA,NA,NA,NA,NA,NA
36,Bombay,389,90,80,12,21,11,37,138
37,Calcutta,5,0,0,0,1,0,3,1
38,Coimbatore,84,61,0,5,0,0,0,18
39,Delhi,265,1,5,0,39,1,19,200
40,Hyderabad,46,20,0,13,0,0,13,0
41,Indore,204,67,0,0,0,40,56,41
42,Jaipur,74,0,13,55,6,0,0,0
43,Kanpur,15,0,6,0,0,0,9,0
44,Kochi,9,1,0,0,0,0,6,2
45,Lucknow,21,0,2,0,16,0,0,3
46,Ludhiana,0,0,0,0,0,0,0,0
47,Madras,391,60,68,61,41,60,0,101
48,Madurai,144,0,65,0,0,5,0,74
49,Nagpur,110,0,0,0,17,4,0,89
50,Patna,85,43,36,0,5,1,0,0
51,Pune,131,3,61,18,3,0,0,46
52,Surat,310,57,41,18,7,53,134,0
53,Vadodara,5,0,0,0,0,0,0,5
54,Varanasi,0,0,0,0,0,0,0,0
55,Vishakhapatnam,70,0,10,10,0,0,0,50
