SL. No.,State/ UT/ City,Gain - Murder,Gain - C.H.,Property Dispute - Murder,Property Dispute - C.H.,Personal Vendetta or Enmity - Murder,Personal Vendetta or Enmity - C.H.,Love Affairs/ Sexual Causes - Murder,Love Affairs/ Sexual Causes - C.H.,Dowry - Murder,Dowry - C.H.,Lunacy - Murder,Lunacy - C.H.,Communalism - Murder,Communalism - C.H.,Casteism - Murder,Casteism - C.H.,Class Conflict - Murder,Class Conflict - C.H.,Other Motives - Murder,Other Motives - C.H.,Total - Murder,Total - C.H.
1,Andhra Pradesh,147,0,206,4,352,0,366,0,82,2,2,0,1,0,0,0,2,0,1356,73,2514,79
2,Arunachal Pradesh,5,1,1,0,9,0,2,0,0,0,0,0,0,0,0,0,1,0,37,4,55,5
3,Assam,126,5,124,6,85,2,42,1,20,1,10,0,3,0,0,0,4,0,691,33,1105,48
4,Bihar,1140,146,1017,89,771,79,280,28,233,18,26,3,14,0,62,0,36,0,1404,261,4983,624
5,Goa,2,0,1,0,8,1,5,1,0,0,0,0,0,0,0,0,0,0,20,7,36,9
6,Gujarat,56,0,99,0,95,0,131,0,26,0,9,0,63,0,13,0,9,0,1013,13,1514,13
7,Haryana,21,4,94,10,135,4,51,2,8,19,0,0,1,0,0,0,0,0,301,59,611,98
8,Himachal Pradesh,4,0,12,2,21,2,9,0,1,0,1,1,0,0,0,0,0,0,78,5,126,10
9,Jammu & Kashmir,0,0,5,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,679,15,691,15
10,Karnataka,77,0,132,1,162,3,160,2,37,2,2,0,11,0,0,0,1,0,912,39,1494,47
11,Kerala,25,1,15,0,214,0,7,0,0,0,11,0,7,0,0,0,0,0,227,27,506,28
12,Madhya Pradesh,130,0,389,0,555,16,229,7,41,88,16,0,12,0,1,0,0,0,1877,81,3250,192
13,Maharashtra,111,4,141,0,236,3,352,8,66,53,5,0,242,2,16,0,31,0,1933,80,3133,150
14,Manipur,14,0,4,0,10,0,0,0,0,0,3,0,12,0,0,0,73,0,203,3,319,3
15,Meghalaya,8,0,12,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,68,2,106,2
16,Mizoram,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,39,2
17,Nagaland,2,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,104,0
18,Orissa,56,11,78,14,111,9,59,0,4,3,1,0,4,0,0,0,5,1,503,63,821,101
19,Punjab,9,2,75,10,55,7,59,2,9,17,3,0,0,0,0,0,0,0,492,74,702,112
20,Rajasthan,69,0,111,11,261,15,54,0,148,4,5,0,0,0,6,0,1,0,751,72,1406,102
21,Sikkim,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,12,3
22,Tamil Nadu,95,0,255,0,304,0,198,1,5,0,0,0,1,2,6,0,33,2,733,23,1630,28
23,Tripura,56,0,29,0,101,0,7,0,2,0,0,0,0,0,0,0,0,0,60,0,255,0
24,Uttar Pradesh,414,35,711,90,1975,153,461,22,1674,13,1,0,5,1,1,0,0,0,5347,1229,10589,1543
25,West Bengal,34,68,423,189,781,275,186,12,17,1,0,1,0,0,0,0,0,0,244,38,1685,584
Total (States),Total (States),2603,277,3937,426,6286,569,2658,86,2374,221,96,5,376,5,105,0,196,3,19055,2206,37686,3798
26,A & N Islands,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0
27,Chandigarh,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,14,7
28,D & N Haveli,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0
29,Daman & Diu,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0
30,Delhi,3,0,78,9,23,7,46,20,5,0,0,0,0,0,0,0,0,0,332,47,487,83
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,2,0,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,35,2
Total (UTs),Total (UTs),7,0,84,9,49,7,46,20,5,0,0,0,0,0,0,0,0,0,363,56,554,92
Total (All -India),Total (All -India),2610,277,4021,435,6335,576,2704,106,2379,221,96,5,376,5,105,0,196,3,19418,2262,38240,3890
33,Ahmedabad,5,0,4,0,8,0,11,0,4,0,1,0,37,0,4,0,2,0,78,3,154,3
34,Bangalore,21,0,1,0,6,0,8,0,5,2,1,0,0,0,0,0,0,0,121,1,163,3
35,Bhopal,5,0,8,0,9,0,9,0,3,9,0,0,0,0,0,0,0,0,21,0,55,9
36,Bombay,31,1,10,0,48,3,18,0,10,1,1,0,241,2,16,0,11,0,301,0,687,7
37,Calcutta,14,0,0,0,21,8,0,0,3,0,0,0,0,0,0,0,0,0,32,4,70,12
38,Coimbatore,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,16,0
39,Delhi,2,0,76,5,21,3,40,16,5,0,0,0,0,0,0,0,0,0,252,33,396,57
40,Hyderabad,8,0,6,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,77,7,103,7
41,Indore,0,0,0,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,60,0,67,0
42,Jaipur,2,0,6,0,28,0,3,0,7,0,0,0,0,0,0,0,0,0,3,3,49,3
43,Kanpur,10,1,9,0,47,1,7,0,77,0,0,0,0,0,0,0,0,0,121,19,271,21
44,Kochi,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1
45,Lucknow,6,0,1,0,27,2,2,0,16,0,0,0,0,0,0,0,0,0,51,16,103,18
46,Ludhiana,0,1,1,0,2,0,5,0,2,0,0,0,0,0,0,0,0,0,16,2,26,3
47,Madras,9,0,11,0,31,0,16,0,0,0,0,0,0,0,0,0,0,0,33,3,100,3
48,Madurai,1,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26,0
49,Nagpur,1,0,1,0,19,0,3,0,1,0,0,0,0,0,0,0,0,0,85,3,110,3
50,Patna,78,4,25,7,17,8,0,0,0,0,0,0,0,0,0,0,0,0,41,2,161,21
51,Pune,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,60,3,71,3
52,Surat,0,0,2,0,5,0,6,0,1,0,0,0,16,0,0,0,0,0,59,1,89,1
53,Vadodara,0,0,1,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,28,2,41,2
54,Varanasi,7,0,11,0,11,1,4,0,15,0,0,0,0,0,0,0,0,0,14,7,62,8
55,Vishakhapatnam,5,0,2,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,9,3,25,3
