SL. No.,State/ UT,Incdence,Percentage Contributon to All-India Total,Estimated Mid-Year Population (In Lakhs),Rate (Incidence Per Lakh of Population),Rank of* Criminality
1,Andhra Pradesh,8335,9.9,693.4,12,8
2,Arunachal Pradesh,59,0.1,9.2,6.4,21
3,Assam,1491,1.8,235.9,6.3,23
4,Bihar,1896,2.3,909.5,2.1,29
5,Goa,93,0.1,12.2,7.6,16
6,Gujarat,3431,4.1,430.9,8,15
7,Haryana,1640,2,173.4,9.5,13
8,Himachal Pradesh,729,0.9,54,13.5,7
9,Jammu & Kashmir,907,1.1,81.3,11.2,10
10,Karnataka,3002,3.6,466.7,6.4,20
11,Kerala,1191,1.4,300.7,4,27
12,Madhya Pradesh,11378,13.6,694.1,16.4,5
13,Maharashtra,13913,16.6,826.3,16.8,4
14,Manipur,107,0.1,19.4,5.5,24
15,Meghalaya,43,0.1,18.7,2.3,28
16,Mizoram,78,0.1,7.4,10.5,11
17,Nagaland,1,0,13,0.1,31
18,Orissa,2131,2.5,330.6,6.4,19
19,Punjab,400,0.5,210.1,1.9,30
20,Rajasthan,7160,8.5,462.8,15.5,6
21,Sikkim,28,0,4.4,6.4,22
22,Tamil Nadu,2471,2.9,571.9,4.3,26
23,Tripura,266,0.3,29.1,9.1,14
24,Uttar Pradesh,14048,16.7,1450.6,9.7,12
25,West Bengal,4978,5.9,708.7,7,17
Total (States),Total (States),79776,95,8714.3,9.2,NA
26,A & N Islands,57,0.1,3.1,18.4,3
27,Chandigarh,82,0.1,7.1,11.5,9
28,D & N Haveli,10,0,1.5,6.7,18
29,Daman & Diu,6,0,1.1,5.5,25
30,Delhi,3482,4.1,102.2,34.1,2
31,Lakshadweep,0,0,0.6,0,32
32,Pondicherry,541,0.6,8.5,63.6,1
Total (UTs),Total (UTs),4178,5,124,33.7,NA
Total (All -India),Total (All -India),83954,100,8838.3,9.5,NA
