SL. No.,State/UT/City,DG/DIG/SP - Sanctioned,DG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctined,Grand Total - Actual
1,Andhra Pradesh,0,0,0,0,20,20,1126,970,1146,990
2,Arunachal Pradesh,0,1,0,0,13,9,52,115,65,125
3,Assam,0,0,0,0,22,22,201,201,223,223
4,Bihar,4,4,3,3,51,51,274,270,332,328
5,Goa,0,0,0,0,4,8,163,150,167,158
6,Gujarat,0,0,1,1,47,47,809,809,857,857
7,Haryana,0,1,0,2,19,26,169,370,188,399
8,Himachal Pradesh,0,0,0,1,3,10,41,183,44,194
9,Jammu & Kashmir,0,0,0,0,13,13,162,143,175,156
10,Karnataka,0,0,0,0,40,38,301,301,341,339
11,Kerala,0,0,1,0,25,23,468,464,494,487
12,Madhya Pradesh,0,0,1,1,133,133,926,926,1060,1060
13,Maharashtra,0,0,3,3,178,150,2695,2072,2876,2225
14,Manipur,0,0,0,4,1,5,243,233,244,242
15,Meghalaya,0,0,0,0,4,27,40,84,44,111
16,Mizoram,0,0,0,0,5,5,62,62,67,67
17,Nagaland,0,0,0,0,15,12,22,22,37,34
18,Orissa,0,0,1,1,83,70,210,197,294,268
19,Punjab,0,0,0,2,18,31,181,656,199,689
20,Rajasthan,1,1,1,1,28,28,511,511,541,541
21,Sikkim,0,0,0,1,0,18,0,12,0,31
22,Tamil Nadu,0,0,0,0,151,117,1155,1097,1306,1214
23,Tripura,0,0,1,1,39,8,175,152,215,161
24,Uttar Pradesh,0,3,0,4,176,121,1688,1681,1864,1809
25,West Bengal,0,1,1,8,210,157,430,353,641,519
Total (States),Total (States),5,11,13,33,1298,1149,12104,12034,13420,13227
26,A & N Islands,0,0,0,0,4,4,43,43,47,47
27,Chandigarh,0,0,0,0,2,22,33,130,35,152
28,D & N Haveli,0,0,0,0,0,0,0,12,0,12
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,Delhi,0,0,1,1,410,237,998,695,1409,933
31,Lakshadweep,0,0,0,0,1,1,7,7,8,8
32,Pondicherry,0,0,0,0,2,3,12,61,14,64
Total (UTs),Total (UTs),0,0,1,1,419,267,1093,948,1513,1216
Total (All -India),Total (All -India),5,11,14,34,1717,1416,13197,12982,14933,14443
33,Ahmedabad,0,0,0,0,12,11,159,159,171,170
34,Bangalore,0,0,0,0,21,21,143,130,164,151
35,Bhopal,0,0,0,0,0,0,0,0,0,0
36,Bombay,0,0,3,3,123,123,770,623,896,749
37,Calcutta,0,0,1,1,83,80,80,78,164,159
38,Coimbatore,0,0,0,0,12,10,57,56,69,66
39,Delhi,0,0,1,1,410,237,998,695,1409,933
40,Hyderabad,1,1,0,0,8,8,199,199,208,208
41,Indore,0,0,0,0,6,6,53,53,59,59
42,Jaipur,0,0,2,0,10,2,77,57,89,59
43,Kanpur,0,0,1,0,14,9,43,45,58,54
44,Kochi,0,0,0,0,3,3,37,37,40,40
45,Lucknow,0,0,0,0,4,4,43,43,47,47
46,Ludhiana,0,0,0,0,0,1,18,38,18,39
47,Madras,0,0,0,0,15,15,166,166,181,181
48,Madurai,0,0,0,0,6,6,52,52,58,58
49,Nagpur,0,0,0,0,5,5,149,135,154,140
50,Patna,0,0,0,0,5,5,63,63,68,68
51,Pune,0,0,0,0,9,4,164,162,173,166
52,Surat,0,0,0,0,2,2,115,82,117,84
53,Vadodara,0,0,0,0,2,0,98,69,100,69
54,Varanasi,0,0,0,0,8,5,46,42,54,47
55,Vishakhapatnam,0,0,0,0,2,4,88,88,90,92
