SL. No.,State/UT/City,1988,1989,1990,1991,1992,Quinquennial Avg. 1988-1992 (Q.A.),1993,Percentage change in 1993 - [(+) Increase/ (-) Decrease) - Over - Q.A.,Percentage change in 1993 - [(+) Increase/ (-) Decrease) - Over - 1992
1,Andhra Pradesh,86099,98112,104299,101676,99332,97904,98625,0.7,-0.7
2,Arunachal Pradesh,1764,2002,2187,1861,1822,1927,1560,-19.1,-14.4
3,Assam,37684,39499,37503,35144,40812,38128,37355,-2,-8.5
4,Bihar,113640,114305,124414,119932,131007,120660,125642,4.1,-4.1
5,Goa,3969,4225,3738,3805,3968,3941,4111,4.3,3.6
6,Gujarat,87732,95194,107262,124472,128155,108563,119809,10.4,-6.5
7,Haryana,25542,28332,28713,28584,30246,28283,31754,12.3,5
8,Himachal Pradesh,6521,7168,8316,9209,8864,8016,10864,35.5,22.6
9,Jammu & Kashmir,19868,21442,15047,15545,15505,17481,14731,-15.7,-5
10,Karnataka,86998,92440,100740,104489,99679,96869,105863,9.3,6.2
11,Kerala,64086,67051,68698,74103,71919,69171,76852,11.1,6.9
12,Madhya Pradesh,180630,195183,209556,218431,201381,201036,179758,-10.6,-10.7
13,Maharashtra,183357,189055,185652,192295,196370,189346,184589,-2.5,-6
14,Manipur,2379,2445,2260,2100,2387,2314,2624,13.4,9.9
15,Meghalaya,1735,1751,1716,1726,2421,1870,1863,-0.4,-23
16,Mizoram,1267,1638,1612,1781,1702,1600,1465,-8.4,-13.9
17,Nagaland,1408,1591,1827,1641,1605,1614,1546,-4.2,-3.7
18,Orissa,41068,44321,47947,52081,50438,47171,51609,9.4,2.3
19,Punjab,14275,14166,16131,16081,12380,14607,9445,-35.3,-23.7
20,Rajasthan,88146,99617,103228,113617,123426,105607,121100,14.7,-1.9
21,Sikkim,333,380,373,469,557,422,662,56.7,18.9
22,Tamil Nadu,128725,126075,128529,133284,128665,129056,125654,-2.6,-2.3
23,Tripura,5520,5363,5652,5594,5085,5443,5175,-4.9,1.8
24,Uttar Pradesh,160253,172880,193985,208561,216339,190404,203488,6.9,-5.9
25,West Bengal,63380,68409,66644,69073,72171,67935,70718,4.1,-2
Total (States),Total (States),1406379,1492644,1566029,1635554,1646236,1549368,1586862,2.4,-3.6
26,A & N Islands,897,1144,919,551,625,827,664,-19.7,6.2
27,Chandigarh,1734,1705,1784,1629,1377,1646,1943,18.1,41.1
28,D & N Haveli,551,352,480,437,327,429,321,-25.2,-1.8
29,Daman & Diu,120,147,204,257,205,187,222,9,8.3
30,Delhi,28013,30523,31848,34876,36302,32312,36597,13.3,0.8
31,Lakshadweep,30,91,30,54,46,50,48,-4.4,4.3
32,Pondicherry,2632,3238,3155,5017,4223,3653,3279,-10.2,-22.4
Total (UTs),Total (UTs),33977,37200,38420,42821,43105,39105,43074,10.2,-0.1
Total (All -India),Total (All -India),1440356,1529844,1604449,1678375,1689341,1588472,1629936,2.6,-3.5
33,Ahmedabad,12294,13364,14847,18017,19875,15679,17499,11.6,-12
34,Bangalore,21998,23107,23033,25311,26247,23939,26479,10.6,0.9
35,Bhopal,*,*,*,*,7459,*,5784,NA,-22.5
36,Bombay,35802,37309,38302,39897,40979,38458,35687,-7.2,-12.9
37,Calcutta,13652,13738,12975,13803,14110,13656,12206,-10.6,-13.5
38,Coimbatore,*,*,*,*,3621,*,3246,NA,-10.4
39,Delhi,25530,28467,29510,32462,33055,29805,33799,13.4,2.3
40,Hyderabad,7469,8063,8767,10736,10306,9068,9165,1.1,-11.1
41,Indore,*,*,*,*,10813,*,8394,NA,-22.4
42,Jaipur,6860,6269,6901,8241,9413,7537,9435,25.2,0.2
43,Kanpur,5926,5526,5769,7712,8112,6609,7137,8,-12
44,Kochi,*,*,*,*,3320,*,3400,NA,2.4
45,Lucknow,4642,5336,7461,6794,7684,6383,6946,8.8,-9.6
46,Ludhiana,*,*,*,*,759,*,646,NA,-14.9
47,Madras,13947,14168,12372,12633,13174,13259,8936,-32.6,-32.2
48,Madurai,*,*,*,*,3375,*,2935,NA,-13
49,Nagpur,8249,9368,9598,9987,10416,9524,10039,5.4,-3.6
50,Patna,*,*,*,*,7235,*,5746,NA,-20.6
51,Pune,10051,10380,10292,11411,11396,10706,9825,-8.2,-13.8
52,Surat,*,*,*,*,4867,*,4536,NA,-6.8
53,Vadodara,*,*,*,*,7159,*,5171,NA,-27.8
54,Varanasi,*,*,*,*,2994,*,2574,NA,-14
55,Vishakhapatnam,*,*,*,*,3898,*,3789,NA,-2.8
