SL. No.,State/UT,Total no. persons under trial including those from previous year,No. of persons whose - cases compounded or withdrawn,No. of persons whose - trial completed,No. of persons whose - trial remained pending,No. of persons convicted,Pendency percentage,Percentage of Pendency to All-India Total
1,Andhra Pradesh,404584,22584,120879,261121,43237,64.5,3.3
2,Arunachal Pradesh,7782,86,355,7341,280,94.3,0.1
3,Assam,176040,6841,32154,137045,4633,77.8,1.7
4,Bihar,1267881,27553,166335,1073993,40391,84.7,13.4
5,Goa,29677,606,2016,27055,720,91.2,0.3
6,Gujarat,604251,22823,95494,485934,34336,80.4,6.1
7,Haryana,154734,1471,29403,123860,13815,80,1.5
8,Himachal Pradesh,43957,3251,6890,33816,1025,76.9,0.4
9,Jammu & Kashmir,121419,5495,7282,108642,2292,89.5,1.4
10,Karnataka,496931,30982,78341,387608,14578,78,4.8
11,Kerala,323128,23854,70397,228877,11854,70.8,2.9
12,Madhya Pradesh,1333276,42099,154270,1136907,81893,85.3,14.2
13,Maharashtra,1549066,40321,141344,1367401,37019,88.3,17.1
14,Manipur,5084,6,18,5060,10,99.5,0.1
15,Meghalaya,7831,167,687,6977,644,89.1,0.1
16,Mizoram,2349,24,1263,1062,1031,45.2,0
17,Nagaland,3661,49,669,2943,552,80.4,0
18,Orissa,446770,138,93684,352948,11124,79,4.4
19,Punjab,40486,443,13083,26960,5051,66.6,0.3
20,Rajasthan,911825,32983,85334,793508,47459,87,9.9
21,Sikkim,1193,26,366,801,246,67.1,0
22,Tamil Nadu,469368,12608,178023,278737,91586,59.4,3.5
23,Tripura,11514,701,1980,8833,287,76.7,0.1
24,Uttar Pradesh,1029663,39681,223655,766327,116134,74.4,9.6
25,West Bengal,271974,3055,31477,237442,5777,87.3,3
Total (States),Total (States),9714444,317847,1535399,7861198,565974,80.9,98.1
26,A & N Islands,3298,87,315,2896,182,87.8,0
27,Chandigarh,5779,76,968,4735,440,81.9,0.1
28,D & N Haveli,1917,0,517,1400,122,73,0
29,Daman & Diu,878,50,141,687,55,78.2,0
30,Delhi,160950,0,23825,137125,11163,85.2,1.7
31,Lakshadweep,59,3,6,50,5,84.7,0
32,Pondicherry,7084,1879,2915,2290,1802,32.3,0
Total (UTs),Total (UTs),179965,2095,28687,149183,13769,82.9,1.9
Total (All -India),Total (All -India),9894409,319942,1564086,8010381,579743,81,100
