SL. No.,Crime Head,Incidence - 1983,Rate - 1983,Incidence - 1988,Rate - 1988,Incidence - 1989,Rate - 1989,Incidence - 1990,Rate - 1990,Incidence - 1991,Rate - 1991,Incidence - 1992,Rate - 1992,Incidence - Quinquennial Avg. 1988-1992 (Q.A.),Rate - Quinquennial Avg. 1988-1992 (Q.A.),Incidence - 1993,Rate - 1993,Percentage Change in 1993 - [(+) Increase/(-) Decrease] - Over - 1983,Percentage Change in 1993 - [(+) Increase/(-) Decrease] - Over - Quinquennial Avg.,Percentage Change in 1993 - [(+) Increase/(-) Decrease] - Over - 1992
1,Arms Act,64413,8.9,52601,6.6,54637,6.7,58092,7,62025,7.3,63893,7.4,58250,7,65532,7.4,1.7,12.5,2.6
2,Narcotic Drugs & Psychotropic Substances Act,14356,2,13357,1.7,12831,1.6,14176,1.7,20944,2.5,22478,2.6,16757,1,21087,2.4,46.9,25.8,-6.2
3,Gambling Act,189863,26.4,171024,21.5,162966,20.1,168056,20.3,167113,19.7,167193,19.3,167270,20.1,162800,18.4,-14.3,-2.7,-2.6
4,Excise Act,113338,15.7,88419,11.1,90118,11.1,94093,11.4,95863,11.3,95108,11,92720,11.2,96578,10.9,-14.8,4.2,1.5
5,Prohibition Act,388224,53.9,640011,80.3,710928,87.6,594789,71.9,548237,64.5,627426,72.3,624278,75.2,600356,67.9,54.6,-3.8,-4.3
6,Explosive & Explosive Substances Act,3477,0.5,3712,0.5,4322,0.5,5600,0.7,5458,0.6,8899,1,5598,0.7,6163,0.7,77.3,10.1,-30.7
7,Immoral Traffic (Prevention) Act,15325,2.1,15989,2,13466,1.7,16426,2,14639,1.7,12580,1.4,14620,1.8,12496,1.4,-18.5,-14.5,-0.7
8,Indian Railways Act,48655,6.8,37438,4.7,35664,4.4,39443,4.8,33720,4,26548,3.1,34563,4.2,24079,2.7,-50.5,-30.3,-9.3
9,Registration of Foreigners Act,*,*,1119,0.1,1969,0.2,2357,0.3,3301,0.4,1996,0.2,2148,0.3,1761,0.2,NA,-18,-11.8
10,Protection Of Civil Rights Act,*,*,2966,0.4,3443,0.4,3683,0.4,3835,0.5,4380,0.5,3661,0.4,5040,0.6,NA,37.7,15.1
11,Indian Passport Act,*,*,729,0.1,628,0.1,608,0.1,726,0.1,1169,0.1,772,0.1,1548,0.2,NA,100.5,32.4
12,Essential Commodities Act,*,*,5829,0.7,11149,1.4,6611,0.8,8307,1,7292,0.8,7838,0.9,6533,0.7,NA,-16.6,-10.4
13,Terrorist & Disruptive Actvites Act,*,*,763,0.1,1773,0.2,2498,0.3,3913,0.5,4093,0.5,2608,0.3,3743,0.4,NA,43.5,-8.6
14,Antiquity & Art Treasure Act,*,*,12,0,11,0,18,0,10,0,40,0,18,0,18,0,NA,-1.1,-55
15,Dowry Prohibition Act,*,*,2064,0.3,1918,0.2,2155,0.3,1841,0.2,2102,0.2,2016,0.2,2679,0.3,NA,32.9,27.5
16,Other L & SL Crimes,2083412,289.2,2729636,342.7,2741842,337.7,2284958,276.3,2401039,282.6,2513251,289.6,2534145,305.1,2793225,316,34.1,10.2,11.1
17,Total Cognizable Crimes Under L & SL,2921063,405.5,3765669,472.7,3847665,474,3293563,398.3,3370971,396.8,3558448,410.1,3567263,429.5,3803638,430.4,30.2,6.6,6.9
