SL. No.,State/UT/City,7-12 Years - Boys,7-12 Years - Girls,12-16 Years - Boys,12-16 Years - Girls,16-18 Years - Girls Only,Overall Age Groups - Boys,Overall Age Groups - Girls,Total (Boys + Girls)
1,Andhra Pradesh,55,7,681,20,140,736,167,903
2,Arunachal Pradesh,7,0,16,1,0,23,1,24
3,Assam,19,0,222,4,12,241,16,257
4,Bihar,92,17,2268,122,207,2360,346,2706
5,Goa,3,0,27,5,11,30,16,46
6,Gujarat,136,16,840,93,289,976,398,1374
7,Haryana,3,1,151,8,19,154,28,182
8,Himachal Pradesh,2,0,35,10,17,37,27,64
9,Jammu & Kashmir,0,0,0,0,0,0,0,0
10,Karnataka,64,1,192,41,58,256,100,356
11,Kerala,8,2,74,1,1,82,4,86
12,Madhya Pradesh,298,26,1728,58,142,2026,226,2252
13,Maharashtra,317,60,1671,161,216,1988,437,2425
14,Manipur,0,0,7,2,4,7,6,13
15,Meghalaya,1,0,102,2,0,103,2,105
16,Mizoram,0,0,25,0,2,25,2,27
17,Nagaland,4,0,28,0,0,32,0,32
18,Orissa,21,0,102,7,0,123,7,130
19,Punjab,0,0,1,0,0,1,0,1
20,Rajasthan,51,13,499,26,87,550,126,676
21,Sikkim,2,0,8,0,0,10,0,10
22,Tamil Nadu,89,9,474,14,16,563,39,602
23,Tripura,2,0,8,1,0,10,1,11
24,Uttar Pradesh,4,1,42,3,16,46,20,66
25,West Bengal,10,0,21,0,1,31,1,32
Total (States),Total (States),1188,153,9222,579,1238,10410,1970,12380
26,A & N Islands,0,0,2,1,0,2,1,3
27,Chandigarh,0,0,10,0,0,10,0,10
28,D & N Haveli,0,0,1,0,1,1,1,2
29,Daman & Diu,0,3,1,1,1,1,5,6
30,Delhi,14,5,180,16,22,194,43,237
31,Lakshadweep,0,0,0,0,0,0,0,0
32,Pondicherry,1,0,10,4,0,11,4,15
Total (UTs),Total (UTs),15,8,204,22,24,219,54,273
Total (All -India),Total (All -India),1203,161,9426,601,1262,10629,2024,12653
33,Ahmedabad,11,1,122,14,58,133,73,206
34,Bangalore,25,1,106,13,20,131,34,165
35,Bhopal,NA,NA,NA,NA,NA,NA,NA,NA
36,Bombay,6,7,240,25,13,246,45,291
37,Calcutta,2,0,3,0,0,5,0,5
38,Coimbatore,3,0,15,0,0,18,0,18
39,Delhi,14,5,180,16,22,194,43,237
40,Hyderabad,2,0,44,0,0,46,0,46
41,Indore,0,0,204,0,0,204,0,204
42,Jaipur,4,0,55,7,8,59,15,74
43,Kanpur,0,0,0,0,6,0,6,6
44,Kochi,0,0,9,0,0,9,0,9
45,Lucknow,0,1,17,3,0,17,4,21
46,Ludhiana,0,0,0,0,0,0,0,0
47,Madras,21,0,123,0,0,144,0,144
48,Madurai,13,0,62,0,0,75,0,75
49,Nagpur,0,0,36,3,6,36,9,45
50,Patna,0,0,53,0,3,53,3,56
51,Pune,16,4,93,12,5,109,21,130
52,Surat,1,0,88,4,14,89,18,107
53,Vadodara,0,0,3,0,2,3,2,5
54,Varanasi,0,0,0,0,0,0,0,0
55,Vishakhapatnam,1,0,10,2,2,11,4,15
