SL. No.,State,City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction - Total,Kidnapping & Abduction - Of Women & Girls,Kidnapping & Abduction - Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Hyderabad,103,107,7,43,76,25,51,14,0,114,1180,3374,170,65,448,12,3452,9165
2,Andhra Pradesh,Vijayawada,53,54,0,16,32,7,25,26,0,47,280,978,35,17,167,14,1461,3180
3,Andhra Pradesh,Vishakhapatnam,25,17,3,12,20,13,7,1,0,30,384,1130,18,50,146,19,1934,3789
1,Assam,Guwahati,38,0,3,20,87,87,0,32,0,96,261,961,99,13,138,0,1945,3693
1,Bihar,Patna,161,251,21,15,96,22,74,16,8,156,401,1922,260,141,101,2,2195,5746
2,Bihar,Ranchi,114,92,5,17,40,38,2,28,0,156,218,537,57,22,46,3,911,2246
1,Gujarat,Ahmedabad,154,119,3,20,174,128,46,29,0,118,879,4353,279,488,536,25,10322,17499
2,Gujarat,Bhavnagar,16,16,0,4,11,7,4,0,0,11,54,221,24,61,42,6,929,1395
3,Gujarat,Rajkot,32,24,0,6,32,25,7,3,0,19,210,628,55,146,170,11,2064,3400
4,Gujarat,Surat,89,49,1,14,49,35,14,29,0,60,411,1421,167,61,162,1,2022,4536
5,Gujarat,Vadodara,41,13,2,11,36,34,2,3,0,21,348,1368,318,112,215,11,2672,5171
1,Karnataka,Bangalore,163,310,3,48,111,40,71,27,2,486,2510,7239,342,294,936,1010,12998,26479
2,Karnataka,Belgaum,11,6,0,0,4,0,4,2,0,10,146,165,31,12,32,4,1107,1530
3,Karnataka,Bijapure,11,2,0,2,12,12,0,1,0,6,54,81,65,5,17,0,295,551
4,Karnataka,Davanagere,10,2,0,2,2,0,2,0,0,3,139,164,39,2,19,0,365,747
5,Karnataka,Gulbarga,16,9,0,4,6,0,6,1,0,30,130,253,56,2,15,0,416,938
6,Karnataka,Hubli-Dharwad,15,14,0,4,5,3,2,4,0,33,246,363,95,25,67,1,793,1665
7,Karnataka,Raichur,6,10,1,1,2,1,1,4,0,2,49,70,21,4,22,0,227,419
8,Karnataka,Tumkur,12,12,0,2,3,2,1,1,0,4,137,234,33,3,11,0,629,1081
1,Kerala,Kochi,9,11,1,5,5,3,2,0,0,11,281,302,178,19,98,3,2477,3400
2,Kerala,Kozhikode,14,8,1,6,10,5,5,2,0,4,170,219,221,19,78,0,2922,3674
3,Kerala,Thiruvananthapuram,22,44,1,7,12,11,1,16,18,39,331,353,392,14,111,6,2915,4281
1,Madhya Pradesh,Bhilaidurg,23,54,3,34,27,21,6,6,1,68,480,813,43,24,53,8,1907,3544
2,Madhya Pradesh,Bhopal,55,132,9,39,42,42,0,8,0,120,495,1211,65,10,59,7,3532,5784
