SL. No.,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,5,5,1,9,4,1,3,0,0,2,76,127,31,0,0,0,439,699
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,4,12
3,Assam,6,2,0,8,9,7,2,1,0,3,29,50,21,0,1,0,15,145
4,Bihar,34,40,4,33,107,81,26,29,5,36,55,287,478,0,13,0,265,1386
5,Goa,0,0,0,0,0,0,0,0,0,0,9,9,8,0,0,0,10,36
6,Gujarat,24,16,1,7,12,9,3,5,0,8,104,171,73,1,7,1,541,971
7,Haryana,20,1,0,8,0,0,0,4,0,6,20,25,2,11,4,0,148,249
8,Himachal Pradesh,2,0,0,1,0,0,0,0,0,0,2,2,5,0,0,0,38,50
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,6,2,1,1,1,1,0,0,0,0,31,48,10,0,3,0,56,159
11,Kerala,4,0,2,2,0,0,0,0,0,1,11,13,10,0,0,0,12,55
12,Madhya Pradesh,90,49,2,53,8,7,1,2,0,13,247,301,54,0,2,0,853,1674
13,Maharashtra,50,28,1,22,20,14,6,8,0,18,295,641,179,1,9,0,921,2193
14,Manipur,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6
15,Meghalaya,3,0,0,6,0,0,0,0,0,4,5,16,9,0,7,0,46,96
16,Mizoram,1,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,16,27
17,Nagaland,0,0,0,1,0,0,0,0,0,0,4,5,0,0,0,0,1,11
18,Orissa,5,0,0,0,0,0,0,0,0,0,25,68,0,0,0,0,15,113
19,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20,Rajasthan,16,22,1,10,10,9,1,0,0,3,81,83,106,2,1,0,184,519
21,Sikkim,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,5
22,Tamil Nadu,20,0,0,2,9,9,0,1,0,2,112,391,32,0,0,0,170,739
23,Tripura,1,0,0,0,1,1,0,0,0,1,0,8,0,0,0,0,0,11
24,Uttar Pradesh,3,3,0,1,0,0,0,0,0,0,7,10,2,0,0,0,31,57
