SL. No.,State/UT,Estimated Mid-Year Population (in Lakhs),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Cotribution to All-India (P),Kidnapping & Abducting - Incidence (I),Kidnapping & Abducting - Rate (R),Kidnapping & Abducting - Percentage Cotribution to All-India (P),Dowry Deaths - Incidence (I),Dowry Deaths - Rate (R),Dowry Deaths - Percentage Cotribution to All-India (P),Torture (Cruelty by Husband & His Relatives) - Incidence (I),Torture (Cruelty by Husband & His Relatives) - Rate (R),Torture (Cruelty by Husband & His Relatives) - Percentage Cotribution to All-India (P),Molestration - Incidence (I),Molestration - Rate (R),Molestration - Percentage Cotribution to All-India (P),Eve-Teasing - Incidence (I),Eve-Teasing - Rate (R),Eve-Teasing - Percentage Cotribution to All-India (P),Total - Incidence (I),Total - Rate (R),Total - Percentage Cotribution to All-India (P)
1,Andhra Pradesh,681.3,763,1.1,6.9,531,0.8,4.4,424,0.6,8.5,1842,2.7,9.3,1773,2.6,8.7,1079,1.6,10,6412,9.4,8.1
2,Arunachal Pradesh,8.9,25,2.8,0.2,27,3,0.2,1,0.1,0,2,0.2,0,36,4,0.2,0,0,0,91,10.2,0.1
3,Assam,230.8,442,1.9,4,611,2.6,5.1,11,0,0.2,247,1.1,1.3,113,0.5,0.6,96,0.4,0.9,1520,6.6,1.9
4,Bihar,889.8,1019,1.1,9.2,267,0.3,2.2,170,0.2,3.4,315,0.4,1.6,151,0.2,0.7,24,0,0.2,1946,2.2,2.5
5,Goa,12,12,1,0.1,13,1.1,0.1,1,0.1,0,16,1.3,0.1,37,3.1,0.2,14,1.2,0.1,93,7.8,0.1
6,Gujarat,423.3,285,0.7,2.6,575,1.4,4.8,123,0.3,2.5,1224,2.9,6.2,852,2,4.2,1199,2.8,11.2,4258,10.1,5.4
7,Haryana,169.7,215,1.3,1.9,228,1.3,1.9,209,1.2,4.2,237,1.4,1.2,306,1.8,1.5,417,2.5,3.9,1612,9.5,2
8,Himachal Pradesh,53,83,1.6,0.7,147,2.8,1.2,18,0.3,0.4,119,2.2,0.6,233,4.4,1.1,9,0.2,0.1,609,11.5,0.8
9,Jammu & Kashmir,79.5,123,1.5,1.1,359,4.5,3,30,0.4,0.6,1,0,0,209,2.6,1,217,2.7,2,939,11.8,1.2
10,Karnataka,459.5,150,0.3,1.3,259,0.6,2.1,209,0.5,4.2,985,2.1,5,884,1.9,4.3,53,0.1,0.5,2540,5.5,3.2
11,Kerala,296.6,212,0.7,1.9,72,0.2,0.6,18,0.1,0.4,290,1,1.5,553,1.9,2.7,1,0,0,1146,3.9,1.4
12,Madhya Pradesh,680.3,2658,3.9,23.9,1052,1.5,8.7,353,0.5,7.1,1469,2.2,7.4,6291,9.2,30.9,601,0.9,5.6,12424,18.3,15.7
13,Maharashtra,810.3,961,1.2,8.6,965,1.2,8,727,0.9,14.7,6168,7.6,31.2,2778,3.4,13.6,352,0.4,3.3,11951,14.7,15.1
14,Manipur,18.9,17,0.9,0.2,111,5.9,0.9,0,0,0,2,0.1,0,20,1.1,0.1,10,0.5,0.1,160,8.5,0.2
15,Meghalaya,18.3,25,1.4,0.2,2,0.1,0,2,0.1,0,1,0.1,0,13,0.7,0.1,1,0.1,0,44,2.4,0.1
16,Mizoram,7.2,34,4.7,0.3,0,0,0,0,0,0,1,0.1,0,52,7.2,0.3,0,0,0,87,12.1,0.1
17,Nagaland,12.6,1,0.1,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,2,0.2,0
18,Orissa,324.6,302,0.9,2.7,202,0.6,1.7,152,0.5,3.1,257,0.8,1.3,799,2.5,3.9,106,0.3,1,1818,5.6,2.3
19,Punjab,207,61,0.3,0.5,101,0.5,0.8,101,0.5,2,33,0.2,0.2,17,0.1,0.1,1,0,0,314,1.5,0.4
20,Rajasthan,453,818,1.8,7.4,2434,5.4,20.2,250,0.6,5,1836,4.1,9.3,1740,3.8,8.5,15,0,0.1,7093,15.7,9
21,Sikkim,4.2,11,2.6,0.1,6,1.4,0,0,0,0,0,0,0,12,2.9,0.1,0,0,0,29,6.9,0
22,Tamil Nadu,566.3,232,0.4,2.1,467,0.8,3.9,75,0.1,1.5,294,0.5,1.5,635,1.1,3.1,680,1.2,6.3,2383,4.2,3
23,Tripura,28.4,73,2.6,0.7,55,1.9,0.5,3,0.1,0.1,31,1.1,0.2,122,4.3,0.6,0,0,0,284,10,0.4
24,Uttar Pradesh,1425.1,1735,1.2,15.6,2218,1.6,18.4,1783,1.3,35.9,2329,1.6,11.8,2081,1.5,10.2,2727,1.9,25.4,12873,9,16.3
25,West Bengal,969.6,615,0.9,5.5,631,0.9,5.2,174,0.2,3.5,1920,2.8,9.7,384,0.6,1.9,120,0.2,1.1,3844,5.5,4.9
Total (States),Total (States),8830.2,10872,1.3,97.8,11333,1.3,93.8,4834,0.6,97.4,19619,2.3,99.3,20092,2.3,98.6,7722,0.9,71.8,74472,8.7,94.2
26,A & N Islands,2.9,5,1.7,0,2,0.7,0,0,0,0,6,2.1,0,13,4.5,0.1,2,0.7,0,28,9.7,0
27,Chandigarh,6.8,15,2.2,0.1,19,2.8,0.2,1,0.1,0,8,1.2,0,9,1.3,0,30,4.4,0.3,82,12.1,0.1
28,D & N Haveli,1.4,1,0.7,0,1,0.7,0,0,0,0,4,2.9,0,5,3.6,0,0,0,0,11,7.9,0
29,Daman & Diu,1,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,4,4,0
30,Delhi,98.7,215,2.2,1.9,709,7.2,5.9,121,1.2,2.4,106,1.1,0.5,226,2.3,1.1,2303,23.3,21.4,3680,37.3,4.7
31,Lakshadweep,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,8.3,3,0.4,0,12,1.4,0.1,6,0.7,0.1,5,0.6,0,40,4.8,0.2,694,83.6,6.5,760,91.6,1
Total (UTs),Total (UTs),119.6,240,2,2.2,744,6.2,8.2,128,1.1,2.5,131,1.1,0.7,293,2.4,1.4,3029,26.3,28.2,4565,38.2,6.8
Total (All -India),Total (All -India),8949.8,11112,1.3,100,12077,1.4,100,4962,0.6,100,19750,2.3,100,20385,2.3,100,10751,1.2,100,79037,9.1,100
