SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Eastablishments - Number,Commercial Eastablishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,5592,611.4,0,0,0,0,3,0.1,4,0,239,22.8,978,97.2,6816,731.4
2,Arunachal Pradesh,125,11.2,0,0,0,0,0,0,0,0,28,3.4,4,0.3,157,14.9
3,Assam,2267,99.5,0,0,0,0,0,0,0,0,632,71.2,700,111,3599,281.8
4,Bihar,6933,201.6,0,0,0,0,59,0.6,0,0,720,9.5,202,7.7,7914,219.4
5,Goa,349,35.1,0,0,0,0,0,0,3,0.1,117,22.6,110,25.9,579,83.6
6,Gujarat,4796,616.7,0,0,1,0.1,0,0,12,0.1,573,117.7,979,219.4,6361,953.9
7,Haryana,2113,222.7,0,0,0,0,0,0,6,1.2,239,47.9,200,23.8,2558,295.5
8,Himachal Pradesh,689,108.8,0,0,0,0,0,0,2,0,81,17.8,312,17.3,1084,143.9
9,Jammu & Kashmir,1151,162,0,0,0,0,0,0,3,0,194,54.3,253,23.6,1601,239.9
10,Karnataka,7399,560.8,0,0,0,0,2,0,22,0.2,1091,111.7,1627,123.9,10141,796.7
11,Kerala,2466,728.5,4,0.3,3,0,10,0,0,0,795,147.5,1314,290,4592,1182.9
12,Madhya Pradesh,15502,662.4,7,0.1,0,0,17,16.6,18,0.7,676,46.2,2614,118.4,18834,828.1
13,Maharashtra,15022,1697.5,0,0,0,0,9,0.3,4,0.1,1088,268.9,668,639.1,16791,2606.8
14,Manipur,66,3.1,0,0,0,0,0,1.3,0,0,7,0.4,24,1,97,4.5
15,Meghalaya,159,5.2,0,0,0,0,0,0,1,0,42,13.1,17,1.6,219,19.9
16,Mizoram,64,2.6,0,0,0,0,0,0,0,0,7,0.6,168,3.6,239,6.8
17,Nagaland,75,7.9,9,0.1,0,0,0,0,3,0.1,85,12.1,51,3.9,223,24
18,Orissa,4510,698.4,0,0,0,0,31,1,0,0,0,0,158,7,4699,706.4
19,Punjab,637,236.2,0,0,0,0,1,0.1,4,0.2,38,26.4,259,75.1,939,338
20,Rajasthan,5103,404.6,0,0,0,0,2,0,0,0,244,65.8,2202,134.4,7551,604.8
21,Sikkim,64,3.4,0,0,0,0,0,0,0,0,14,0.5,19,1.3,97,5.1
22,Tamil Nadu,5047,423.5,0,0,0,0,9,0,53,17.9,476,86.8,1360,113.9,6945,642.1
23,Tripura,433,3,0,0,0,0,0,0,0,0,30,0.9,57,2.7,520,6.7
24,Uttar Pradesh,16098,1319,0,0,0,0,15,1.1,0,0,470,8.6,958,53.5,17541,1382.2
25,West Bengal,910,56.1,0,0,0,0,0,0,0,0,68,13.7,60,1.4,1038,71.2
Total (States),Total (States),97570,8881.2,20,0.5,4,0.1,158,21,135,20.6,7954,1170.4,15294,2096.8,121135,12190.7
26,A & N Islands,62,3.5,0,0,0,0,0,0,0,0,14,0.8,12,0.3,88,4.7
27,Chandigarh,112,23.6,0,0,0,0,0,0,2,0,28,0.9,35,0.7,177,25.2
28,D & N Haveli,19,1.8,0,0,0,0,0,0,0,0,0,0,1,0,20,1.8
29,Daman & Diu,11,0.6,0,0,0,0,0,0,0,0,5,0.9,6,31.2,22,32.6
30,Delhi,722,279.6,65,5.6,0,0,0,0,0,0,0,0,678,97.5,1465,382.8
31,Lakshadweep,5,0.3,0,0,0,0,0,0,0,0,0,0,3,0.1,8,0.4
32,Pondicherry,75,22.1,0,0,0,0,0,0,3,0,9,0.7,18,0.1,105,22.9
Total (UTs),Total (UTs),1006,331.5,65,5.6,0,0,0,0,5,0,56,3.3,753,130,1885,470.4
Total (All -India),Total (All -India),98576,9212.7,85,6.1,4,0.1,158,21,140,20.6,8010,1173.7,18047,2226.7,123020,12661.1
33,Ahmedabad,582,142.5,0,0,0,0,0,0,2,0,165,50,130,12.7,879,205.2
34,Bangalore,1737,122.4,0,0,0,0,0,0,2,0,262,32.2,509,52,2510,206.6
35,Bhopal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Bombay,1526,658.3,0,0,0,0,0,0,0,0,585,195.8,744,524.5,2855,1378.7
37,Calcutta,162,31.7,0,0,0,0,0,0,0,0,61,12.9,5,1,228,45.6
38,Coimbatore,223,12.8,0,0,0,0,0,0,0,0,22,8.3,18,4.4,263,25.6
39,Delhi,669,257.6,43,5.4,0,0,0,0,0,0,0,0,580,88.9,1292,352
40,Hyderabad,949,170.2,0,0,0,0,0,0,0,0,0,0,231,39,1180,209.2
41,Indore,62,4.6,0,0,0,0,5,0,0,0,52,4.9,682,65.6,801,75.2
42,Jaipur,519,61,0,0,0,0,0,0,0,0,78,59.2,21,3.7,618,124
43,Kanpur,641,71.5,0,0,0,0,0,0,0,0,0,0,0,0,641,71.5
44,Kochi,149,23.9,0,0,0,0,0,0,0,0,68,16.1,64,3,281,43
45,Lucknow,725,39.1,0,0,0,0,0,0,0,0,0,0,96,6.1,821,45.2
46,Ludhiana,81,28.6,0,0,0,0,0,0,0,0,10,3.9,6,2.3,97,34.8
47,Madras,468,57.8,0,0,0,0,0,0,3,0,25,0.6,34,0.3,530,58.8
48,Madurai,85,23,0,0,0,0,0,0,0,0,30,4.2,66,11.4,181,38.6
49,Nagpur,856,71.5,0,0,0,0,0,0,0,0,59,8.6,0,0,915,80.1
50,Patna,358,0.7,0,0,0,0,0,0,0,0,0,0,43,0.1,401,0.8
51,Pune,745,90,0,0,0,0,0,0,0,0,54,11.1,99,8.9,898,110
52,Surat,192,28.5,0,0,0,0,0,0,3,1,49,14.2,167,13.4,411,56.1
53,Vadodara,330,36.2,0,0,0,0,0,0,0,0,17,7.5,1,0.3,348,44
54,Varanasi,242,57.3,0,0,0,0,0,0,0,0,0,0,3,0.2,245,57.5
55,Vishakhapatnam,296,29.9,0,0,0,0,0,0,2,0,43,2.5,43,3.8,384,36.3
