SL. No.,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,8,8,2,11,4,1,3,0,0,3,94,149,79,1,0,0,544,903
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,10,24
3,Assam,6,4,0,8,9,7,2,1,0,3,34,68,88,0,1,0,35,257
4,Bihar,86,89,6,38,111,82,29,85,29,55,174,538,862,0,15,0,618,2706
5,Goa,0,0,0,0,0,0,0,0,0,0,11,15,9,0,0,0,11,46
6,Gujarat,33,31,1,8,13,10,3,6,0,9,161,265,116,2,3,1,725,1374
7,Haryana,16,1,0,6,0,0,0,2,0,4,15,22,6,6,3,0,101,182
8,Himachal Pradesh,2,0,0,2,0,0,0,0,0,0,5,2,10,0,0,0,43,64
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,12,3,1,1,2,2,0,0,0,0,94,131,32,0,4,0,76,356
11,Kerala,8,0,1,2,0,0,0,0,0,1,16,15,20,0,0,0,23,86
12,Madhya Pradesh,123,80,3,59,8,7,1,2,0,21,325,387,85,0,3,0,1156,2252
13,Maharashtra,59,28,1,21,18,12,6,10,0,16,352,726,193,1,9,0,991,2425
14,Manipur,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,13
15,Meghalaya,4,0,0,6,0,0,0,0,0,6,9,18,9,0,7,0,46,105
16,Mizoram,1,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,16,27
17,Nagaland,0,0,0,1,0,0,0,0,0,0,11,15,0,0,0,0,5,32
18,Orissa,4,0,0,0,0,0,0,0,0,0,30,81,0,0,0,0,15,130
19,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20,Rajasthan,19,20,1,10,11,9,2,0,0,3,99,105,141,3,1,0,263,676
21,Sikkim,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,10
22,Tamil Nadu,8,0,0,1,2,2,0,3,0,2,108,330,34,0,0,0,114,602
23,Tripura,1,0,0,0,1,1,0,0,0,1,0,8,0,0,0,0,0,11
24,Uttar Pradesh,3,3,0,1,0,0,0,0,0,0,9,12,2,0,0,0,36,66
25,West Bengal,3,0,2,0,1,0,1,0,0,1,2,20,2,0,0,0,1,32
Total (States),Total (States),396,273,18,177,180,133,47,113,29,125,1559,2929,1688,13,46,1,4833,12380
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3
27,Chandigarh,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,10
28,D & N Haveli,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,6
30,Delhi,4,15,0,1,3,2,1,0,0,0,27,109,2,0,18,0,58,237
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,5,15
Total (UTs),Total (UTs),5,16,0,2,3,2,1,0,0,0,29,124,4,0,18,0,72,273
Total (All -India),Total (All -India),401,289,18,179,183,135,48,113,29,125,1588,3053,1692,13,64,1,4905,12653
33,Ahmedabad,7,1,0,0,2,2,0,0,0,0,19,57,13,0,2,0,105,206
34,Bangalore,3,0,0,1,1,1,0,0,0,0,58,79,1,0,3,0,19,165
