SL. No. (Col. 1),State/UT/City (Col. 2),Total No. of Persons Arrested (Col. 3),New Offenders - Number (Col. 4),New Offenders - Percentage to Total (Col. 5),Old Offenders Convicted in the Past - Once - Number (Col. 6),Old Offenders Convicted in the Past - Once - Percentage to Total (Col. 7),Old Offenders Convicted in the Past - Twice - Number (Col. 8),Old Offenders Convicted in the Past - Twice - Percentage to Total (Col. 9),Old Offenders Convicted in the Past - Thrice or More - Number (Col. 10),Old Offenders Convicted in the Past - Thrice or More - Percentage to Total (Col. 11),Old Offenders Convicted in the Past - Percentage of Recidvists (Cols. 7+9+11) (Col. 12)
1,Andhra Pradesh,157335,139330,88.6,13406,8.5,3034,1.9,1565,1,11.4
2,Arunachal Pradesh,2153,2151,99.9,2,0.1,0,0,0,0,0.1
3,Assam,57113,56419,98.8,455,0.8,143,0.3,96,0.2,1.2
4,Bihar,254116,242965,95.6,8150,3.2,1974,0.8,1027,0.4,4.4
5,Goa,5133,5093,99.2,31,0.6,5,0.1,4,0.1,0.8
6,Gujarat,162278,140312,86.5,18916,11.7,2270,1.4,780,0.5,13.5
7,Haryana,49828,44157,88.6,4504,9,802,1.6,365,0.7,11.4
8,Himachal Pradesh,15355,14684,95.6,365,2.4,237,1.5,69,0.4,4.4
9,Jammu & Kashmir,17089,17089,100,0,0,0,0,0,0,0
10,Karnataka,149367,144127,96.5,4759,3.2,383,0.3,98,0.1,3.5
11,Kerala,115176,105184,91.3,8795,7.6,999,0.9,198,0.2,8.7
12,Madhya Pradesh,271354,251294,92.6,16790,6.2,2847,1,423,0.2,7.4
13,Maharashtra,260063,241462,92.8,13123,5,3133,1.2,2345,0.9,7.2
14,Manipur,2875,2875,100,0,0,0,0,0,0,0
15,Meghalaya,2326,1963,84.4,274,11.8,76,3.3,13,0.6,15.6
16,Mizoram,1291,1271,93.5,14,1.1,4,0.3,2,0.2,1.5
17,Nagaland,1272,1146,90.1,82,6.4,37,2.9,7,0.6,9.9
18,Orissa,96360,95566,99.2,719,0.7,60,0.1,15,0,0.8
19,Punjab,12763,10672,83.6,1698,13.3,298,2.3,95,0.7,16.4
20,Rajasthan,176403,166261,94.3,8238,4.7,1324,0.8,580,0.3,5.7
21,Sikkim,1031,1024,99.3,6,0.6,0,0,1,0.1,0.7
22,Tamil Nadu,229784,179231,78,31287,13.6,13412,5.8,5854,2.5,22
23,Tripura,6840,6187,90.5,625,9.1,28,0.4,0,0,9.5
24,Uttar Pradesh,317945,294094,92.5,19293,6.1,3819,1.2,739,0.2,7.5
25,West Bengal,107933,105321,97.6,2382,2.2,193,0.2,37,0,2.4
Total (States),Total (States),2473183,2269878,91.8,153914,8.2,35078,1.4,14313,0.8,8.2
26,A & N Islands,756,746,98.7,7,0.9,3,0.4,0,0,1.3
27,Chandigarh,2150,1417,65.9,594,27.6,74,3.4,65,3,34.1
28,D & N Haveli,469,469,100,0,0,0,0,0,0,0
29,Daman & Diu,351,351,100,0,0,0,0,0,0,0
30,Delhi,31230,30204,96.7,860,2.8,106,0.3,60,0.2,3.3
31,Lakshadweep,7,7,100,0,0,0,0,0,0,0
32,Pondicherry,4007,3693,92.2,173,4.3,58,1.4,83,2.1,7.8
Total (UTs),Total (UTs),38970,36887,94.7,1634,4.2,241,0.6,108,0.5,8.3
Total (All -India),Total (All -India),2512153,2306765,91.8,155548,6.2,35319,1.4,14521,0.8,8.2
33,Ahmedabad,19870,17519,88.2,1354,6.8,828,4.2,169,0.9,11.8
34,Bangalore,14865,14727,99.1,103,0.7,30,0.2,5,0,0.9
35,Bhopal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Bombay,31857,20004,62.8,7937,24.9,2142,6.7,1774,5.6,37.2
37,Calcutta,9616,8987,93.5,529,5.5,78,0.8,22,0.2,6.5
38,Coimbatore,4068,3897,95.8,112,2.8,42,1,17,0.4,4.2
39,Delhi,28342,27346,96.5,845,3,96,0.3,55,0.2,3.5
40,Hyderabad,5055,4509,89.2,394,7.8,92,1.8,60,1.2,10.8
41,Indore,9176,8608,93.8,410,4.5,128,1.4,30,0.3,6.2
42,Jaipur,6778,6379,94.1,268,4,118,1.7,13,0.2,5.9
43,Kanpur,8999,8534,94.8,300,3.3,118,1.3,47,0.5,5.2
44,Kochi,4499,4423,98.3,69,1.5,5,0.1,2,0,1.7
45,Lucknow,6140,5904,96.2,167,2.7,62,1,7,0.1,3.8
46,Ludhiana,685,685,100,0,0,0,0,0,0,0
47,Madras,9193,8793,95.6,342,3.7,58,0.6,0,0,4.4
48,Madurai,3731,3174,85.1,437,11.7,93,2.5,27,0.7,14.9
49,Nagpur,6899,6757,97.9,93,1.3,37,0.5,12,0.2,2.1
50,Patna,8925,8603,96.4,301,3.4,12,0.1,9,0.1,3.6
51,Pune,13323,13176,98.9,97,0.7,31,0.2,19,0.1,1.1
52,Surat,6872,6085,88.5,244,3.6,153,2.2,390,5.7,11.5
53,Vadodara,5553,5193,93.5,328,5.9,19,0.3,13,0.2,6.5
54,Varanasi,4012,4012,100,0,0,0,0,0,0,0
55,Vishakhapatnam,3451,3219,93.3,159,4.6,53,1.5,20,0.6,6.7
