SL. No.,State/UT,Estimated Mid-Year Population (in Lakhs),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Cotribution to All-India (P),Kidnapping & Abducting - Incidence (I),Kidnapping & Abducting - Rate (R),Kidnapping & Abducting - Percentage Cotribution to All-India (P),Dowry Deaths - Incidence (I),Dowry Deaths - Rate (R),Dowry Deaths - Percentage Cotribution to All-India (P),Torture (Cruelty by Husband & His Relatives) - Incidence (I),Torture (Cruelty by Husband & His Relatives) - Rate (R),Torture (Cruelty by Husband & His Relatives) - Percentage Cotribution to All-India (P),Molestration - Incidence (I),Molestration - Rate (R),Molestration - Percentage Cotribution to All-India (P),Eve-Teasing - Incidence (I),Eve-Teasing - Rate (R),Eve-Teasing - Percentage Cotribution to All-India (P),Total - Incidence (I),Total- Rate (R),Total - Percentage Cotribution to All-India (P)
11,Kerala,291.2,203,0.7,2.1,75,0.3,0.6,13,0,0.3,242,0.8,1.5,580,2,2.8,5,0,0,1118,3.8,1.5
12,Madhya Pradesh,666.9,2532,3.8,25.9,1219,1.8,9.9,423,0.6,8.2,1409,2.1,8.8,6916,10.4,33.6,675,1,6.6,13174,19.8,17.8
13,Maharashtra,793.3,885,1.1,9,904,1.1,7.3,828,1,16.1,5396,6.8,33.8,2635,3.3,12.8,460,0.6,4.5,11108,14,15
14,Manipur,18.4,13,0.7,0.1,81,4.4,0.7,0,0,0,0,0,0,47,2.6,0.2,1,0.1,0,142,7.7,0.2
15,Meghalaya,17.8,27,1.5,0.3,5,0.3,0,0,0,0,0,0,0,17,1,0.1,0,0,0,49,2.8,0.1
16,Mizoram,6.9,44,6.4,0.4,1,0.1,0,0,0,0,0,0,0,45,6.5,0.2,0,0,0,90,13,0.1
17,Nagaland,12.3,1,0.1,0,1,0.1,0,0,0,0,0,0,0,1,0.1,0,0,0,0,3,0.2,0
18,Orissa,317.1,285,0.9,2.9,172,0.5,1.4,63,0.2,1.2,245,0.8,1.5,722,2.3,3.5,62,0.2,0.6,1549,4.9,2.1
19,Punjab,203,59,0.3,0.6,117,0.6,1,99,0.5,1.9,27,0.1,0.2,16,0.1,0.1,3,0,0,321,1.6,0.4
20,Rajasthan,441.8,803,1.8,8.2,2217,5,18,152,0.3,2.9,1033,2.3,6.5,1430,3.2,6.9,60,0.1,0.6,5695,12.9,7.7
21,Sikkim,4.1,9,2.2,0.1,3,0.7,0,0,0,0,0,0,0,8,2,0,0,0,0,20,4.9,0
22,Tamil Nadu,558.8,250,0.4,2.6,513,0.9,4.2,97,0.2,1.9,222,0.4,1.4,676,1.2,3.3,1205,2.2,11.7,2693,5.3,4
23,Tripura,27.7,57,2.1,0.6,68,2.5,0.6,7,0.3,0.1,41,1.5,0.3,82,3,0.4,4,0.1,0,259,9.4,0.3
24,Uttar Pradesh,1397.2,1400,1,14.3,2330,1.7,18.9,1597,1.1,31,1415,1,8.9,2116,1.5,10.3,2580,1.8,25.1,11438,8.2,15.4
25,West Bengal,685.1,461,0.7,4.7,451,0.7,3.7,538,0.8,10.4,1608,2.3,10.1,353,0.5,1.7,354,0.5,3.4,3765,5.5,5.1
Total (States),Total (States),8381.3,9606,1.1,98.1,11624,1.4,94.5,5018,0.6,97.3,15816,1.9,99.2,20336,2.4,98.7,7171,0.9,69.7,69301,8.3,93.9
26,A & N Islands,2.8,3,1.1,0,8,2.9,0.1,0,0,0,3,1.1,0,28,10,0.1,8,2.9,0.1,50,17.9,0.1
27,Chandigarh,6.5,7,1.1,0.1,14,2.2,0.1,2,0.3,0,9,1.4,0.1,5,0.8,0,31,4.8,0.3,68,10.5,0.1
28,D & N Haveli,1.4,4,2.9,0,1,0.7,0,0,0,0,2,1.4,0,1,0.7,0,0,0,0,8,5.7,0
29,Daman & Diu,1,1,1,0,2,2,0,0,0,0,3,3,0,1,1,0,0,0,0,7,7,0
30,Delhi,94.9,161,1.7,1.6,644,6.8,5.2,133,1.4,2.6,112,1.2,0.7,203,2.1,1,2376,25,23.1,3629,38.2,4.9
31,Lakshadweep,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,8,11,1.4,0.1,7,0.9,0.1,4,0.5,0.1,4,0.5,0,37,4.6,0.2,697,87.1,6.8,760,95,1
Total (UTs),Total (UTs),115.1,187,1.6,1.9,676,5.9,5.5,139,1.2,2.7,133,1.2,0.8,275,2.4,1.3,3112,27,30.3,4522,39.3,6.1
Total (All -India),Total (All -India),8496.4,9793,1.2,100,12300,1.4,100,5157,0.6,100,15949,1.9,100,20611,2.4,100,10283,1.2,100,73823,8.7,100
