SL. No.,State/UT,District,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Adilabad,98,84,4,45,25,20,5,84,0,63,208,281,72,23,52,1,1690,2730
2,Andhra Pradesh,Anantpur,158,43,1,19,30,23,7,52,0,40,252,638,337,5,36,23,2203,3837
3,Andhra Pradesh,Chittoor,140,8,0,18,49,29,20,29,0,40,343,1200,272,20,109,35,2331,4594
4,Andhra Pradesh,Cuddapah,108,86,3,14,39,35,4,15,0,29,129,356,211,12,47,8,1931,2988
5,Andhra Pradesh,Godavari East,89,72,2,51,41,5,36,12,0,29,384,1389,84,68,129,14,3597,5961
6,Andhra Pradesh,Godavari West,78,64,3,49,42,22,20,11,0,33,276,896,74,14,98,9,2489,4136
7,Andhra Pradesh,Guntur,183,192,3,96,55,15,40,55,0,82,324,1195,208,52,174,8,3669,6296
8,Andhra Pradesh,Hyderabad,103,107,7,43,76,25,51,14,0,114,1180,3374,170,65,448,12,3452,9165
9,Andhra Pradesh,Karimnagar,135,93,2,49,34,19,15,48,1,78,172,327,206,30,76,0,2204,3455
10,Andhra Pradesh,Khammam,87,53,0,61,25,23,2,23,2,35,179,402,88,13,44,1,1924,2937
11,Andhra Pradesh,Krishna,116,107,1,70,61,36,25,34,0,68,428,1570,100,42,207,23,3675,6502
12,Andhra Pradesh,Kurnool,178,50,3,22,19,9,10,17,0,38,170,293,91,7,47,8,1862,2805
13,Andhra Pradesh,Mahaboob Nagar,143,50,16,40,38,34,4,30,0,49,225,420,147,10,48,11,1683,2910
14,Andhra Pradesh,Medak,103,36,7,23,31,18,13,64,0,77,355,552,137,18,32,3,1884,3322
15,Andhra Pradesh,Nalgonda,95,20,2,42,10,5,5,24,0,43,209,480,148,20,101,2,1839,3035
16,Andhra Pradesh,Nellore,76,47,3,29,34,30,4,24,1,33,221,585,145,28,42,7,2483,3758
17,Andhra Pradesh,Nizambad,134,26,3,18,34,24,10,50,0,74,171,386,190,11,89,2,1867,3058
18,Andhra Pradesh,Prakasham,105,72,3,31,41,31,10,28,2,40,150,436,105,23,46,17,2810,3909
19,Andhra Pradesh,Ranga Reddy,106,65,5,26,25,18,7,20,0,55,489,869,93,21,40,0,2300,4114
20,Andhra Pradesh,Srikakulam,45,15,0,9,14,8,6,0,0,11,75,263,43,30,45,9,1363,1922
21,Andhra Pradesh,Vishakhapatnam,71,27,4,22,32,21,11,9,0,41,478,1288,39,59,163,23,3831,6087
22,Andhra Pradesh,Vizianagaram,36,8,0,32,12,6,6,6,0,8,145,318,46,18,50,11,5575,6265
23,Andhra Pradesh,Warangal,114,52,7,31,29,16,13,25,0,49,250,524,238,21,78,3,2006,3427
24,Andhra Pradesh,Guntakal Rly.,2,0,0,0,0,0,0,1,0,1,0,259,0,0,2,3,92,360
25,Andhra Pradesh,Secunderabad Rly.,11,1,0,0,0,0,0,3,0,3,0,299,6,1,2,2,30,358
26,Andhra Pradesh,Vijyawada Rly.,0,4,0,0,0,0,0,2,0,3,3,432,5,10,2,1,232,694
27,Andhra Pradesh,Total,2514,1385,79,840,796,472,324,680,6,1136,6816,19032,3255,621,2207,236,59022,98625
1,Arunachal Pradesh,Changlang,3,1,0,3,0,0,0,2,0,3,7,19,3,0,0,0,62,103
2,Arunachal Pradesh,Dibang Valley,3,4,1,2,1,1,0,1,0,4,6,8,0,1,0,0,38,69
3,Arunachal Pradesh,Kameng East,4,1,0,0,2,2,0,0,0,6,10,14,2,0,1,0,55,95
4,Arunachal Pradesh,Kameng West,4,1,0,4,2,2,0,0,0,2,12,23,0,3,0,1,53,105
5,Arunachal Pradesh,Lohit,5,3,0,1,4,4,0,4,0,7,13,35,3,1,0,0,62,138
6,Arunachal Pradesh,Papum Pare,7,7,2,5,4,4,0,1,0,13,29,56,0,8,7,2,160,301
7,Arunachal Pradesh,Siang East,6,0,1,10,1,1,0,4,0,6,21,32,3,1,2,0,75,162
8,Arunachal Pradesh,Siang West,7,8,0,3,1,1,0,3,0,5,20,27,4,5,5,2,87,177
9,Arunachal Pradesh,Subansiri Lower,5,3,0,0,1,1,0,0,0,7,7,14,0,6,1,0,40,84
10,Arunachal Pradesh,Subansiri Upper,3,1,0,0,2,2,0,1,0,1,12,15,1,1,1,0,81,119
11,Arunachal Pradesh,Tawang,3,1,0,0,0,0,0,1,0,2,5,16,0,1,1,0,11,41
12,Arunachal Pradesh,Tirap,5,5,1,1,1,1,0,1,1,5,15,19,3,5,2,2,100,166
13,Arunachal Pradesh,Total,55,35,5,29,19,19,0,18,1,61,157,278,19,32,20,7,824,1560
1,Assam,Barpeta,46,23,0,21,51,28,23,43,1,63,203,211,397,9,19,3,741,1831
2,Assam,Bongaigaon,75,7,1,19,35,35,0,32,2,32,81,256,105,19,24,1,332,1021
3,Assam,Cachar,44,3,1,38,66,66,0,11,0,27,267,588,522,44,29,11,1178,2831
4,Assam,Darrang,63,19,8,17,39,38,1,48,1,60,129,225,129,6,12,1,359,1116
5,Assam,Dheonaji,16,8,0,24,17,13,4,22,0,12,51,87,20,6,5,0,235,503
6,Assam,Dhubri,26,9,5,29,58,54,4,8,0,16,131,282,446,16,38,0,684,1748
7,Assam,Dibrugarh,102,12,2,34,66,60,6,20,1,88,123,623,48,25,29,2,1010,2185
8,Assam,Goalpara,23,13,0,15,24,23,1,11,0,13,109,196,180,8,10,1,352,955
9,Assam,Golaghat,57,22,0,17,49,39,10,15,1,30,107,270,37,7,19,9,482,1122
10,Assam,Guwahati city,38,0,3,20,87,87,0,32,0,96,261,961,99,13,138,0,1945,3693
11,Assam,Hailakandi,16,1,0,18,30,30,0,5,1,7,135,186,237,14,14,3,467,1134
12,Assam,Jorhat,64,7,7,18,44,37,7,6,1,66,97,367,71,20,14,5,617,1404
13,Assam,Kamrup,27,50,0,18,44,36,8,58,0,69,190,330,350,114,0,33,218,1501
14,Assam,Karbi Anglong,33,22,3,11,42,31,11,48,1,40,95,156,190,17,10,9,351,1028
15,Assam,Karimaganj,36,13,0,32,34,30,4,6,1,4,149,214,291,7,11,5,341,1144
16,Assam,Kokrajhar,44,8,0,14,30,27,3,48,3,44,90,223,116,4,11,0,299,934
17,Assam,Lakhimpur,24,8,3,37,56,56,0,23,0,46,130,251,67,4,37,0,573,1259
18,Assam,Morigaon,20,9,0,17,35,35,0,20,0,11,102,187,131,10,22,0,453,1017
19,Assam,N.C. Hills,5,9,2,2,3,2,1,8,1,11,17,27,4,1,6,0,86,182
