SL. No.,State/UT/City,Killed - In Dacoity Operation or Other Raids,Killed - By Riotous Mobs,Killed - By Other Criminals,Killed - On Border Outies,Killed - In Accidents,Killed - Total,Injured - In Dacoity Operation or Other Raids,Injured - By Riotous Mobs,Injured - By Other Criminals,Injured - On Border Outies,Injured - In Accidents,Injured - Total
1,Constables,28,10,168,15,194,415,151,1621,868,37,412,3089
2,Head Constable,4,2,36,3,53,98,17,314,161,6,78,576
3,Asstt. Sub-Inspector,4,0,11,1,17,33,23,89,27,0,19,158
4,Sub-Inspector,3,2,20,1,27,53,40,286,79,1,51,457
5,Inspector,1,1,3,0,2,7,3,90,19,1,8,121
6,Others (Gazetted Officers),1,0,6,1,3,11,5,124,25,1,13,168
Total,Total,41,15,244,21,296,617,239,2524,1179,46,581,4569
