SL. No.,State/ UT,Total no. of persons under arreste* including those from previous year,Number of - Persons released before trial,Number of - Persons chargesheeted,Number of - Persons under investigation at the end of the year,Pendency percentage,Percentage of pendency to All-India total
1,Andhra Pradesh,742635,12050,703687,26898,3.6,8.9
2,Arunachal Pradesh,209,46,123,40,19.1,0
3,Assam,12454,1058,2669,8727,70.1,2.9
4,Bihar,22608,527,17896,4185,18.5,1.4
5,Goa,3117,14,2708,395,12.7,0.1
6,Gujarat,325542,126,264091,61325,18.8,20.4
7,Haryana,39289,393,30598,8298,21.1,2.8
8,Himachal Pradesh,7733,65,5763,1905,24.6,0.6
9,Jammu & Kashmir,2075,323,1315,437,21.1,0.1
10,Karnataka,470045,2406,460404,7235,1.5,2.4
11,Kerala,20879,5230,13524,2125,10.2,0.7
12,Madhya Pradesh,352867,181,350639,2047,0.6,0.7
13,Maharashtra,528552,7240,477142,44170,8.4,14.7
14,Manipur,3754,591,2133,1030,27.4,0.3
15,Meghalaya,524,6,266,252,48.1,0.1
16,Mizoram,982,0,943,39,4,0
17,Nagaland,1194,177,652,365,30.6,0.1
18,Orissa,7800,167,7624,9,0.1,0
19,Punjab,26104,722,17650,7732,29.6,2.6
20,Rajasthan,26471,184,25754,533,2,0.2
21,Sikkim,520,165,348,7,1.3,0
22,Tamil Nadu,1138215,270700,788074,79441,7,26.4
23,Tripura,284,42,121,121,42.6,0
24,Uttar Pradesh,456101,11405,426899,17797,3.9,5.9
25,West Bengal,564841,2108,541266,21467,3.8,7.1
Total (States),Total (States),4754795,315926,4142289,296580,6.2,98.6
26,A & N Islands,2863,0,2762,101,3.5,0
27,Chandigarh,562,23,512,27,4.8,0
28,D & N Haveli,71,0,69,2,2.8,0
29,Daman & Diu,16,0,7,9,56.3,0
30,Delhi,24568,271,20118,4179,17,1.4
31,Lakshadweep,28,0,28,0,0,0
32,Pondicherry,34881,9,34848,24,0.1,0
Total (UTs),Total (UTs),62989,303,58344,4342,6.2,1.4
Total (All -India),Total (All -India),4817784,316229,4200633,300922,6.2,100
