SL. No.,State/UT/City,By Education - Illiterate,By Education - Primary,By Education - Above Primary But Below Matric/ H. Sec.,By Education - Matric/ H. Sec. & Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardians,By Family Background - Homeless,By Family Background - Total,By Economic Setup - Lower Income Upto Rs. 500 PM,By Economic Setup - Low/Mid Income (From Rs.501 to 1000 PM),By Economic Setup - Middle Income (Rs. 1001 to 2000 PM),By Economic Setup - Upp/Mid Income (From Rs. 2001 to 3000 PM),By Economic Setup - Upper Income (Above Rs. 3000 PM),By Economic Setup - Total,Recidivism - New Delinquents,Recidivism - Old Delinquents,Recidivism - Total
1,Andhra Pradesh,768,313,122,41,1244,750,287,207,1244,761,364,97,22,0,1244,1078,166,1244
2,Arunachal Pradesh,12,9,3,0,24,17,7,0,24,11,10,3,0,0,24,24,0,24
3,Assam,117,77,65,9,268,159,67,42,268,57,83,101,15,12,268,239,29,268
4,Bihar,1270,897,524,216,2907,530,486,1891,2907,1045,820,504,327,211,2907,2600,307,2907
5,Goa,28,16,9,0,53,50,2,1,53,38,13,2,0,0,53,53,0,53
6,Gujarat,831,1292,425,122,2670,2094,418,158,2670,1297,846,311,128,88,2670,1732,938,2670
7,Haryana,89,70,55,8,222,177,39,6,222,125,56,29,10,2,222,215,7,222
8,Himachal Pradesh,11,3,48,5,67,59,6,2,67,14,17,12,3,21,67,67,0,67
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,262,95,101,22,480,386,56,38,480,309,132,26,13,0,480,439,41,480
11,Kerala,0,34,47,5,86,72,14,0,86,52,31,3,0,0,86,86,0,86
12,Madhya Pradesh,1183,692,601,291,2767,2397,271,99,2767,1531,704,288,191,53,2767,2342,425,2767
13,Maharashtra,1094,1359,602,123,3178,2228,614,336,3178,1537,1280,266,92,3,3178,2522,656,3178
14,Manipur,0,7,11,0,18,18,0,0,18,11,7,0,0,0,18,18,0,18
15,Meghalaya,62,32,11,0,105,33,44,28,105,64,29,10,2,0,105,73,32,105
16,Mizoram,6,29,4,0,39,39,0,0,39,6,33,0,0,0,39,39,0,39
17,Nagaland,0,10,14,8,32,20,12,0,32,7,4,11,10,0,32,20,12,32
18,Orissa,49,77,13,0,139,124,11,4,139,117,17,5,0,0,139,139,0,139
19,Punjab,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1
20,Rajasthan,216,390,109,11,726,598,123,5,726,317,228,62,81,38,726,615,111,726
21,Sikkim,0,12,2,0,14,12,2,0,14,2,0,12,0,0,14,14,0,14
22,Tamil Nadu,991,2868,655,12,4526,2737,1324,465,4526,2738,1668,120,0,0,4526,4363,163,4526
23,Tripura,8,1,2,0,11,6,3,2,11,4,7,0,0,0,11,11,0,11
24,Uttar Pradesh,66,26,18,44,154,126,12,16,154,86,16,20,23,9,154,148,6,154
25,West Bengal,17,12,5,0,34,34,0,0,34,25,9,0,0,0,34,34,0,34
