SL. No.,Crime Head,Number of cases reported during - 1992,Number of cases reported during - 1993,Percentage change in 1993 Over 1992
1,Arms Act,96,100,4.2
2,Narcotic Drugs & Psychotropic Substances Act,20,13,-35
3,Gambling Act,828,818,-1.2
4,Excise Act,135,127,-5.9
5,Prohibition Act,1385,1161,-16.2
6,Explosive & Explosive Substances Act,13,2,-84.6
7,Immoral Traffic (P) Act,95,128,34.7
8,Indian Railways Act,15,6,-60
9,Registration of Foreigners Act,12,3,-75
10,Protection Of Civil Rights Act,3,7,133.3
11,Indian Passport Act,0,3,@
12,Essential Commodities Act,0,1,@
13,Terrorist & Disruptive Actvites Act,0,0,NA
14,Antiquity & Art Treasure Act,0,0,NA
15,Antiquity & Art Treasure Act,11,17,54.5
16,Antiquity & Art Treasure Act,4919,4813,-2.2
17,Antiquity & Art Treasure Act,7532,7199,-4.4
