SL. No.,State/UT,Incidence of Total Cog. Crimes,Percentage Contribution to All-India Total,Estimated Mid-Year Population (in Lakhs),Rate of Total Cog. Crimes,Rank of* Criminality
1,Andhra Pradesh,98625,6.1,693.4,142.2,24
2,Arunachal Pradesh,1560,0.1,9.2,169.6,20
3,Assam,37355,2.3,235.9,158.4,21
4,Bihar,125642,7.7,909.5,138.1,26
5,Goa,4111,0.3,12.2,337,3
6,Gujarat,119809,7.4,430.9,278,4
7,Haryana,31754,1.9,173.4,183.1,17
8,Himachal Pradesh,10864,0.7,54,201.2,15
9,Jammu & Kashmir,14731,0.9,81.3,181.2,18
10,Karnataka,105863,6.5,466.7,226.8,9
11,Kerala,76852,4.7,300.7,255.6,8
12,Madhya Pradesh,179758,11,694.1,259,7
13,Maharashtra,184589,11.3,826.3,223.4,10
14,Manipur,2624,0.2,19.4,135.3,27
15,Meghalaya,1863,0.1,18.7,99.6,30
16,Mizoram,1465,0.1,7.4,198,16
17,Nagaland,1546,0.1,13,118.9,28
18,Orissa,51609,3.2,330.6,156.1,22
19,Punjab,9445,0.6,210.1,45,32
20,Rajasthan,121100,7.4,462.8,261.7,6
21,Sikkim,662,0,4.4,150.5,23
22,Tamil Nadu,125654,7.7,571.9,219.7,11
23,Tripura,5175,0.3,29.1,177.8,19
24,Uttar Pradesh,203488,12.5,1450.6,140.3,25
25,West Bengal,70718,4.3,708.7,99.8,29
Total (States),Total (States),1586862,97.4,8714.3,182.1,NA
26,A & N Islands,664,0,3.1,214.2,12
27,Chandigarh,1943,0.1,7.1,273.7,5
28,D & N Haveli,321,0,1.5,214,13
29,Daman & Diu,222,0,1.1,201.8,14
30,Delhi,36597,2.2,102.2,358.1,2
31,Lakshadweep,48,0,0.6,80,31
32,Pondicherry,3279,0.2,8.5,385.8,1
Total (UTs),Total (UTs),43074,2.6,124,347.4,NA
Total (All -India),Total (All -India),1629936,100,8838.3,194.4,NA
