SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Eastablishments - Number,Commercial Eastablishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,450,193.7,146,40.1,0,0,6,0.5,1,0,11,3,66,18.4,680,255.6
2,Arunachal Pradesh,12,1.2,0,0,0,0,0,0,0,0,2,0.5,4,0.3,18,2
3,Assam,389,98.5,69,19.5,1,0.5,3,2.9,5,24.6,88,40.5,170,81.7,725,268.1
4,Bihar,1950,215.4,387,73.3,0,0,59,17.8,20,34.1,20,5.8,318,61.2,2754,407.7
5,Goa,10,10.4,0,0,0,0,1,0,0,0,0,0,2,0,13,10.4
6,Gujarat,138,334.4,40,36.8,1,0.1,6,1.7,0,0,25,120.5,128,110.6,338,604
7,Haryana,42,39.3,13,23.9,0,0,0,0,0,0,0,0,23,19.3,78,82.5
8,Himachal Pradesh,4,0.9,0,0,0,0,0,0,0,0,0,0,8,1.4,12,2.3
9,Jammu & Kashmir,28,40.4,1,0.4,0,0,0,0,0,0,0,0,16,11.7,45,52.4
10,Karnataka,130,35.7,32,9,0,0,2,0,0,0,6,1,136,31.3,306,76.9
11,Kerala,15,13.3,1,0,0,0,0,0,0,0,2,1.2,35,23.5,53,38.1
12,Madhya Pradesh,158,70.9,20,16.1,0,0,3,1.8,0,0,8,4.2,71,38.3,260,131.3
13,Maharashtra,221,156.5,192,174.2,1,0,8,1,1,2.1,42,249.1,329,561.2,794,1144.1
14,Manipur,14,12.5,14,2.3,0,0,0,0,0,0,0,0,20,31.4,48,46.3
15,Meghalaya,21,5.8,10,20.8,0,0,0,0,5,4,4,1.1,37,2.9,77,34.5
16,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,4,0.1
17,Nagaland,10,5.1,11,2.9,0,0,0,0,0,0,5,5,23,9.7,49,22.8
18,Orissa,241,206.4,23,7.7,0,0,2,2.9,0,0,0,0,41,10.8,307,227.9
19,Punjab,5,5.5,0,0,0,0,0,0,0,0,0,0,8,5.9,13,11.4
20,Rajasthan,50,24.8,4,4.5,0,0,1,0,0,0,0,0,35,27.6,90,56.8
21,Sikkim,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2
22,Tamil Nadu,81,49.7,30,32,1,0.2,3,1.4,0,0,3,3.2,37,16,155,102.4
23,Tripura,117,7,13,0.3,0,0,0,0,0,0,9,2,67,4.9,206,14.2
24,Uttar Pradesh,1194,418.5,265,227.2,0,0,26,7.3,5,38.4,27,12.9,261,48.7,1778,753
25,West Bengal,312,99.5,60,36.9,0,0,26,7.1,2,17.8,37,30.1,81,112,518,303.4
Total (States),Total (States),5595,2045.6,1331,727.8,4,0.8,146,44.4,39,120.9,289,479.9,1920,1228.9,9324,4648
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,1,5.8,1,5.8
29,Daman & Diu,3,0.8,0,0,0,0,0,0,0,0,0,0,2,0.3,5,1.2
30,Delhi,18,20.6,0,0,0,0,0,0,0,0,0,0,9,1.1,27,21.7
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),21,21.4,0,0,0,0,0,0,0,0,0,0,12,7.3,33,28.7
Total (All -India),Total (All -India),5616,2066.8,1331,727.8,4,0.8,146,44.4,39,120.9,289,479.9,1932,1236.1,9357,4676.7
33,Ahmedabad,7,274.1,1,9,0,0,0,0,0,0,9,110.3,12,3.1,29,396.5
34,Bangalore,8,2.9,3,0.5,0,0,0,0,0,0,2,0.6,14,3,27,7
35,Bhopal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Bombay,27,89.8,1,2.3,0,0,0,0,0,0,29,242,60,492.1,117,826.3
37,Calcutta,6,9.1,3,3,0,0,0,0,0,0,14,22.9,15,14,38,49
38,Coimbatore,1,1.5,1,0.1,0,0,0,0,0,0,0,0,1,0,3,1.6
39,Delhi,16,19.8,0,0,0,0,0,0,0,0,0,0,8,1,24,20.8
40,Hyderabad,14,8.5,0,0,0,0,0,0,0,0,0,0,0,0,14,8.5
41,Indore,2,1.3,0,0,0,0,0,0,0,0,0,0,0,0,2,1.3
42,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
