SL. No.,Place of Occurrence,Dacoity - Number,Dacoity - Value,Robbery - Number,Robbery - Value,Burglary - Number,Burglary - Value,Theft - Number,Theft - Value
1,Residential Premises,5616,2066.8,6898,1393.9,98576,9212.8,136360,11549.8
2,Highways,1331,727.8,6490,1353.2,85,601,9461,1003.9
3,Rivers & Sea,4,0.8,43,5.7,4,0.1,242,31
4,Railways,146,44.4,414,31.7,158,21,16032,881.7
5,Banks,39,120.9,55,47.4,140,20.6,169,31.1
6,Commercial Establishments,289,479.9,731,186.3,8010,1173.7,13975,2293.7
7,Other Places,1932,1236.1,9723,1997.4,16047,2226.7,144195,16511.8
8,Total,9357,4676.7,24354,5015.8,123020,13255.9,320434,32303.1
