SL. No.,State/UT/City,DG/DIG/SP - Sanctioned,DG/DIG/SP - Actual,ASP & DSP - Sanctioned,ASP & DSP - Actual,"Inspector, SI & A.S.I. - Sanctioned","Inspector, SI & A.S.I. - Actual",Officers Below A.S.I. - Sanctioned,Officers Below A.S.I. - Actual,Grand Total - Sanctined,Grand Total - Actual
1,Andhra Pradesh,26,19,56,50,824,797,9843,8781,10749,9647
2,Arunachal Pradesh,4,2,12,11,49,47,1452,1376,1517,1436
3,Assam,50,48,130,124,831,735,20448,18778,21459,19685
4,Bihar,22,22,66,64,1170,1127,16647,16291,17905,17504
5,Goa,0,0,3,2,35,32,569,522,607,556
6,Gujarat,11,11,34,34,434,434,11900,11900,12379,12379
7,Haryana,7,6,16,13,297,284,4386,3390,4706,3693
8,Himachal Pradesh,4,4,26,16,196,191,3805,3565,4031,3776
9,Jammu & Kashmir,31,31,96,96,644,565,10734,10500,11505,11192
10,Karnataka,11,7,35,35,398,298,9058,6726,9502,7066
11,Kerala,15,15,41,41,264,261,6374,5128,6694,5445
12,Madhya Pradesh,62,62,107,107,2560,2560,24161,24161,26890,26890
13,Maharashtra,0,0,60,54,998,682,13990,11943,15048,12679
14,Manipur,29,14,61,28,285,189,7879,6634,8254,6865
15,Meghalaya,4,2,17,8,76,71,1971,1649,2068,1730
16,Mizoram,9,9,21,17,100,83,2596,2241,2726,2350
17,Nagaland,21,21,80,80,331,331,8963,8963,9395,9395
18,Orissa,17,17,82,79,521,330,6959,6744,7579,7170
19,Punjab,13,12,92,73,473,414,8301,7974,8879,8473
20,Rajasthan,17,16,44,41,301,233,9037,8776,9399,9066
21,Sikkim,1,3,5,2,30,22,845,828,881,855
22,Tamil Nadu,14,14,39,39,756,413,9296,7925,10105,8391
23,Tripura,10,9,42,22,251,143,5768,4956,6071,5130
24,Uttar Pradesh,46,46,139,102,1239,1239,34501,33210,35925,34597
25,West Bengal,46,30,102,90,850,790,20703,20489,21701,21399
Total (States),Total (States),470,420,1406,1228,13913,12271,250186,233450,265975,247369
26,A & N Islands,1,1,1,1,17,17,490,490,509,509
27,Chandigarh,0,0,2,2,46,46,1469,1469,1517,1517
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0
30,Delhi,11,11,33,30,609,505,10348,9875,11001,10421
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,2,2,30,26,796,755,828,783
Total (UTs),Total (UTs),12,12,38,35,702,594,13103,12589,13855,13230
Total (All -India),Total (All -India),482,432,1444,1263,14615,12865,263289,246039,279830,260599
33,Ahmedabad,1,1,3,3,36,36,2734,2734,2774,2774
34,Bangalore,3,2,12,11,91,195,3099,2962,3205,3170
35,Bhopal,0,0,0,0,0,0,0,0,0,0
36,Bombay,0,0,0,0,370,369,7279,7279,7649,7648
37,Calcutta,9,8,34,30,323,314,7446,7359,7812,7711
38,Coimbatore,0,0,0,0,0,0,0,0,0,0
39,Delhi,11,11,33,30,609,505,10348,9875,11001,10421
40,Hyderabad,2,2,6,6,124,103,2077,2069,2209,2180
41,Indore,0,0,0,0,0,0,0,0,0,0
42,Jaipur,0,0,0,0,0,0,0,0,0,0
43,Kanpur,0,0,0,0,0,0,0,0,0,0
44,Kochi,1,1,1,1,30,29,774,689,806,720
45,Lucknow,0,0,0,0,34,31,1898,1866,1932,1897
46,Ludhiana,0,0,0,0,0,0,0,0,0,0
47,Madras,0,0,0,0,0,0,0,0,0,0
48,Madurai,0,0,0,0,0,0,0,0,0,0
49,Nagpur,0,0,0,0,0,0,0,0,0,0
50,Patna,0,0,0,0,83,83,1704,1704,1787,1787
51,Pune,0,0,0,0,74,73,1497,1497,1571,1570
52,Surat,0,0,1,1,27,26,891,613,919,640
53,Vadodara,0,0,0,0,6,6,500,482,506,488
54,Varanasi,0,0,0,0,17,16,923,913,940,929
55,Vishakhapatnam,0,0,2,2,28,27,639,614,669,643
