SL. No.,Crime Head,1992,1993,Percentage Variation in 1993 Over 1992,Percentage Share of Crime During 1993
1,Murder,89243,88756,-0.5,3.5
2,Attempt to Commit Murder,77403,75603,-2.3,3
3,C.H. Not Amounting to Murder,9344,8789,-5.9,0.3
4,Rape,16414,16453,0.2,0.7
5,Kidnapping & Abduction,29144,27888,-4.3,1.1
5,I) Of Women & Girls,17970,18896,5.2,0.8
5,II) Of Others,11174,8992,-19.5,0.4
6,Dacoity,36071,30904,-14.3,1.2
7,Preparation & Assembly for Dacoity,6489,5898,-9.1,0.2
8,Robbery,32489,29588,-8.9,1.2
9,Burglary,89167,883549,-6.3,3.3
10,Theft,229359,214653,-6.4,8.5
11,Riots,535401,522254,-2.5,20.8
12,Criminal Breach of Trust,16775,15918,-5.1,0.6
13,Cheating,25029,28109,12.3,1.1
14,Counterfeiting,1068,1297,21.4,0.1
15,Other IPC Crimes,1352648,1362494,0.7,54.2
16,Total Cognizable Crimes Under IPC,2546044,2512153,-1.3,100
