SL. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Arms Act,68240,103,68343,99.8,0.2
2,Narcotic Drugs & Psychotropic Substances Act,22220,841,23061,96.4,3.6
3,Gambling Act,332670,196,332866,99.9,0.1
4,Excise Act,96926,4751,101677,95.3,4.7
5,Prohibition Act,475743,133475,609218,78.1,21.9
6,Explosive & Explosive Substances Act,7271,38,7309,99.5,0.5
7,Immoral Traffic (P) Act,1608,13514,15122,10.6,89.4
8,Indian Railways Act,26543,186,26729,99.3,0.7
9,Registration of Foreigners Act,3096,253,3349,92.4,7.6
10,Protection Of Civil Rights Act,10100,292,10392,97.2,2.8
11,Indian Passport Act,2555,83,2638,96.9,3.1
12,Essential Commodities Act,8268,70,8338,99.2,0.8
13,Terrorist & Disruptive Actvites Act,3537,33,3570,99.1,0.9
14,Antiquity & Art Treasure Act,42,0,42,100,0
15,Dowry Prohibition Act,5084,1023,6107,83.2,16.8
16,Other SLL Crimes,3145879,97310,3243189,97,3
17,Total Cognizable Crimes Under SLL,4209782,252168,4461950,94.3,5.7
