SL. No.,Crime Head,Number of Cases in Which Property was - Stolen,Number of Cases in Which Property was - Recovered,Percentage of Cases of Recovery,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered,Percentage Recovery
1,Dacoity,8878,2654,29.9,4676.7,1246,26.6
2,Robbery,22164,8094,36.5,5015.6,1412.6,28.2
3,Burglary,117015,32088,27.4,12661.1,2701.2,21.3
4,Theft,311421,109057,35,32303.1,12308.5,38.1
5,Criminal Breach of Trust,12940,3887,30,6294.2,1655,26.3
6,Others,21586,5978,27.7,75824.4,2010.7,2.7
7,Total,494004,161758,32.7,136775,21334,15.6
