SL. No.,State/UT/City,Murder - 1992,Murder - 1993,Murder - Percentage Variation,Attempt to Commit Murder - 1992,Attempt to Commit Murder- 1993,Attempt to Commit Murder - Percentage Variation,C.H. Not Amounting To Murder - 1992,C.H. Not Amounting To Murder - 1993,C.H. Not Amounting To Murder - Percentage Variation,Rape - 1992,Rape - 1993,Rape - Percentage Variation,Kidnapping & Abduction - Total - 1992,Kidnapping & Abduction - Total - 1993,Kidnapping & Abduction - Total - Percentage Variation,Kidnapping & Abduction - of Women & Girls -1992,Kidnapping & Abduction - of Women & Girls -1993,Kidnapping & Abduction - of Women & Girls - Percentage Variation,Kidnapping & Abduction - of Others - 1992,Kidnapping & Abduction - of Others - 1993,Kidnapping & Abduction - of Others - Percentage Variation,Dacoity - 1992,Dacoity - 1993,Dacoity - Percentage Variation,Preparation & Assembly for Dacoity - 1992,Preparation & Assembly for Dacoity - 1993,Preparation & Assembly for Dacoity - Percentage Variation,Robbery - 1992,Robbery - 1993,Robbery -Percentage Variation,Burglary - 1992,Burglary - 1993,Burglary - Percentage Variation,Theft - 1992,Theft - 1993,Theft - Percentage Variation,Riots - 1992,Riots - 1993,Riots - Percentage Variation,Criminal Breach of Trust - 1992,Criminal Breach of Trust - 1993,Criminal Breach of Trust - Percentage Variation,Cheating - 1992,Cheating - 1993,Cheating - Percentage Variation,Counterfeiting - 1992,Counterfeiting - 1993,Counterfeiting - Percentage Variation,Other IPC Crimes - 1992,Other IPC Crimes - 1993,Other IPC Crimes - Percentage Variation,Total Cognizable Crimes Under IPC - 1992,Total Cognizable Crimes Under IPC - 1993,Total Cognizable Crimes Under IPC - Percentage Variation
1,Andhra Pradesh,2780,2514,-9.6,1512,1385,-8.4,74,79,6.8,773,840,8.7,955,796,-16.6,561,472,-15.9,394,324,-17.8,846,680,-19.6,4,6,50,1219,1136,-6.8,7248,6816,-6,19769,19032,-3.7,3902,3255,-16.6,692,621,-10.3,1976,2207,11.7,443,236,-46.7,57139,59022,3.3,99332,98625,-0.7
2,Arunachal Pradesh,55,55,0,39,35,-10.3,3,5,66.7,25,29,16,54,19,-64.8,33,19,-42.4,21,0,-100,27,18,-33.3,0,1,@,54,61,13,224,157,-29.9,283,278,-1.8,19,19,0,36,32,-11.1,18,20,11.1,2,7,250,983,824,-16.2,1822,1560,-14.4
3,Assam,1111,1105,-0.5,281,336,19.6,60,48,-20,533,560,5.1,1201,1158,-3.6,1020,1034,1.4,181,124,-31.5,670,725,8.2,13,23,76.9,1041,1010,-3,4025,3599,-10.6,8736,7859,-10,6763,4462,-34,488,487,-0.2,535,554,3.6,35,102,191.4,15320,15327,0,40812,37355,-6.5
4,Bihar,5112,4983,-2.5,4907,4902,-0.1,631,624,-1.1,1120,1118,-0.2,2734,2635,-3.6,968,1335,37.9,1766,1300,-26.4,3287,2754,-16.2,283,242,-14.5,3508,3030,-13.6,7694,7914,2.9,23443,20098,-14.3,15067,13819,-8.3,1485,1523,2.6,1580,1595,0.9,14,30,114.3,60142,60375,0.4,131007,125642,-4.1
5,Goa,34,36,5.9,10,14,40,7,9,28.6,12,14,16.7,18,26,44.4,11,19,72.7,7,7,0,6,13,116.7,0,0,NA,25,30,20,523,579,10.7,1072,1083,1,257,241,-6.2,61,49,-19.7,47,65,38.3,11,16,45.5,1885,1936,2.7,3968,4111,3.6
6,Gujarat,1622,1514,-6.7,923,854,-7.5,11,13,18.2,346,355,2.6,1138,1071,-5.9,972,923,-5,166,148,-10.8,478,338,-29.3,0,0,NA,1148,1053,-8.3,6902,6361,-7.8,23623,20728,-12.3,3280,2682,-18.2,2960,2742,-7.4,3881,3619,-6.8,181,178,-1.7,81662,78301,-4.1,128155,119809,-6.5
7,Haryana,587,611,4.1,339,310,-8.6,90,98,8.9,219,235,7.3,336,313,-6.8,231,208,-10,105,105,0,55,78,41.8,25,22,-12,246,202,-17.9,2640,2558,-3.1,4016,4218,5,530,435,-17.9,350,287,-18,487,679,39.4,20,37,85,20306,21671,6.7,30246,31754,5
8,Himachal Pradesh,131,126,-3.8,57,72,26.3,24,10,-58.3,83,100,20.5,166,193,16.3,150,167,11.3,16,26,62.5,7,12,71.4,0,0,NA,34,34,0,958,1084,13.2,1026,1148,11.9,570,678,18.9,122,138,13.1,140,185,32.1,9,7,-22.2,5537,7077,27.8,8864,10864,22.6
9,Jammu & Kashmir,689,691,0.3,573,585,2.1,18,15,-16.7,119,115,-3.4,348,354,1.7,302,304,0.7,46,50,8.7,53,45,-15.1,0,0,NA,77,96,24.7,1820,1601,-12,2589,2264,-12.6,728,681,-6.5,99,100,1,168,141,-16.1,0,0,NA,8224,8043,-2.2,15505,14731,-5
10,Karnataka,1465,1494,2,535,951,77.8,76,47,-38.2,175,232,32.6,431,498,15.5,277,306,10.5,154,192,24.7,499,306,-38.7,3,2,-33.3,585,985,68.4,8847,10141,14.6,16696,18680,11.9,10191,7856,-22.9,618,724,17.2,1485,1936,30.4,2200,1055,-52,55873,60956,9.1,99679,105863,6.2
