SL. No.,State/UT/City,Arms Act - Incidence,Arms Act - Rate,Narcotic Drugs & Psychotropic Substances Act - Incidence,Narcotic Drugs & Psychotropic Substances Act - Rate,Gambling Act - Incidence,Gambling Act - Rate,Excise Act - Incidence,Excise Act - Rate,Prohibition Act - Incidence,Prohibition Act - Rate,Explosive & Explosive Substances Act - Incidence,Explosive & Explosive Substances Act - Rate,Immoral Traffic (Prevention) Act - Incidence,Immoral Traffic (Prevention) Act - Rate,Indian Railways Act - Incidence,Indian Railways Act - Rate,Registration of Foreigners Act - Incidence,Registration of Foreigners Act - Rate,Protection Of Civil Rights Act - Incidence,Protection Of Civil Rights Act - Rate,Indian Passport Act - Incidence,Indian Passport Act - Rate,Essential Commodities Act - Incidence,Essential Commodities Act - Rate,Terrorist & Disruptive Actvites Act - Incidence,Terrorist & Disruptive Actvites Act - Rate,Antiquity & Art Treasure Act - Incidence,Antiquity & Art Treasure Act - Rate,Dowry Prohibition Act - Incidence,Dowry Prohibition Act - Rate,Other SLL Crimes - Incidence,Other L & SL Crimes - Rate,Total Cognizable Crimes Under L & SL - Incidence,Total Cognizable Crimes Under L & SL - Rate
1,Andhra Pradesh,370,0.5,290,0.4,40843,58.9,1809,2.6,0,0,362,0.5,1047,1.5,83,0.1,2,0,432,0.6,0,0,28,0,58,0.1,8,0,146,0.2,647873,934.3,693351,999.9
2,Arunachal Pradesh,6,0.7,16,1.7,0,0,0,0,0,0,9,1,0,0,0,0,6,0.7,0,0,0,0,0,0,2,0.2,0,0,0,0,16,1.7,55,6
3,Assam,413,1.8,183,0.8,319,1.4,236,1,126,0.5,35,0.1,0,0,4,0,5,0,0,0,20,0.1,40,0.2,503,2.1,0,0,71,0.3,593,2.5,2548,10.8
4,Bihar,2907,3.2,130,0.1,337,0.4,1345,1.5,1,0,638,0.7,13,0,107,0.1,8,0,51,0.1,0,0,563,0.6,2,0,3,0,662,0.7,1387,1.5,8154,9
5,Goa,11,0.9,26,2.1,1556,127.5,0,0,0,0,4,0.3,46,3.8,182,14.9,5,0.4,4,0.3,0,0,2,0.2,0,0,0,0,0,0,479,39.3,2315,189.8
6,Gujarat,622,1.4,238,0.6,11075,25.7,0,0,140048,325,89,0.2,4,0,958,2.2,20,0,188,0.4,42,0.1,244,0.6,0,0,1,0,0,0,44694,103.7,198223,460
7,Haryana,1727,10,1213,7,2424,14,16859,97.2,0,0,11,0.1,2,0,1771,10.2,2,0,4,0,3,0,179,1,18,0.1,0,0,0,0,2840,16.4,27053,156
8,Himachal Pradesh,76,1.4,95,1.8,114,2.1,4618,85.5,0,0,5,0.1,0,0,1,0,7,0.1,13,0.2,0,0.2,8,0.1,3,0.1,0,0,3,0.1,514,9.5,5457,101.1
9,Jammu & Kashmir,830,10.2,47,0.6,6,0.1,1,0,0,0,257,3.2,1,0,0,0,23,0.3,1,0,5,0,294,3.6,2846,35,0,0,4,0,221,2.7,4536,55.8
10,Karnataka,86,0.2,214,0.5,6135,13.1,1792,3.8,0,0,101,0.2,2013,4.3,17,0,30,0.1,682,1.5,11,0.7,250,0.5,8,0,3,0,460,1,436325,934.9,448127,960.2
