SL. No.,State/UT/City,Total Value of Property - Stolen,Total Value of Property - Recovered,Percentage Recovery
1,Andhra Pradesh,2741.8,1368.9,49.9
2,Arunachal Pradesh,81.6,36.6,44.9
3,Assam,1411.6,303.1,21.5
4,Bihar,1402.5,240.6,17.2
5,Goa,299.1,49.9,16.7
6,Gujarat,5210.6,1131.7,21.7
7,Haryana,1624.1,1219.9,75.1
8,Himachal Pradesh,421,205.8,48.9
9,Jammu & Kashmir,702.8,188.4,26.8
10,Karnataka,3128.6,1270,40.6
11,Kerala,2500.5,316.9,12.7
12,Madhya Pradesh,3204.2,1400.6,43.7
13,Maharashtra,20815.3,5819.8,28
14,Manipur,97.7,18.4,18.8
15,Meghalaya,103.3,14.1,13.6
16,Mizoram,27.5,17.4,63.3
17,Nagaland,131.9,17.1,13
18,Orissa,2846.4,328.6,11.5
19,Punjab,1757,1228.2,69.9
20,Rajasthan,2218.9,1408.2,63.5
21,Sikkim,28.5,8.4,29.5
22,Tamil Nadu,1874.5,1155.5,61.6
23,Tripura,47.9,5.8,12.1
24,Uttar Pradesh,8162.9,2171.6,26.6
25,West Bengal,2158.6,575.3,26.7
Total (States),Total (States),62998.8,20500.9,32.5
26,A & N Islands,13.3,3.9,29.3
27,Chandigarh,144.4,95,65.8
28,D & N Haveli,10.3,8.3,80.6
29,Daman & Diu,59.6,27.4,46
30,Delhi,73479,650.4,0.9
31,Lakshadweep,1.1,0.8,72.7
32,Pondicherry,68.5,47.3,69.1
Total (UTs),Total (UTs),73776.2,833.1,1.1
Total (All -India),Total (All -India),138775,21334,15.8
33,Ahmedabad,1375.9,191.5,13.9
34,Bangalore,1047,421,40.2
35,Bhopal,NA,NA,NA
36,Bombay,14383.9,4064.6,28.3
37,Calcutta,1085.1,365.1,33.6
38,Coimbatore,101.6,54,53.1
39,Delhi,72214.1,632.4,0.9
40,Hyderabad,588.3,233.3,39.7
41,Indore,274.1,115.1,42
42,Jaipur,360.8,228.2,63.2
43,Kanpur,834.6,92.8,11.1
44,Kochi,119.4,47.8,40
45,Lucknow,340.1,99.4,29.2
46,Ludhiana,133.4,70.6,52.9
47,Madras,353.3,252.6,71.5
48,Madurai,88.8,52.5,59.1
49,Nagpur,403.6,93.2,23.1
50,Patna,131.2,9.2,7
51,Pune,649.8,184.1,28.3
52,Surat,409.7,64.3,15.7
53,Vadodara,215.8,64.8,30
54,Varanasi,200.9,38,18.9
55,Vishakhapatnam,135.5,93.2,68.8
