SL. No.,State/UT,Number of Cases in Which Property was Stolen - Stolen,Number of Cases in Which Property was Stolen - Recovered,Value of Property (Rs. In Lakh) - Stolen,Value of Property (Rs. In Lakh) - Recovered
1,Andhra Pradesh,75,36,69,66.1
2,Arunachal Pradesh,56,18,17.1,12.6
3,Assam,71,29,3.6,1.4
4,Bihar,31,4,4.2,0.3
5,Goa,22,1,1,0
6,Gujarat,8,3,11.8,0.1
7,Haryana,1,0,0,0
8,Himachal Pradesh,18,6,46.1,42.4
9,Jammu & Kashmir,0,0,0,0
10,Karnataka,28,8,1.3,0.4
11,Kerala,12,3,0.3,0.2
12,Madhya Pradesh,251,96,9.7,5.7
13,Maharashtra,130,32,2.5,0.5
14,Manipur,0,0,0,0
15,Meghalaya,0,0,0,0
16,Mizoram,0,0,0,0
17,Nagaland,30,11,1.7,0.7
18,Orissa,10,2,0.1,0
19,Punjab,0,0,0,0
20,Rajasthan,76,19,16.8,15.9
21,Sikkim,7,1,0.5,0.1
22,Tamil Nadu,290,253,13.7,12.2
23,Tripura,0,0,0,0
24,Uttar Pradesh,35,8,113.6,111
25,West Bengal,56,18,16,3.3
Total (States),Total (States),1207,548,329,272.9
26,A & N Islands,0,0,0,0
27,Chandigarh,0,0,0,0
28,D & N Haveli,0,0,0,0
29,Daman & Diu,0,0,0,0
30,Delhi,0,0,0,0
31,Lakshadweep,0,0,0,0
32,Pondicherry,1,0,0.1,0
Total (UTs),Total (UTs),1,0,0.1,0
Total (All -India),Total (All -India),1208,548,329.1,272.9
