SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Eastablishments - Number,Commercial Eastablishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,538,96,366,82.8,0,0,7,0.5,2,0.3,26,1.2,197,20.4,1136,201.2
2,Arunachal Pradesh,20,2.6,4,0,0,0,0,0,0,0,7,1.1,30,1.5,61,5.2
3,Assam,240,25.3,183,17.2,1,0,0,0,5,2.3,103,29.4,478,73.6,1010,147.8
4,Bihar,1291,137.1,1410,107,0,0,99,4.5,27,14.4,52,1.6,151,89.3,3030,353.9
5,Goa,7,2.1,8,1.2,0,0,1,0.1,0,0,1,0.1,13,1.1,30,4.6
6,Gujarat,203,41.8,78,52.2,4,1.7,7,0.6,1,0,55,12.8,705,92.5,1053,201.8
7,Haryana,56,14.3,36,35.8,0,0,2,0.2,0,0,12,2.1,96,55.1,202,107.5
8,Himachal Pradesh,3,0.1,4,2.4,0,0,0,0,0,0,0,0,27,6.9,34,9.4
9,Jammu & Kashmir,38,16.3,4,2.6,0,0,0,0,2,15.3,3,4.2,49,19.1,96,57.4
10,Karnataka,514,70.1,81,25.1,0,0,25,1.6,2,0.1,50,11.6,313,148.1,985,256.6
11,Kerala,59,77,3,1.1,3,0.3,0,0,0,0,16,9.1,140,41.2,221,128.8
12,Madhya Pradesh,400,39.5,312,58.2,1,0,35,2.6,3,3.6,49,7.2,1398,92.6,2198,203.7
13,Maharashtra,514,120.8,362,249.9,2,0,83,6.6,0,0,192,68.2,2235,726.7,3388,1172.3
14,Manipur,8,2,9,3.9,0,0,0,0,0,0,1,0.3,32,4.9,50,11
15,Meghalaya,7,1.1,21,1.6,0,0,0,0,0,0,4,0.3,38,1.4,70,4.4
16,Mizoram,1,0,3,0.1,0,0,0,0,0,0,1,0,6,0.1,11,0.2
17,Nagaland,20,16.7,33,10.3,0,0,0,0,0,0,15,1.9,94,2.6,162,31.5
18,Orissa,616,446.3,140,6.6,0,0,6,0.1,0,0,0,0,195,4.1,957,457.1
19,Punjab,30,28.1,1,2,0,0,0,0,0,0,1,0.4,12,7.3,44,37.8
20,Rajasthan,10,0.6,34,38.3,0,0,19,1.1,1,0.1,4,0.4,970,149,1038,189.4
21,Sikkim,2,0.1,1,0,0,0,0,0,0,0,0,0,6,0.2,9,0.2
22,Tamil Nadu,155,26.8,37,9.3,1,0.3,5,1.5,1,0.1,10,0.3,207,53.6,416,91.9
23,Tripura,133,2.9,40,2,0,0,0,0,0,0,24,0,95,4.9,292,9.8
24,Uttar Pradesh,1649,196.8,3062,589.7,31,3.2,101,11.4,11,11.1,38,12.2,1791,152.2,6683,976.5
25,West Bengal,308,26.3,175,48,0,0,24,1,0,0,65,22.1,258,56.5,830,154
Total (States),Total (States),6822,1390.8,6407,1347.3,43,5.7,414,31.7,55,47.4,729,186.3,9536,1804.9,24006,4814.1
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1,5,0.1
27,Chandigarh,6,1.1,0,0,0,0,0,0,0,0,2,0.1,1,0,9,1.2
28,D & N Haveli,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,67,1.8,83,5.9,0,0,0,0,0,0,0,0,176,192.4,326,200.1
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,2,0.1,0,0,0,0,0,0,0,0,0,0,5,0,7,0.1
Total (UTs),Total (UTs),76,3.1,83,5.9,0,0,0,0,0,0,2,0.1,187,192.5,348,201.5
Total (All -India),Total (All -India),6898,1393.9,6490,1353.2,43,5.7,414,31.7,55,47.4,731,186.3,9723,1997.4,24354,5015.6
33,Ahmedabad,13,5.3,1,0.1,0,0,0,0,1,0,10,8.4,93,28.9,118,42.8
34,Bangalore,94,16.4,6,1.4,0,0,0,0,0,0,39,10.9,347,31.6,486,60.3
35,Bhopal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Bombay,127,78.1,19,149.8,0,0,0,0,0,0,98,53.2,580,610.1,824,891.2
37,Calcutta,14,9.3,53,28.8,0,0,0,0,0,0,29,15.6,67,31.3,163,85
38,Coimbatore,6,1.3,0,0,0,0,0,0,0,0,0,0,15,2.1,21,3.4
39,Delhi,58,1.6,73,5.3,0,0,0,0,0,0,0,0,146,183.5,277,190.5
40,Hyderabad,39,22.3,62,19.8,0,0,0,0,0,0,4,0.2,9,0.2,114,42.6
41,Indore,1,0,4,4,0,0,0,0,0,0,3,0.5,91,15,99,19.5
42,Jaipur,2,0,0,0,0,0,0,0,0,0,4,0.4,70,3,76,3.4
43,Kanpur,54,9,161,13.3,0,0,0,0,0,0,7,2.9,18,1,240,26.1
44,Kochi,4,3.9,0,0,0,0,0,0,0,0,2,0,5,1.4,11,5.3
45,Lucknow,50,6.5,93,9,0,0,0,0,0,0,2,0.3,13,1,158,16.8
46,Ludhiana,3,0.6,1,2,0,0,0,0,0,0,0,0,0,0,4,2.6
47,Madras,26,3.8,1,0,0,0,0,0,0,0,4,0.1,40,6.3,71,10.2
48,Madurai,4,1.6,3,0,0,0,0,0,0,0,2,0.1,15,1.3,24,2.9
49,Nagpur,2,0.2,0,0,0,0,0,0,0,0,61,7,285,11.1,348,18.3
50,Patna,30,1,121,2.2,0,0,0,0,0,0,2,0.1,3,0.1,156,3.4
51,Pune,13,5,4,0.1,0,0,0,0,0,0,8,2,99,6.6,124,13.7
52,Surat,5,0.4,0,0,1,0.2,0,0,0,0,7,1.8,47,13.1,60,15.5
53,Vadodara,4,0.3,1,11.5,0,0,0,0,0,0,1,0,15,1.1,21,12.9
54,Varanasi,14,4.4,22,2.8,0,0,0,0,0,0,1,0.5,23,4.9,60,12.5
55,Vishakhapatnam,7,1.2,4,0.1,0,0,0,0,2,0.3,1,0,16,1.6,30,3.3
