SL. No.,State/UT/City,Residential Premises - Number,Residential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Eastablishments - Number,Commercial Eastablishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
1,Andhra Pradesh,8812,623.5,1422,103.8,2,0.3,993,104.1,3,0.1,929,108.6,6871,379.9,19032,1320.3
2,Arunachal Pradesh,130,6.6,1,0.3,0,0,0,0,0,0,28,2.3,119,37.9,278,47.1
3,Assam,4347,252.8,29,1.5,9,0.4,89,9.3,6,1.7,612,79.4,2767,236.6,7859,581.7
4,Bihar,16250,87.8,115,67,3,0,1581,25.6,11,0.9,263,27.9,1875,5.7,20098,214.9
5,Goa,270,33.1,1,0.1,17,0.8,22,4.2,0,0,86,13.8,687,36.2,1083,88.2
6,Gujarat,3798,339.3,50,6.4,25,13.5,888,53.5,27,4.7,1168,145.3,14772,1435.3,20728,1998
7,Haryana,1450,250,2,4,0,0,188,15.9,0,0,401,108.4,2177,616.4,4218,994.7
8,Himachal Pradesh,242,25.5,7,1.1,0,0,2,0.1,0,0,9,0.5,888,152.3,1148,179.4
9,Jammu & Kashmir,701,90.8,8,7.9,0,0,1,0,4,6.1,122,28.4,1428,217.7,2264,350.9
10,Karnataka,9316,649.8,210,38.6,2,1.3,313,26.9,10,3.5,717,122.8,8112,793.9,18680,1636.8
11,Kerala,1304,222.1,97,9.5,92,11.8,4,1.2,21,5,473,63.1,1804,318.7,3795,631.5
12,Madhya Pradesh,14108,835.5,547,63.2,52,0.9,1280,88.2,7,0.7,941,33.6,15249,838,32184,1860.1
13,Maharashtra,13734,2345.8,889,162.4,11,0.6,2892,216.6,14,3,3073,1303.2,31634,7295.8,52247,11327.2
14,Manipur,84,9,10,2,0,0,0,0,0,0,7,0.5,166,11.2,267,22.7
15,Meghalaya,328,12.9,0,0,0,0,0,0,0,0,60,5.1,133,16.6,521,34.5
16,Mizoram,284,4.2,0,0,0,0,0,0,0,0,18,3,242,5.4,544,12.7
17,Nagaland,146,11.5,15,1.1,0,0,0,0,6,0.1,35,11.9,125,17.1,327,41.7
18,Orissa,7814,1129.1,15,0.7,7,1,438,35.9,0,0,19,0.8,1879,139.3,10172,1306.9
19,Punjab,440,168.4,26,26.6,0,0,13,5.9,7,0.6,53,34.7,530,378.9,1069,615.1
20,Rajasthan,4201,359.1,18,24,0,0,485,27.8,0,0,411,8,9147,892.9,14262,1311.9
21,Sikkim,45,8.5,1,0.2,0,0,0,0,1,2.5,9,1.3,68,2.7,124,15.2
22,Tamil Nadu,8297,495,164,8.3,8,0.2,468,35.5,43,2.1,1234,50.6,12761,360.4,22975,952.1
23,Tripura,437,2,35,0.4,0,0,0,0,0,0,150,2.7,291,10.8,913,15.9
24,Uttar Pradesh,17297,1244.9,4997,414.7,0,0,5156,214.4,0,0,224,4.3,17817,1310,45491,3188.3
25,West Bengal,13848,543.7,35,7.4,11,0.2,902,14.8,5,0.1,2353,123.9,7693,517.5,24847,1207.6
Total (States),Total (States),127683,9751,8694,951.1,239,31,15715,879.9,165,31.1,13395,2284.1,139235,16027.2,305126,29955.4
26,A & N Islands,29,1,0,0,0,0,0,0,0,0,4,0.6,51,2.6,84,4.1
