SL. No.,Nature of Property Stolen & Recovered,Number of Cases in which Property was Stolen,Value of Property Stolen in Rs. Lakhs,Value of Property Recovered in Rs. Lakhs,Percentage of Property Recovered to Value of Property Stolen
1,Wire,15058,93.25,17.84,19.13
2,Cattle,26264,229.16,63.64,27.77
3,Cycle,49062,95.46,30.21,31.65
4,Motor Vehicles & Accessories,8647,507.56,338.99,66.79
5,Fire Arms,863,11,4.52,41.09
6,Explosive,34,0.31,0.04,12.9
7,Total,317583,268007,941.24,35.12
