SL. No.,Years,Boys,Girls,Total,Percentage of Girls
1,1963,48898,2451,51349,4.8
2,1966,62823,4434,67257,6.6
3,1967,66719,5390,72109,7.5
4,1968,68657,4801,73458,6.5
5,1969,74092,4776,78868,6.1
6,1970,94617,4228,98845,4.3
7,1971,97987,5432,103419,5.3
8,1972,120953,7228,128181,5.6
9,1973,122192,5550,127742,4.3
Percentage Change Over 1964,Percentage Change Over 1964,149.9,126.4,148.8,NA
Percentage Change Over 1972,Percentage Change Over 1972,1,-23.2,-0.3,NA
