SL. No.,Category,State/U.Ts/Cities,Total Cognizable Crime - Male,Total Cognizable Crime - Female,Murder - Male,Murder - Female,Culpable Homicide Not Amounting to Murder - Male,Culpable Homicide Not Amounting to Murder - Female,Rape - Male,Rape - Female,Kidnapping & Abduction - Male,Kidnapping & Abduction - Female,Dacoity - Male,Dacoity - Female,Robbery - Male,Robbery - Female,Burglary - Male,Burglary - Female,Thefts - Male,Thefts - Female,Riots - Male,Riots - Female,Criminal Breach of Trust - Male,Criminal Breach of Trust - Female,Cheating - Male,Cheating - Female,Counterfeiting - Male,Counterfeiting - Female
1,State,Andhra Pradesh,70300,3346,3115,57,35,NA,74,NA,172,9,1247,2,356,NA,5375,66,12315,47,18639,2071,442,33,235,21,36,NA
2,State,Assam,42835,628,749,26,100,2,126,NA,481,11,823,1,448,NA,5709,35,79416,134,15005,416,316,NA,267,3,9,NA
3,State,Bihar,142646,1279,3134,30,372,1,429,NA,1088,69,4934,NA,1471,NA,6876,64,18266,507,70890,295,1062,2,859,5,18,NA
4,State,Gujarat,58272,1419,1782,46,8,NA,87,NA,439,8,653,3,732,3,4226,93,11176,381,7029,107,1099,6,776,10,8,NA
5,State,Haryana,14426,155,587,4,207,NA,112,NA,217,7,24,NA,57,NA,1156,4,2047,15,639,NA,238,NA,168,3,1,NA
6,State,Himachal Pradesh,4755,659,133,11,19,5,18,NA,112,30,7,NA,40,3,312,34,601,46,734,91,89,NA,57,3,NA,NA
7,State,Jammu & Kashmir,12598,849,189,5,1,4,46,NA,260,8,5,NA,11,NA,1129,NA,1370,NA,2293,104,86,1,56,NA,NA,NA
8,State,Karnataka,62336,1206,1355,74,5,NA,65,NA,128,2,128,2,273,3,4593,32,9459,185,18383,489,512,8,483,33,10,1
9,State,Kerala,NA,NA,998,31,7,3,47,NA,63,NA,384,8,183,3,2223,37,3909,101,27517,1524,347,11,240,8,78,1
10,State,Madhya Pradesh,126450,463,4735,12,32,NA,639,NA,1101,NA,2152,NA,1520,42,11665,446,22969,879,18604,260,1000,NA,1135,21,1,NA
