SL. No.,Ranks,Killed,Injured
1,Constables,120,3347
2,Head Constables,24,546
3,Assistant Sub-Inspectors,3,96
4,Sub-Inspectors,15,386
5,Inspectors,2,110
6,Other Gazetted Police Officers,1,112
