SL. No.,Year,Incidence of Crime,Volume of Offences Per One Lakh of Population
1,1967,2663267,520.9
2,1968,2936632,561
3,1969,2793148,520.5
4,1970,2884517,524.4
5,1971,2912096,529.7
6,1972,2514975,447.7
7,1973,2480918,432.7
