SL. No.,Year,Estimated Population in Millions,Total Cognizable Crime Under the Indian Penal Code,Rate of Crime Per One Lakh of Population
1,1963,458.2,658830,143.8
2,1964,468.2,759013,162.1
3,1965,478.5,751615,157.1
4,1966,489.1,794733,162.5
5,1967,499.9,881981,176.4
6,1968,511.1,862016,168.7
7,1969,522.5,845167,161.8
8,1970,534.3,955422,178.8
9,1971,546.4,952581,174.3
10,1972,557.9,984773,176.5
11,1973,573.4,1077181,187.9
Percentage Increase from 1963-1973,Percentage Increase from 1963-1973,25.1,63.5,30.7
