SL. No.,Category,States/U.Ts/Cities,Arms Act - Incidence (I),Arms Act - Volume (V),Opium Act - Incidence (I),Opium Act - Volume (V),Gambling Act - Incidence (I),Gambling Act - Volume (V),Excise Act - Incidence (I),Excise Act - Volume (V),Customs Act - Incidence (I),Customs Act - Volume (V),Explosives & Explosive Substances Act - Incidence (I),Explosives & Explosive Substances Act - Volume (V),Prohibition Act - Incidence (I),Prohibition Act - Volume (V),Suppression of Immoral Traffic in Women and Girls Act - Incidence (I),Suppression of Immoral Traffic in Women and Girls Act - Volume (V),Motor Vehicles Act - Incidence (I),Motor Vehicles Act - Volume (V),Prevention of Corruption Act - Incidence (I),Prevention of Corruption Act - Volume (V),Indian Railways Act - Incidence (I),Indian Railways Act - Volume (V),Other offences - Incidence (I),Other offences - Volume (V),Grand Total - Incidence (I),Grand Total - Volume (V)
1,State,Andhra Pradesh,189,0.42,2,0.01,33611,74,4168,9.17,NA,NA,93,0.2,NA,NA,1522,3.35,51628,113.65,NA,NA,68,0.15,188729,415.45,280010,616.38
2,State,Assam,91,8.58,10,0.06,331,2.12,317,2.03,21,0.13,29,0.19,36,0.23,4,0.03,484,3.1,3,0.01,44,0.28,1433,9.17,2803,17.93
3,State,Bihar,542,0.92,3,0.01,336,0.57,268,0.46,7,0.01,123,0.21,4,0.01,8,0.01,1629,2.78,82,0.14,244,0.42,1995,3.4,5241,8.92
4,State,Gujarat,340,1.2,2,0.01,19164,67.89,NA,NA,NA,NA,21,0.07,66904,237.02,7,0.02,10,0.04,NA,NA,792,2.81,18977,67.23,106217,376.3
5,State,Haryana,1253,11.88,2159,20.47,1886,17.88,9996,94.78,NA,NA,11,0.1,NA,NA,1,0.01,NA,NA,9,0.09,129,1.23,6612,62.7,22056,209.14
6,State,Himachal Pradesh,98,2.76,56,1.58,26,0.73,1888,53.23,NA,NA,12,0.34,NA,NA,NA,NA,14007,394.89,12,0.34,7,0.2,165,4.65,16271,458.73
7,State,Jammu & Kashmir,29,0.6,NA,NA,99,2.05,10,0.21,NA,NA,8,0.17,NA,NA,NA,NA,613,12.69,NA,NA,NA,NA,956,19.79,1715,35.5
8,State,Karnataka,105,0.34,6,0.02,5964,19.46,3900,12.73,NA,NA,24,0.08,54,0.18,2092,6.83,81710,266.63,1,NA,22,0.07,32148,104.9,126026,411.24
9,State,Kerala,69,0.3,NA,NA,614,2.73,11,0.05,2,0.01,21,0.09,50,0.22,43,0.19,1,0.01,1,0.01,52,0.23,1451,6.46,2315,10.3
10,State,Madhya Pradesh,941,2.14,311,0.71,17956,40.8,7503,17.05,NA,NA,80,0.18,99,0.22,5,0.01,94353,214.39,4,0.01,957,2.17,48494,110.2,170703,387.88
11,State,Maharashtra,197,0.37,8,0.02,37926,71.63,NA,NA,NA,NA,521,0.98,142623,269.35,251,0.47,12063,23.93,2,NA,6033,11.39,307430,580.6,507054,957.06
12,State,Manipur,18,1.6,NA,NA,134,11.9,693,61.54,NA,NA,12,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,13.5,1009,89.61
13,State,Meghalaya,7,0.66,1,0.09,335,31.63,20,1.89,NA,NA,NA,NA,NA,NA,12,1.13,NA,NA,NA,NA,NA,NA,88,8.31,463,43.72
14,State,Nagaland,28,5.25,2,0.38,5,0.94,5,0.94,NA,NA,10,1.8,NA,NA,NA,NA,73,13.7,NA,NA,1,0.19,224,42.03,348,65.29
15,State,Orissa,120,0.52,38,0.17,472,2.05,1899,8.26,1,NA,7,0.03,NA,NA,2,0.01,NA,NA,NA,NA,64,0.28,1759,7.65,4362,18.97
16,State,Punjab,4022,28.45,7355,52.03,2953,20.89,22217,157.17,NA,NA,49,0.35,NA,NA,NA,NA,112721,797.4,167,1.18,178,1.26,3926,27.77,153588,1086.5
17,State,Rajasthan,497,1.83,367,1.35,972,3.58,712,2.62,NA,NA,15,0.06,181,0.67,5,0.02,23455,86.38,NA,NA,333,1.23,3100,11.41,29637,109.15
18,State,Tamil Nadu,169,0.39,75,0.17,55686,129.4,68691,159.62,15,0.04,101,0.23,4124,9.58,7433,17.27,146002,339.26,NA,NA,19139,44.47,507256,1178.72,808691,1879.15
19,State,Tripura,6,0.37,NA,NA,4,0.25,57,3.49,NA,NA,NA,NA,2,0.12,NA,NA,153,9.38,NA,NA,NA,NA,138,8.46,360,22.07
20,State,Uttar Pradesh,21443,23.38,717,0.78,5613,6.12,14775,16.11,19,0.02,130,0.14,94,0.1,166,0.18,34572,37.69,17,0.02,1176,1.28,25453,27.75,104175,113.57
21,State,West Bengal,445,0.96,17,0.04,5631,12.09,2572,5.52,NA,NA,244,0.52,NA,NA,61,0.13,6560,14.08,4,0.01,1573,3.38,103517,222.21,120624,258.94
Total (States),State,Total (States),30609,5.4,11129,1.96,189718,33.41,139702,24.64,65,0.01,1511,0.26,214171,37.77,11612,2.04,580034,102.31,302,0.05,30812,5.43,1254003,221.18,2463668,429.68
22,UT,A & N Islands,1,0.83,3,2.5,12,10,844,703.33,NA,NA,NA,NA,NA,NA,3,2.5,13,10.83,NA,NA,NA,NA,71,59.17,947,789.16
