Sl. No.,States/U.Ts.,District,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Srikakulam,34,NA,2,NA,5,2,253,466,126,21,12,3,3210
2,Andhra Pradesh,Visakhapatnam,44,NA,NA,8,5,7,256,828,209,34,17,NA,3160
3,Andhra Pradesh,East Godavari,66,NA,3,13,1,1,433,1250,203,29,95,1,5163
4,Andhra Pradesh,West Godavari,54,NA,2,8,4,6,448,1136,243,43,30,1,2527
5,Andhra Pradesh,Krishna,66,NA,8,11,23,10,338,850,249,42,33,4,3886
6,Andhra Pradesh,Nellore,93,NA,3,7,14,8,398,1088,216,27,28,4,3918
7,Andhra Pradesh,Kurnool,32,NA,2,7,NA,7,325,620,178,26,13,5,1773
8,Andhra Pradesh,Ongole,72,NA,2,13,10,13,279,606,209,31,15,11,2309
9,Andhra Pradesh,Anantapur,44,NA,2,5,5,3,199,484,87,14,7,7,1847
10,Andhra Pradesh,Guntur,70,NA,NA,5,6,5,345,431,137,10,18,5,1415
11,Andhra Pradesh,Cuddapah,70,NA,NA,7,3,7,270,502,142,25,6,3,1495
12,Andhra Pradesh,Chittoor,77,NA,4,13,6,13,415,823,279,33,22,NA,3279
13,Andhra Pradesh,Hyderabad District,42,2,4,3,11,12,238,413,75,16,11,NA,1258
14,Andhra Pradesh,Medak,35,4,2,3,10,11,103,212,30,8,4,NA,731
15,Andhra Pradesh,Mehbubnagar,74,4,NA,1,8,12,191,304,75,13,NA,8,1328
16,Andhra Pradesh,Nalgonda,125,1,1,3,11,5,151,240,74,22,7,1,1264
17,Andhra Pradesh,Nizamabad,38,NA,1,3,9,12,182,274,58,31,9,NA,2403
18,Andhra Pradesh,Adilabad,34,NA,2,1,5,22,149,167,64,16,5,1,745
19,Andhra Pradesh,Warangal,49,NA,5,4,29,12,161,300,116,15,34,NA,1199
20,Andhra Pradesh,Khammam,31,2,3,6,6,5,171,375,126,21,8,NA,1126
21,Andhra Pradesh,Karimnagar,64,NA,4,4,13,16,193,270,105,8,9,1,1378
22,Andhra Pradesh,R.P. Vijyawada,4,NA,NA,NA,4,4,8,560,90,3,5,NA,748
23,Andhra Pradesh,R.P. Secunderabad,NA,NA,NA,NA,NA,2,NA,212,4,2,4,2,251
1,Assam,Goalpara,56,3,11,37,43,16,632,831,481,41,47,NA,3337
2,Assam,Kamrup,64,5,9,60,69,44,991,1374,796,117,119,1,5541
3,Assam,Darrang,77,4,11,59,10,34,715,916,420,37,34,1,3629
4,Assam,Nowgaon,56,1,23,97,48,45,743,1122,604,100,54,NA,4403
5,Assam,Sibsagar,72,4,25,92,34,74,950,1433,334,53,36,1,5078
6,Assam,Dibrugarh,63,4,13,38,24,71,714,1119,225,33,28,2,3709
7,Assam,North Lakhimpur,17,3,15,43,4,18,206,404,186,21,11,1,1546
8,Assam,Mikir Hills,16,1,1,6,10,14,13,180,45,10,6,NA,514
9,Assam,N.C. Hills,3,NA,NA,NA,1,3,22,46,5,7,2,NA,129
10,Assam,Cachar,42,7,14,40,10,32,737,1007,723,40,40,NA,4121
1,Bihar,Patna,59,21,7,41,72,93,1029,3142,856,156,112,36,7130
2,Bihar,Nalanda,58,1,2,16,30,36,367,624,435,30,12,1,2237
3,Bihar,Gaya,68,10,7,19,34,31,426,726,286,29,20,2,2492
4,Bihar,Aurangabad,40,22,NA,5,35,12,71,623,159,14,9,NA,1432
5,Bihar,Nawada,46,4,3,7,37,17,194,375,127,10,4,NA,1179
6,Bihar,Bhojpur,63,7,2,23,50,42,753,974,260,59,22,NA,3097
7,Bihar,Rohtas,63,8,5,24,66,55,742,876,422,55,11,1,3115
8,Bihar,Saran,47,6,6,12,39,27,191,455,204,16,19,NA,2178
9,Bihar,Siwan,54,17,5,18,59,22,700,675,368,25,22,NA,2636
10,Bihar,Motihari,40,10,8,23,50,10,279,547,405,29,20,NA,2217
11,Bihar,Bettiah,32,14,7,13,40,27,316,503,505,19,25,NA,1984
12,Bihar,Muzaffarpur,40,4,6,52,61,23,553,793,435,67,32,6,2742
13,Bihar,Vaishali,29,2,3,21,11,13,300,417,214,12,21,NA,1529
14,Bihar,Sitamarhi,15,5,6,20,50,10,261,258,292,14,6,NA,1231
15,Bihar,Darbhanga,31,1,2,14,13,10,461,552,404,25,22,NA,2052
16,Bihar,Samastipur,29,9,9,32,40,18,501,558,516,27,31,2,2347
17,Bihar,Madhubani,30,3,7,10,34,9,502,464,641,45,11,2,2268
18,Bihar,Begusarai,32,8,5,22,40,30,605,768,437,36,18,1,2690
19,Bihar,Bhagalpur,66,8,18,26,111,83,1058,945,650,49,39,1,4164
20,Bihar,Monghyr,76,17,9,35,137,59,967,1624,777,66,24,NA,4832
21,Bihar,Sahebganj,60,13,14,13,38,18,304,446,178,22,14,6,1519
22,Bihar,Dumka,59,6,10,12,67,46,693,625,152,23,10,1,2125
23,Bihar,Saharsa,38,5,12,13,102,53,949,746,758,46,14,NA,2976
24,Bihar,Katihar,24,2,5,19,44,37,399,351,225,24,11,NA,1533
25,Bihar,Purnea,69,4,22,38,164,100,1238,1016,708,62,25,2,4316
26,Bihar,Hazaribagh,47,7,9,32,72,56,631,871,338,26,12,NA,3041
27,Bihar,Giridih,47,6,10,19,83,48,733,660,427,28,13,NA,2757
28,Bihar,Dhanbad,62,12,16,25,106,116,942,2085,496,74,44,NA,5487
29,Bihar,Palamau,60,6,6,20,64,45,469,527,277,37,22,1,2221
