SL. No.,Heads of Crime,Persons Arrested,Percentage to Total Persons Arrested
1,Arms Act,32369,1.2
2,Opium Act,11627,0.43
3,Gambling Act,339093,12.62
4,Excise Act,140863,5.24
5,Prohibition Act,190985,7.11
6,Explosives & Explosive Substances Act,2018,0.08
7,Suppression of Immoral Traffic Act,12552,0.47
8,Motor Vehicles Act,571619,21.27
9,Prevention of Corruption Act,336,0.01
10,Customs Act,483,0.02
11,Indian Railways Act,32395,1.21
12,Miscellaneous Act,1352843,50.34
13,Total,2687183,100
