SL. No.,Category,States/U.Ts/Cities,Arms Act,Opium Act,Gambling Act,Excise Act,Explosive & Explosive Substances Act,Suppression of Immoral Traffic Act,Motor Vehicles Act,Indian Railways Act,Customs Act,Prevention of Corruption Act,Prohibition Act,Other Offences,Grand Total
1,State,Andhra Pradesh,178,2,34453,2577,84,1486,51723,30,NA,NA,NA,195971,286504
2,State,Assam,94,9,809,298,23,6,821,48,25,3,40,1858,4034
3,State,Bihar,1010,2,1620,476,222,49,2519,212,NA,87,81,2494,8772
4,State,Gujarat,374,5,36702,NA,26,40,11,1292,NA,NA,70930,26685,136065
5,State,Haryana,1232,2147,3815,10091,11,3,NA,205,NA,4,NA,7073,24581
6,State,Himachal Pradesh,115,57,104,2091,13,NA,12351,1,NA,16,NA,308,15056
7,State,Jammu & Kashmir,26,NA,189,12,6,NA,613,NA,NA,2,NA,1660,2508
8,State,Karnataka,109,4,11646,3053,31,2107,78947,6,NA,NA,54,38296,134253
9,State,Kerala,72,1,3777,NA,33,100,NA,52,NA,1,53,2957,7046
10,State,Madhya Pradesh,899,333,51576,7719,84,9,88730,496,NA,2,261,56810,206919
11,State,Maharashtra,234,46,69250,NA,531,332,12081,6584,NA,1,114040,315965,519064
12,State,Manipur,28,3,431,698,17,NA,NA,NA,NA,NA,NA,137,1314
13,State,Meghalaya,11,NA,369,19,NA,18,NA,NA,NA,NA,NA,92,509
14,State,Nagaland,52,2,3,3,14,NA,77,NA,NA,NA,NA,246,397
15,State,Orissa,129,54,1902,1987,11,NA,NA,5,NA,NA,NA,1795,5883
16,State,Punjab,4017,7356,5660,22644,54,NA,112721,239,NA,181,NA,4695,157567
17,State,Rajasthan,521,439,1839,863,39,10,23455,381,NA,7,241,7039,34834
18,State,Tamil Nadu,150,77,60101,66873,106,7456,144620,19139,8,NA,5087,501220,804837
19,State,Tripura,7,NA,18,58,5,NA,188,NA,431,NA,9,10,726
20,State,Uttar Pradesh,21446,733,25573,14970,111,274,34715,1466,19,7,189,38345,137848
21,State,West Bengal,543,10,19712,2853,587,190,6864,1938,NA,3,NA,143547,176247
Total (States),State,Total (States),31247,11280,329549,137285,2008,12080,570436,32094,483,314,190985,1347203,2664964
22,UT,A & N Islands,1,4,97,894,NA,7,19,NA,NA,NA,NA,149,1171
23,UT,Chandigarh,9,76,315,261,8,NA,NA,4,NA,3,NA,440,1116
24,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5
25,UT,Delhi,1101,264,4423,2363,1,238,NA,289,NA,19,NA,632,9330
26,UT,"Goa, Daman & Diu",11,3,3818,NA,NA,142,NA,7,NA,NA,NA,210,4191
27,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Pondicherry,NA,NA,891,60,1,85,1164,1,NA,NA,NA,4204,6406
Total (UTs),UT,Total (UTs),1122,347,9544,3578,10,472,1183,301,NA,22,NA,5640,22219
Total (All-India),Total (All-India),Total (All-India),32369,11627,339093,140863,2018,12552,571619,32395,483,336,190985,1352843,2687183
1,City,Ahmedabad,9,NA,6613,NA,1,19,4,NA,NA,NA,4885,4998,16529
2,City,Bangalore,NA,4,1829,112,3,630,472,NA,NA,NA,NA,6316,9366
3,City,Bombay,4,31,17604,NA,515,279,11856,NA,NA,NA,18065,273094,321448
4,City,Calcutta,47,8,18169,2583,66,190,2992,NA,NA,NA,NA,125305,149360
5,City,Delhi,1090,248,4381,2136,1,237,NA,289,NA,17,NA,603,9002
6,City,Hyderabad,5,NA,2051,2502,9,491,23239,NA,NA,NA,NA,86001,114298
7,City,Kanpur,1523,90,1488,630,2,36,1481,1,NA,NA,NA,3198,8449
8,City,Madras,3,13,8674,6410,10,1454,59326,NA,NA,NA,922,294208,371020
Total (Cities),City,Total (Cities),2681,394,60809,14373,607,3336,99370,290,NA,17,23872,793723,999472
