SL. No.,Crime Heads,1967,1968,1969,1970,1971,1972,1973,Percentage Change Over 1972
1,Arms Act,12434,18952,20482,19701,23908,27311,31709,16.1
2,Opium Act,9460,10662,10659,10462,11169,11459,11451,-0.1
3,Gambling Act,111074,135626,138586,163815,164037,176184,194833,10.6
4,Excise Act,275220,225929,251559,278695,67559,134329,143220,6.6
5,Prohibition Act,NA,NA,NA,NA,440908,219432,214171,-2.4
6,Explosives and Explosive Substances Act,1264,1491,1804,3182,2962,2048,1523,-25.7
7,Suppression of Immoral Traffic in Women & Girls Act,5363,7295,4751,6738**,7746,8384,11816,40.9
8,Motor Vehicles Act,958497,1149983,1008541,1112694**,1014720,75071,581211,-22.5
9,Customs Act,NA,NA,NA,NA,48,28,65,132.1
10,Prevention of Corruption Act,NA,NA,NA,NA,361,557,329,-40.9
11,Railways Act,NA,NA,NA,NA,22125,24127,31042,28.7
12,Offences under other Local & Special Laws declared to be Cognizable but not included above,1289955,1386694,1356766,1289230,1156553,1161045,1259548,8.4
13,Total,2663267,2936632,2793148,2884517,2912096,2514975,2480918,-1.4
