SL. No.,Category,States/U.Ts./Cities,By Religion - Hindu,By Religion - Muslim,By Religion - Sikh,By Religion - Christian,By Religion - Other,By Religion - Total,By Community - Scheduled Caste,By Community - Scheduled Tribes,By Community - Other,By Community - Total,By Education - Illiterate,By Education - Below Primary,By Education - Above Primary But Below Matric/Hr. Sec.,By Education - Matric/ Higher Secondary and Above,By Education - Total,By Family Background - Living with Parents,By Family Background - Living with Guardian,By Family Background - Homeless,By Family Background - Total,Economic Set-Up - Lower Income (Below Rs. 150/PM),Economic Set-Up - Lower Middle Income (Above Rs.150 But Below Rs. 500 P.M.),Economic Set-Up - Upper Middle Income (Above Rs.500 But Below Rs. 1000 P.M.),Economic Set-Up - Upper Income (Above Rs. 1000 P.M.),Economic Set-Up - Total,Recidivism - New Delinquent,Recidivism - Old Delinquent,Recidivism - Total
1,State,Andhra Pradesh,2876,1912,16,125,80,5009,294,53,4662,5009,2190,1691,361,767,5009,3688,366,955,5009,4745,236,21,7,5009,4864,145,5009
2,State,Assam,1068,1150,26,159,235,2638,715,297,1626,2638,1099,840,541,158,2638,1680,730,228,2638,2198,385,52,3,2638,2082,556,2638
3,State,Bihar,2227,781,84,124,151,3367,1138,501,1728,3367,1652,783,662,270,3367,2385,790,192,3367,2202,934,220,11,3367,3189,178,3367
4,State,Gujarat,15684,4878,234,434,1504,22734,6991,5700,10043,22734,12221,8395,1623,495,22734,13042,7467,2225,22734,18439,3138,1104,53,22734,16698,6036,22734
5,State,Haryana,1501,79,371,97,42,2090,1493,NA,597,2090,813,1127,145,5,2090,1388,502,200,2090,NA,NA,NA,NA,NA,1273,817,2090
6,State,Himachal Pradesh,873,20,25,2,58,978,16,2,960,978,362,399,189,28,978,657,321,NA,978,824,126,28,NA,978,817,161,978
7,State,Jammu and Kashmir,82,119,19,NA,NA,220,27,NA,193,220,110,28,46,36,220,220,NA,NA,220,99,121,NA,NA,220,156,64,220
8,State,Karnataka,2019,750,12,179,134,3094,429,135,2530,3094,2037,740,265,52,3094,1678,960,456,3094,2869,183,42,NA,3094,2863,231,3094
9,State,Kerala,72,52,NA,20,95,239,9,7,223,239,22,68,148,1,239,102,128,9,239,222,17,NA,NA,239,229,10,239
10,State,Madhya Pradesh,10562,1632,149,150,1902,14395,1446,920,12029,14395,6745,3568,2279,1803,14395,12693,1262,440,14395,11356,2017,861,161,14395,11017,3378,14395
11,State,Maharashtra,24086,6646,316,886,5167,37101,12038,3424,21639,37101,15504,14608,5096,1893,37101,27240,6688,3173,37101,29613,6213,1142,133,37101,30456,6645,37101
12,State,Manipur,290,20,NA,82,41,433,4,86,343,433,110,289,34,NA,433,331,102,NA,433,433,NA,NA,NA,433,433,NA,433
13,State,Meghalaya,38,42,NA,65,43,188,39,72,77,188,86,67,30,5,188,130,23,35,188,137,35,15,1,188,187,1,188
14,State,Nagaland,3,NA,NA,27,NA,30,NA,27,3,30,6,6,18,NA,30,10,20,NA,30,12,18,NA,NA,30,27,3,30
15,State,Orissa,564,34,5,48,29,680,268,95,317,680,499,137,44,NA,680,418,196,66,680,498,182,NA,NA,680,620,60,680
16,State,Punjab,644,NA,NA,13,363,1020,238,66,716,1020,575,239,162,44,1020,899,120,1,1020,824,166,NA,NA,1020,956,64,1020
17,State,Rajasthan,2228,292,35,15,68,2638,530,208,1900,2638,1830,408,365,35,2638,2238,278,122,2638,2218,220,122,78,2638,2600,38,2638
18,State,Tamil Nadu,15044,1378,15,2159,1615,20211,9629,2621,7961,20211,9854,8080,1422,855,20211,15717,3004,1490,20211,19193,944,69,5,20211,17863,2348,20211
19,State,Tripura,29,NA,NA,NA,NA,29,NA,NA,29,29,29,NA,NA,NA,29,29,NA,NA,29,29,NA,NA,NA,29,29,NA,29
20,State,Uttar Pradesh,969,252,4,5,117,1347,198,89,1060,1347,692,400,195,60,1347,1006,261,80,1347,1067,273,7,NA,1347,1298,49,1347
21,State,West Bengal,1836,2152,2,135,459,4584,920,384,3280,4584,2822,1007,593,162,4584,2429,1114,1041,4584,3577,906,101,NA,4584,4228,356,4584
Total (States),State,Total (States),82695,22189,1313,4725,12103,123025,36422,14687,71916,123025,59258,42880,14218,6669,123025,87980,24332,10713,123025,100525*,16114*,3784*,452*,120935*,101885,21140,123025
22,UT,A & N Islands,188,18,4,20,NA,230,88,16,126,230,52,157,20,1,230,198,14,18,230,210,18,2,NA,230,220,10,230
23,UT,Chandigarh,236,4,197,2,155,594,54,18,522,594,40,58,121,375,594,396,89,109,594,203,326,65,NA,594,551,43,594
24,UT,D & N Haveli,10,1,NA,1,NA,12,NA,NA,NA,12,12,NA,NA,NA,12,12,NA,NA,12,12,NA,NA,NA,12,10,2,12
25,UT,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,UT,"Goa, Daman & Diu",699,21,NA,128,296,1144,NA,NA,1144,1144,910,209,25,NA,1144,885,11,248,1144,1103,41,NA,NA,1144,1136,8,1144
