SL. No.,Category,States/U.Ts/Cities,IPC Cognizable Offences Reported - Murder,IPC Cognizable Offences Reported - Culpable Homicide Not Amounting to Murder,IPC Cognizable Offences Reported - Rape,IPC Cognizable Offences Reported - Kidnapping and Abduction,IPC Cognizable Offences Reported - Dacoity,IPC Cognizable Offences Reported - Robbery,IPC Cognizable Offences Reported - Burglary,IPC Cognizable Offences Reported - Thefts,IPC Cognizable Offences Reported - Riots,IPC Cognizable Offences Reported - Criminal Breach of Trust,IPC Cognizable Offences Reported - Cheating,IPC Cognizable Offences Reported - Counterfeiting,IPC Cognizable Offences Reported - Total Cognizable Crime
1,State,Andhra Pradesh,9,NA,3,NA,2,2,244,399,20,NA,1,NA,763
2,State,Assam,39,NA,10,31,20,20,451,559,289,15,17,NA,1596
3,State,Bihar,31,1,23,16,53,50,439,597,799,2,3,NA,2282
4,State,Gujarat,62,NA,4,38,14,35,378,1791,457,45,28,NA,3959
5,State,Haryana,18,7,3,6,1,NA,93,193,8,1,NA,NA,601
6,State,Himachal Pradesh,13,4,3,10,NA,8,63,92,30,2,3,NA,451
7,State,Jammu and Kashmir,4,NA,3,1,NA,1,12,38,15,NA,NA,NA,143
8,State,Karnataka,19,NA,2,4,14,1,333,801,176,27,9,NA,1677
9,State,Kerala,1,NA,3,NA,1,NA,22,35,22,NA,NA,NA,87
10,State,Madhya Pradesh,168,3,76,41,34,66,1170,1937,477,23,30,NA,7465
11,State,Maharashtra,144,3,35,54,115,181,1588,3946,489,81,67,NA,9040
12,State,Manipur,12,NA,1,12,1,3,46,58,15,NA,6,NA,185
13,State,Meghalaya,2,NA,NA,NA,1,1,38,52,9,NA,NA,NA,104
14,State,Nagaland,NA,NA,NA,NA,3,3,7,17,NA,NA,NA,NA,30
15,State,Orissa,NA,NA,NA,NA,17,NA,170,337,NA,3,2,NA,542
16,State,Punjab,19,11,NA,8,NA,NA,28,51,NA,NA,NA,NA,215
17,State,Rajasthan,33,1,5,29,4,4,258,359,313,6,4,NA,1328
18,State,Tamil Nadu,30,2,4,1,1,5,413,1710,91,18,3,NA,2490
19,State,Tripura,NA,NA,NA,NA,NA,NA,2,19,3,NA,NA,NA,24
20,State,Uttar Pradesh,11,4,12,6,12,20,142,369,NA,2,3,NA,405
21,State,West Bengal,20,10,1,3,23,15,145,573,242,2,NA,NA,1136
Total (States),State,Total (States),635,46,188,260,316,415,6042,13933,3455,227,176,NA,34523
22,UT,A & N Islands,NA,NA,NA,1,NA,NA,7,10,8,NA,NA,NA,26
23,UT,Chandigarh,1,NA,3,5,NA,NA,10,62,8,NA,2,NA,145
24,UT,D & N Haveli,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,6
25,UT,Delhi,15,8,3,35,1,39,111,525,54,25,12,NA,1412
26,UT,"Goa, Daman & Diu",NA,NA,NA,NA,NA,1,62,64,7,NA,NA,NA,159
27,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,UT,Pondicherry,NA,NA,NA,NA,NA,NA,19,56,7,NA,NA,NA,198
Total (UTs),UT,Total (UTs),16,8,6,41,1,40,209,721,86,25,14,NA,1946
Total (All-India),Total (All-India),Total (All-India),651,54,194,301,317,455,6251,14654,3541,252,190,NA,36469
1,City,Ahmedabad,6,NA,NA,9,4,1,43,182,20,4,7,NA,508
2,City,Bangalore,NA,NA,NA,NA,NA,NA,80,361,71,1,5,NA,662
3,City,Bombay,3,NA,9,26,3,1,68,276,6,7,5,NA,474
4,City,Calcutta,5,1,1,1,3,1,9,61,NA,2,NA,NA,93
5,City,Delhi,15,8,3,35,1,39,111,525,54,25,12,NA,1412
6,City,Hyderabad,NA,NA,NA,NA,NA,NA,31,90,NA,NA,NA,NA,121
7,City,Kanpur,NA,NA,NA,NA,NA,2,17,35,44,NA,NA,NA,114
8,City,Madras,4,NA,1,NA,1,2,46,603,15,15,3,NA,775
Total (Cities),City,Total (Cities),33,9,14,71,12,46,405,2133,210,54,32,NA,4159
