SL. No.,Crime Heads,Total number of persons under trials during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed during the Year,Persons in custody or on bail during the stage of trial at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to total number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Arms Act,65578,116,20824,44638,15175,68.07,72.87
2,Opium Act,20317,52,10704,9561,8467,47.06,79.1
3,Gambling Act,470253,824,314014,155415,281149,33.05,89.53
4,Excise Act,190673,2339,110361,77973,84404,40.89,76.48
5,Prohibition Act,285694,3760,140302,141632,70894,49.57,50.53
6,Explosives & Explosive Substances Act,3571,18,1272,2281,942,63.87,74.06
7,Suppression of Immoral Traffic in Women & Girls Act,14363,80,11545,2738,10718,19.06,92.84
8,Motor Vehicles Act,951633,6777,608454,336402,576344,35.35,94.72
9,Prevention of Corruption Act,2070,3,311,1756,151,84.83,48.55
10,Customs Act,472,107,162,203,111,43.01,68.5
11,Indian Railways Act,36062,36,31726,4300,31247,11.92,98.49
12,Other Offences Under Local & Special Laws,1479160,13117,1292188,173855,1263276,11.75,97.76
13,Total,3519846,27229,2541863,950754,2342878,27.01,92.17
