SL. No.,Heads of Crime,Number of New Offenders,Number of Offenders Who have been Arrested in the Past - Once,Number of Offenders Who have been Arrested in the Past - Twice,Number of Offenders Who have been Arrested in the Past - Three times or more,Number of Offenders Who have been Arrested in the Past - Total
1,Murder,39239,1355,195,169,40958
2,Culpable Homicide Not Amounting to Murder,4764,197,30,12,5003
3,Rape,3640,111,26,8,3785
4,Kidnapping & Abduction,12639,356,81,21,13097
5,Dacoity,39261,3169,1131,522,44083
6,Robbery,16995,1413,459,173,19040
7,Burglary,90956,10122,3507,2244,106829
8,Thefts,186094,18244,6370,4556,215264
9,Riots,393976,10850,1548,436,406810
10,Criminal Breach of Trust,12864,509,85,32,13490
11,Cheating,10664,399,97,54,11214
12,Counterfeiting,311,13,1,NA,325
13,*Total Cognizable Crime,1196113,69435,14836,8867,1289251
