SL. No.,Year,Value of Property Stolen (Rs. in Lakhs),Percentage of Value of Property Recovered
1,1968,2957.8,23.4
2,1969,3052.5,21.9
3,1970,3614,22.1
4,1971,3854.6,22.9
5,1972,4542,26.2
6,1973,5315,24.1
