SL. No.,Crime Head,Total no. of Persons Under Arrest* Including those from Previous Year,Persons Released Before Trial - Number,Persons Released Before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons Under Investigation at the End of the year - Number,Persons Under Investigation at the End of the year - Percentage to Total
1,Murder,109111,5591,5.1,74594,68.4,28926,26.5
2,Attempt to Commit Murder,96778,3539,3.7,68436,70.7,24803,25.6
3,C.H. Not Amounting To Murder,10722,755,7,7188,67,2779,25.9
4,Rape,24594,830,3.4,18295,74.4,5469,22.2
5,Kidnapping & Abduction,38816,2801,7.2,24237,62.4,11778,30.3
5,I)of Women & Girls,24303,1925,7.9,15460,63.6,6918,28.5
5,II)of Others,14513,876,6,8777,60.5,4860,33.5
6,Dacoity,39960,4400,11,20324,50.9,15236,38.1
7,Preparation & Assembly for Dacoity,6797,372,5.5,3881,57.1,2544,37.4
8,Robbery,39378,3788,9.6,24422,60,11168,28.4
9,Burglary,90154,8156,9,64148,71.2,17850,19.8
10,Theft,223991,25439,11.4,148171,66.2,50381,22.5
11,Riots,600382,34852,5.8,434275,72.3,131255,21.9
12,Criminal Breach of Trust,22416,1094,4.9,13394,59.8,7928,35.4
13,Cheating,43977,2475,5.6,27123,61.7,14379,32.7
14,Counterfeiting,1841,281,15.3,734,39.9,826,44.9
15,Arson,19073,1864,9.8,13237,69.4,3972,20.8
16,Hurt/ Grievous Hurt,473338,13834,2.9,404342,85.4,55162,11.7
17,Dowry Death,17279,517,3,13820,80,2942,17
18,Molestation,40677,1021,2.5,34680,85.3,4976,12.2
19,Sexual Harassment,7393,198,2.7,6828,92.4,367,5
20,Cruelty by Husband and Relatives,89116,2292,2.6,76304,85.6,10520,11.8
21,Other IPC Crimes,1107332,45856,4.1,905811,81.8,155665,14.1
22,Total Cognizable Crimes Under IPC,3103125,159955,5.2,2384244,76.8,558926,18
