SL.No.,State/UT,Area (in Sqr.Kms.),Estimated Mid-Year Population (in 000),Total Cases for Investigation (Including Pending Cases from Previous Year) - IPC,Total Cases for Investigation (Including Pending Cases from Previous Year) - SLL,Total Cases for Investigation (Including Pending Cases from Previous Year) - Total,Actual Police Strength - Civil,Actual Police Strength - Armed,Actual Police Strength - Total,Percentage of Civil Police to Total Police,Actual Police Strength (of Ranks) - D.G. to A.S.I.,Actual Police Strength (of Ranks) - Head Constable to Constable,Actual Police Strength (of Ranks) - Teeth to Tail Ratio ,Actual Police Strength of I.Os. (Insp.+S.I. + A.S.I.) (Civil Police),No. of Policemen per 100 Sqr. Kms. Of Area,No. of Policemen per - 1000 of Population,No. of Policemen per - 100000 of Population,No. of IPC Cases Per Civil Policeman,Work load of I.Os - IPC,Work load of I.Os - SLL,Work load of I.Os - Total,Total Police Expenditure (Rs. In Crores),Units Cost per Policemen (Per Annum)
1,Andhra Pradesh,275045,72881,147477,829608,977085,62045,10666,72711,85.3,6355,66356,1:10,5205,26.4,1,100,2.4,28.3,159.4,187.7,478.57,65818
2,Arunachal Pradesh,83743,985,3092,98,3190,2766,1366,4132,66.9,537,3595,1:07,441,4.9,4.2,419,1.1,7,0.2,7.2,34.96,84608
3,Assam,78438,25109,72331,6786,79117,28649,20009,48658,58.9,6036,42622,1:07,4849,62,1.9,194,2.5,14.9,1.4,16.3,379.89,78073
4,Bihar,173877,96867,173772,14152,187924,62479,17646,80125,78,14422,65703,1:05,12544,46.1,0.8,83,2.8,13.9,1.1,15,436.94,54532
5,Goa,3702,1299,3867,812,4679,2017,628,2645,76.3,265,2380,1:09,212,71.4,2,204,1.9,18.2,3.8,22.1,15.75,59546
6,Gujarat,196024,45384,138078,255436,393514,34272,30431,64703,53,3989,60714,1:15,3168,33,1.4,143,4,43.6,80.6,124.2,458.41,70848
7,Haryana,44212,18433,38932,47210,86142,25771,4575,30346,84.9,3178,27168,1:09,2694,68.6,1.6,165,1.5,14.5,17.5,32,212.11,69897
8,Himachal Pradesh,55673,5719,14282,7013,21295,8201,3709,11910,68.9,1571,10339,1:07,1164,21.4,2.1,208,1.7,12.3,6,18.3,67.61,56767
9,Jammu & Kashmir*,101387,8688,23196,9118,32314,21890,14124,36014,60.8,3724,32290,1:09,2695,35.5,4.1,415,1.1,8.6,3.4,12,240.21,66699
10,Karnataka,191791,48730,153018,1286613,1439631,50924,8259,59183,86,6038,53145,1:09,5282,30.9,1.2,121,3,29,244,273.1,307.08,51887
11,Kerala,38863,31324,108924,16360,125284,36439,5138,41577,87.6,3064,38513,1:13,2492,107,1.3,133,3,43.7,6.6,50.3,205.33,49385
12,Madhya Pradesh,443446,73486,205869,246712,452581,52769,22264,75033,70.3,7338,67695,1:09,4601,16.9,1,102,3.9,44.7,53.6,98.4,518.4,69090
13,Maharashtra,307713,87548,228820,369811,598631,120909,12914,133823,90.3,14364,119459,1:08,12910,43.5,1.5,153,1.9,17.7,28.6,46.4,896.82,67015
14,Manipur,22327,2079,6355,2482,8837,4363,6382,10745,40.6,1242,9503,1:08,908,48.1,5.2,517,1.5,7,2.7,9.7,71.23,66291
15,Meghalaya,22429,2006,3447,529,3976,5793,1801,7594,76.3,1074,6520,1:06,943,33.9,3.8,379,0.6,3.7,0.6,4.2,55.4,72952
