SL. No.,Year,Boys,Girls,Total,Percentage of Girls
1,1986,159977,10172,170149,6
2,1987,166407,13555,179962,7.5
3,1988,33065,5103,38168,13.4
4,1989,24777,11615,36392,31.9
5,1990,25269,5547,30816,18
6,1991,23201,6390,29591,21.6
7,1992,17474,3884,21358,18.2
8,1993,16391,3676,20067,18.3
9,1994,13852,3351,17203,19.5
10,1995,14542,4251,18793,22.6
11,1996,14068,5030,19098,26.3
