SL. No.,State/UT,Incidence of Total COG. Crimes,Percentage Contribution to All India Total,Estimated Mid-Year Population (In Lakhs),Rate of Total COG. Crimes,Rank of* Criminality (on Rate),Rank* on Percentage Contribution
1,Andhra Pradesh,314,5.6,728.8,0.4,19,7
2,Arunachal Pradesh,14,0.3,9.9,1.4,4,21
3,Assam,148,2.7,251.1,0.6,13,11
4,Bihar,348,6.2,968.7,0.4,23,5
5,Goa,6,0.1,13,0.5,18,24
6,Gujarat,397,7.1,453.8,0.9,9,4
7,Haryana,143,2.6,184.3,0.8,10,12
8,Himachal Pradesh,64,1.1,57.2,1.1,6,17
9,Jammu & Kashmir,21,0.4,86.9,0.2,27,19
10,Karnataka,136,2.4,487.3,0.3,26,13
11,Kerala,160,2.9,313.2,0.5,16,10
12,Madhya Pradesh,1112,19.9,734.9,1.5,3,1
13,Maharashtra,906,16.2,875.5,1,8,2
14,Manipur,8,0.1,20.8,0.4,20,23
15,Meghalaya,11,0.2,20.1,0.5,14,22
16,Mizoram,30,0.5,8.1,3.7,1,18
17,Nagaland,0,0,14.3,0,32,32
18,Orissa,101,1.8,348.7,0.3,25,16
19,Punjab,118,2.1,219.2,0.5,15,14
20,Rajasthan,177,3.2,491.4,0.4,22,9
21,Sikkim,5,0.1,4.8,1,7,26
22,Tamil Nadu,109,2,588.3,0.2,28,15
23,Tripura,20,0.4,31.2,0.6,11,20
24,Uttar Pradesh,584,10.5,1526.2,0.4,21,3
25,West Bengal,345,6.2,744.3,0.5,17,6
Total (States),Total (States),5277,94.5,9182,0.6,NA,NA
26,A & N Islands,4,0.1,3.4,1.2,5,27
27,Chandigarh,5,0.1,8.1,0.6,12,26
28,D & N Haveli,0,0,1.6,0,32,32
29,Daman & Diu,0,0,1.1,0,32,32
30,Delhi,293,5.2,113.6,2.6,2,8
31,Lakshadweep,0,0,0.6,0,32,32
32,Pondicherry,3,0.1,9,0.3,24,28
Total (UTs),Total (UTs),305,5.5,137.4,2.2,NA,NA
Total (All-India),Total (All-India),5582,100,9319.4,0.6,NA,NA
