Category,SI.No.,States/UT/City,1995,1996,Percentage variation in 1996 over 1995,Percentage Countribution to All-India during 1996
State,1,Andhra Pradesh,174489,188883,8.2,7.3
State,2,Arunachal Pradesh,2275,2247,-1.2,0.1
State,3,Assam,48231,47436,-1.6,1.8
State,4,Bihar,243109,235966,-2.9,9.1
State,5,Goa,3676,3486,-5.2,0.1
State,6,Gujarat,157461,161774,2.7,6.3
State,7,Haryana,53211,48910,-8.1,1.9
State,8,Himachal Pradesh,17171,16767,-2.4,0.6
State,9,Jammu & Kashmir,15543,16805,-8.1,0.6
State,10,Karnataka,174930,172135,-1.6,6.7
State,11,Kerala,137881,139543,1.2,5.4
State,12,Madhya Pradesh,303700,296566,-2.3,11.5
State,13,Maharashtra,269517,262750,-2.5,10.2
State,14,Manipur,1337,1933,44.6,0.1
State,15,Meghalaya,2184,2023,-7.4,0.1
State,16,Mizoram,1229,1743,41.8,0.1
State,17,Nagaland,1210,1085,-10.3,0
State,18,Orissa,91035,84889,-6.8,3.3
State,19,Punjab,16709,21065,26.1,0.8
State,20,Rajasthan,213024,221408,3.9,8.6
State,21,Sikkim,740,688,-7,0
State,22,Tamil Nadu,195859,202298,3.3,7.8
State,23,Tripura,4111,5339,29.9,0.2
State,24,Uttar Pradesh,290789,278833,-4.1,10.8
State,25,West Bengal,118584,113349,-4.4,4.4
State,Total States,Total States,2538005,2527921,-0.4,97.7
UT,26,A & N Islands,445,506,13.7,0
UT,27,Chandigarh,2939,2146,-27,0.1
UT,28,D & N Haveli,615,636,3.4,0
UT,29,Daman & DIU,307,287,-6.5,0
UT,30,Delhi,42014,52676,25.4,2
UT,31,Lakshadweep,2,8,300,0
UT,32,Pondicherry,3412,4066,19.2,0.2
UT,Total (UTs),Total (UTs),49734,60325,21.3,2.3
Total (All-India),Total (All -India),Total (All -India),2587739,2588246,0,100
City,33,Ahmedabad,14844,15912,7.2,0.6
City,34,Bangalore,14335,18529,29.3,0.7
City,35,Bhopal,15199,9499,-37.5,0.4
City,36,Calcutta,31941,24293,-23.9,0.9
City,37,Chennai,9129,8719,-4.5,0.3
City,38,Coimbatore,3692,3330,-9.8,0.1
City,39,Delhi,34057,43497,27.7,1.7
City,40,Hyderabad,8811,11963,35.8,0.5
City,41,Indore,10451,10411,-0.4,0.4
City,42,Jaipur,10332,11790,14.1,0.5
City,43,Kanpur,7685,7173,-6.7,0.3
City,44,Kochi,5385,5114,-5,0.2
City,45,Lucknow,4909,5195,5.8,0.2
City,46,Ludhiana,768,1299,69.1,0.1
City,47,Madurai,8432,7057,-16.3,0.3
City,48,Mumbai,5150,3762,-27,0.1
City,49,Nagpur,6251,7214,15.4,0.3
City,50,Patna,7964,10345,29.9,0.4
City,51,Pune,12903,13236,2.6,0.5
City,52,Surat,5713,5507,-3.6,0.2
City,53,Vadodra,5584,8446,51.3,0.3
City,54,Varanasi,2691,2854,6.1,0.1
City,55,Vishakhapatnam,2614,3272,25.2,0.1
