SL. No.,State/UT,Estimated Mid year Population (In Lakhs),Rape - Incidence (I),Rape - Rate (R),Rape - Percentage Contribution to All-India (P),Kidnapping & Abduction - Incidence (I),Kidnapping & Abduction - Rate (R),Kidnapping & Abduction - Percentage Contribution to All-India (P),Dowry Deaths - Incidence (I),Dowry Deaths - Rate (R),Dowry Deaths - Percentage Contribution to All-India (P),Torture (Cruelty by Husband & His Relatives) - Incidence (I),Torture (Cruelty by Husband & His Relatives) - Rate (R),Torture (Cruelty by Husband & His Relatives) - Percentage Contribution to All-India (P),Molestation - Incidence (I),Molestation - Rate (R),Molestation - Percentage Contribution to All-India (P),Eve-Teasing - Incidence (I),Eve-Teasing - Rate (R),Eve-Teasing - Percentage Contribution to All-India (P),Importing of Girls (Upto 21 Years) - Incidence (I),Importing of Girls (Upto 21 Years) - Rate (R),Importing of Girls (Upto 21 Years) - Percentage Contribution to All-India (P),Sati-Prevention Act - Incidence (I),Sati-Prevention Act - Rate (R),Sati-Prevention Act - Percentage Contribution to All-India (P),Immoral Traffic (Prevention) Act - Incidence (I),Immoral Traffic (Prevention) Act - Rate (R),Immoral Traffic (Prevention) Act - Percentage Contribution to All-India (P),Indecent Representation of Women (Prohibition) Act - Incidence (I),Indecent Representation of Women (Prohibition) Act - Rate (R),Indecent Representation of Women (Prohibition) Act - Percentage Contribution to All-India (P),Dowry Prohibition Act - Incidence (I),Dowry Prohibition Act - Rate (R),Dowry Prohibition Act - Percentage Contribution to All-India (P),Total - Incidence (I),Total - Rate (R),Total - Percentage Contribution to All-India (P)
1,Andhra Pradesh,728.8,812,1.1,5.5,682,0.9,4.6,411,0.6,7.5,3478,4.8,9.9,2559,3.5,8.8,994,1.4,17.5,33,0,18.1,0,0,NA,559,0.8,7.3,8,0,8.3,71,0.1,2.7,9607,13.2,8.3
2,Arunachal Pradesh,9.9,37,3.7,0.2,35,3.5,0.2,0,0,0,4,0.4,0,29,2.9,0.1,1,0.1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,106,10.7,0.1
3,Assam,251.1,580,2.3,3.9,984,3.9,6.6,28,0.1,0.5,553,2.2,1.6,569,2.3,2,8,0,0.1,0,0,0,0,0,NA,23,0.1,0.3,0,0,0,48,0.2,1.8,2793,11.1,2.4
4,Bihar,968.7,1453,1.5,9.8,1003,1,6.7,478,0.5,8.7,675,0.7,1.9,533,0.6,1.8,107,0.1,1.9,10,0,5.5,0,0,NA,19,0,0.2,0,0,0,1071,1.1,40.5,5349,5.5,4.6
5,Goa,13,10,0.8,0.1,9,0.7,0.1,1,0.1,0,13,1,0,17,1.3,1,7,0.5,0.1,0,0,0,0,0,NA,25,1.9,0.3,0,0,0,0,0,0,82,6.3,0.1
6,Gujarat,453.8,36,0.7,2.1,846,1.9,5.8,105,0.2,1.9,2666,5.9,7.6,1077,2.4,3.7,81,0.2,1.4,29,0.1,15.9,0,0,NA,4,0,0.1,3,0,3.1,4,0,0.2,5139,11.3,4.4
7,Haryana,184.3,336,1.8,2.3,307,1.7,2.1,223,1.2,4,490,2.7,1.4,529,2.9,1.8,434,2.4,7.7,11,0.1,6,0,0,NA,5,0,0.1,0,0,0,0,0,0,2335,12.7,2
8,Himachal Pradesh,57.2,132,2.3,0.9,125,2.2,0.8,6,0.1,0.1,227,4,0.6,295,5.2,1,16,0.3,0.3,0,0,0,0,0,NA,0,0,0,0,0,0,2,0,0.1,803,14,0.7
9,Jammu & Kashmir,86.9,157,1.8,1.1,474,5.5,3.2,0,0,0,33,0.4,0.1,376,4.3,1.3,166,1.9,2.9,0,0,0,0,0,NA,0,0,0,0,0,0,4,0,0.2,1210,13.9,1
10,Karnataka,487.3,222,0.5,1.5,193,0.4,1.3,182,0.4,3.3,1382,2.8,3.9,1310,2.7,4.5,40,0.3,2.9,20,0,11,0,0,NA,1660,3.4,21.5,0,0,0,244,0.5,9.2,5379,11,4.6
