Category,SI.No.,State/UT/City,Murder - Incidence (I),Murder - Rate (R),Attemp to Commit Murder- Incidence (I),Attempt to Commit Murder - Rate (R),C.H.Not Amounting To Murder - Incidence (I),C.H. Not Amounting to Murder - Rate (R),Rape - Incidence (I),Rape - Rate (R),Kidnapping & Abduction - Total - Incidence (I),Kidnapping & Abduction - Total - Rate (R),Kidnapping & Abduction - of Women & Girls - Incidence (I),Kidnapping & Abduction - Of Women & Girls - Rate (R),Kidnapping & Abduction - of Others - Incidence (I),Kidnapping & Abduction - Of Others - Rate (R),Dacoity - Incidence (I),Dacoity - Rate (R),Preparation & Assembly for Dacoity - Incidence (I),Preparation & Assembly for Dacoity - Rate (R),Robbery - Incidence (I),Robbery - Rate (R),Burglary - Incidence (I),Burglary - Rate (R),Theft - Incidence (I),Theft - Rate (R),Riots - Incidence (I),Riots - Rate (R),Criminal Breach of trust - Incidence (I),Criminal Breach of trust - Rate (R),Cheating - Incidence (I),Cheating - Rate (R),Counterfeiting - Incidence (I),Counterfeting - Rate (R),Arson - Incidence (I),Arson - Rate (R),Hurt - Incidence (I),Hurt - Rate (R),Dowry Deaths - Incidence (I),Dowry Deaths - Rate (R),Molestation - Incidence (I),Molestation - Rate (R),Sexual Harassment - Incidence (I),Sexual Harassment - Rate (R),Cruelty By Husband and Relatives - Incidence (I),Cruelty By Husband and Relatives - Rate (R),Other IPC Crimes - Incidence (I),Other IPC Crimes - Rate (R),Total Cognizable Crimes Under IPC - Incidence (I),Total Cognizable Crimes Under IPC - Rate (R)
State,1,Andhra Pradesh,2609,3.6,1318,1.8,122,0.2,812,1.1,1028,1.4,682,0.9,346,0.5,448,0.6,3,0,775,1.1,6177,8.5,14413,19.8,4058,5.6,585,0.8,2671,3.7,113,0.2,1000,1.4,24119,33.1,411,0.6,2559,3.5,994,1.4,3478,4.8,42066,57.7,109759,150.6
State,2,Arunachal Pradesh,76,7.7,33,3.3,4,0.4,37,3.7,52,5.3,35,3.5,17,1.7,25,2.5,1,0.1,68,6.9,186,18.8,368,37.2,17,1.7,31,3.1,25,2.5,6,0.6,12,1.2,286,28.9,0,0,29,2.9,1,0.1,4,0.4,666,67.3,1927,194.6
State,3,Assam,1435,5.7,409,1.6,33,0.1,580,2.3,1190,4.7,984,3.9,206,0.8,843,3.4,24,0.1,1063,4.2,3516,14,7521,30,3534,14.1,444,1.8,541,2.2,52,0.2,730,2.9,4341,17.3,28,0.1,569,2.3,8,0,553,2.2,9076,36.1,36490,145.3
State,4,Bihar,5264,5.4,4637,4.8,590,0.6,1453,1.5,2378,2.5,1003,1,1375,1.4,2450,2.5,228,0.2,2955,3.1,6563,6.8,16782,17.3,12449,12.9,1693,1.7,1846,1.9,32,0,441,0.5,4805,5,478,0.5,533,0.6,107,0.1,675,0.7,50658,52.3,117017,120.8
State,5,Goa,30,2.3,11,0.8,9,0.7,10,0.8,13,1,9,0.7,4,0.3,4,0.3,0,0,71,5.5,532,40.9,737,56.7,184,14.2,31,2.4,54,4.2,5,0.4,19,1.5,222,17.1,1,0.1,17,1.3,7,0.5,13,1,828,63.7,2798,215.2
State,6,Gujarat,1338,2.9,621,1.4,11,0,306,0.7,1055,2.3,864,1.9,191,0.4,371,0.8,3,0,1130,2.5,5717,12.6,17608,38.8,2289,5,2028,4.5,3197,7,138,0.3,541,1.2,15831,34.9,105,0.2,1077,2.4,81,0.2,2666,5.9,61708,136,117821,259.6
State,7,Haryana,606,3.3,374,2,83,0.5,336,1.8,452,2.5,307,1.7,145,0.8,55,0.3,27,0.1,255,1.4,3287,17.8,4997,27.1,739,4,356,1.9,844,4.6,28,0.2,221,1.2,6103,33.1,223,1.2,529,2.9,434,2.4,490,2.7,13077,71,33516,181.9
State,8,Himachal Pradesh,123,2.2,80,1.4,7,0.1,132,2.3,157,2.7,125,2.2,32,0.6,3,0.1,0,0,24,0.4,987,17.3,771,13.5,539,9.4,97,1.7,149,2.6,16,0.3,128,2.2,1481,25.9,6,0.1,295,5.2,16,0.3,227,4,5538,96.8,10776,188.4
State,9,Jammu & Kashmir,1044,12,797,9.2,15,0.2,157,1.8,523,6,474,5.5,49,0.6,65,0.7,0,0,283,3.3,1931,22.2,2357,27.1,710,8.2,71,0.8,150,1.7,3,0,709,8.2,385,4.4,0,0,376,4.3,166,1.9,33,0.4,7703,88.6,17478,201.1
State,10,Karnataka,1604,3.3,1220,2.5,55,0.1,222,0.5,532,1.1,193,0.4,339,0.7,250,0.5,6,0,994,2,9210,18.9,16832,34.5,8113,16.6,612,1.3,1984,4.1,1208,2.5,696,1.7,24926,51.2,182,0.4,1310,2.7,166,0.3,1382,2.8,42971,88.2,114475,234.9
