Category,SL.No.,State/UT/City,Recidential Premises - Number,Recidential Premises - Value,Highways - Number,Highways - Value,River & Sea - Number,River & Sea - Value,Railways - Number,Railways - Value,Banks - Number,Banks - Value,Commercial Establishments - Number,Commercial Establishments - Value,Other Places - Number,Other Places - Value,Total - Number,Total - Value
State,1,Andhra Pradesh,5189,693.6,3,1.1,0,0,0,0,12,0.3,377,49.4,596,44.8,6177,789.2
State,2,Arunachal Pradesh,117,17.9,0,0,0,0,0,0,0,0,36,7.8,33,6,186,31.7
State,3,Assam,2070,133,15,4.1,0,0,5,0.5,1,0,486,51,939,82.9,3516,271.5
State,4,Bihar,4698,185,147,0.6,0,0.3,8,0,0,1.8,445,5.6,1265,63.1,6563,256.4
State,5,Goa,366,84.2,0,0,1,0.2,0,0,7,0,104,25.9,54,5.4,532,115.7
State,6,Gujarat,4063,853.2,1,0.1,2,0.5,0,0,24,12.5,824,190.2,803,112.9,5717,1169.5
State,7,Haryana,2280,330.3,0,0,0,0,5,1.8,13,0.4,409,80.4,580,107,3287,520
State,8,Himachal Pradesh,489,63.4,12,4.7,0,0,0,0,13,0.1,250,33.2,223,14.4,987,115.9
State,9,Jammu & Kashmir,1521,117.4,0,0,0,0,1,0,0,0,141,33.8,268,67.6,1931,218.9
State,10,Karnataka,5860,669.9,0,0,0,0,4,0,322,84.9,895,120.1,2129,288.9,9210,1163.8
State,11,Kerala,2289,436.1,21,3,14,4.1,0,0,31,5.1,840,206.1,1871,224.5,5066,878.8
State,12,Madhya Pradesh,13462,1689.9,5,0.4,0,0,9,0,12,0,1167,91.2,3198,235.9,17853,2018
State,13,Maharashtra,12607,1939.1,0,0,0,0,15,0.6,15,32,1782,660.6,2294,589.6,16713,3221.9
State,14,Manipur,38,4.1,0,0,0,0,0,0.8,1,0,46,14.3,12,1.2,97,19.6
State,15,Meghalaya,129,10.9,0,0,0,0,0,0,36,2.3,25,0.5,0,0,190,13.7
State,16,Mizoram,37,1.4,0,0,0,0,0,0,0,0,114,3.3,196,26.9,347,31.6
State,17,Nagaland,81,1.6,0,0,0,0,0,0,0,0,29,7.5,70,14.2,180,23.2
State,18,Orissa,3217,552.6,9,0.5,0,0,0,0,5,1.1,217,39.1,971,510,4419,1103.4
State,19,Punjab,883,406.9,0,0,0,0,0,0,9,0.6,61,28.2,214,113.6,1167,549.3
State,20,Rajasthan,4898,543.9,0,0,0,0,0,0,1,5.5,719,14.8,3188,229.4,8806,793.7
State,21,Sikkim,40,3.4,0,0,0,0,0,0,0,0,26,10.6,4,0.7,70,14.7
State,22,Tamil Nadu,4875,718.3,0,0,0,0,8,83.4,36,45.4,438,118.8,1005,223.5,6362,1189.3
State,23,Tripura,220,9.9,0,0,0,0,0,0,0,0,41,1.4,40,2,301,13.2
State,24,Uttar Pradesh,10291,1189.2,2,1.5,10,0.2,0,0,0,0,211,62.2,1285,290.5,11819,1543.6
State,25,West Bengal,434,55,0,0,0,0,0,0,0,0,56,24,262,37.2,752,116.2
State,Total (States),Total (States),80154,10710.1,235,16.1,27,5.3,55,87.2,538,192.1,9739,1879.9,21500,3292.1,112248,16182.8
UT,26,A & N Islands,26,3,0,0,0,0,0,0,0,0,3,0.7,13,7.4,42,11.1
UT,27,Chandigarh,121,34.8,0,0,0,0,0,0,2,0,34,6.7,15,1.7,172,43.2
UT,28,D & N Haveli,39,5,0,0,0,0,0,0,1,0,3,0.8,16,0.5,59,6.3
UT,29,Daman & Diu,25,5.3,0,0,0,0,0,0,0,0,9,0.8,8,2.7,42,8.8
UT,30,Delhi,1702,317.8,0,0,0,0,0,0,12,2.1,280,43.4,431,136.5,2425,499.8
UT,31,Lakshadweep,10,0.6,0,0,0,0,0,0,0,0,0,0,3,0,13,0.6
UT,32,Pondicherry,53,12,0,0,0,0,0,0,0,0,19,1.5,24,0.8,96,14.3
